consultant_id,product_id,category,brand,price
31617065,200089168,FRAGANCIAS,CYZONE,80.0
49925905,400095709,,LBEL,0.8
36784105,400095727,,GENERICA,0.8
44066882,400097909,,GENERICA,0.31
49864086,400097777,,GENERICA,0.22
50412725,200082652,CUIDADO PERSONAL,ESIKA,72.0
50396169,400095727,,GENERICA,0.8
47564417,200105017,FRAGANCIAS,CYZONE,60.0
48755488,200111353,MUESTRAS COSMETICOS,ESIKA,1.9
50427919,200087252,MAQUILLAJE,CYZONE,44.0
49864086,200095903,FRAGANCIAS,ESIKA,140.0
49864086,400095673,,CYZONE,0.8
44066882,400097955,,GENERICA,0.1
50412725,400097951,,GENERICA,0.16
50412725,200099199,MUESTRAS COSMETICOS,LBEL,1.9
50427919,200102430,FRAGANCIAS,ESIKA,160.0
48755488,200108671,FRAGANCIAS,ESIKA,130.0
49864086,200112287,MAQUILLAJE,CYZONE,21.0
48755488,200089508,TRATAMIENTO CORPORAL,ESIKA,50.0
50136752,200106308,MUESTRAS COSMETICOS,ESIKA,1.2
49621671,200106396,FRAGANCIAS,ESIKA,54.0
46444973,400095702,,LBEL,0.08
49328311,400095684,,ESIKA,0.08
49661266,200102430,FRAGANCIAS,ESIKA,160.0
50006069,200105328,FRAGANCIAS,ESIKA,81.8
49602898,200105655,CUIDADO PERSONAL,ESIKA,50.0
45717070,200105017,FRAGANCIAS,CYZONE,60.0
48849202,210102330,BIJOUTERIE,ESIKA,115.0
49924402,220044593,,GENERICA,80.0
49585799,210099669,COMPLEMENTOS,CYZONE,85.0
31963354,200089168,FRAGANCIAS,CYZONE,80.0
8601089,200102111,MAQUILLAJE,CYZONE,38.0
45934772,210098520,MAQUILLAJE,CYZONE,30.0
50014851,400097270,,GENERICA,0.23
48895336,200091899,MAQUILLAJE,CYZONE,26.0
49256264,400095666,,CYZONE,0.08
46309758,400095684,,ESIKA,0.08
49585799,200105041,FRAGANCIAS,ESIKA,78.0
49671849,400095215,,GENERICA,0.04
43256556,200108768,CUIDADO PERSONAL,ESIKA,54.0
49719973,200101061,TRATAMIENTO FACIAL,ESIKA,46.0
33278349,200039855,FRAGANCIAS,CYZONE,86.0
47841925,210095212,TRATAMIENTO FACIAL,LBEL,1.0
49995598,200107368,MAQUILLAJE,CYZONE,28.0
44069326,200101406,FRAGANCIAS,ESIKA,2.0
49959052,400096761,,GENERICA,0.04
50061957,400095684,,ESIKA,0.08
46165322,210099854,MAQUILLAJE,CYZONE,96.0
11558585,400095720,,GENERICA,0.08
33440626,220044593,,GENERICA,80.0
49256264,210095971,MAQUILLAJE,CYZONE,38.0
43256556,200108674,CUIDADO PERSONAL,ESIKA,18.0
49021348,400095684,,ESIKA,0.08
50141187,200102089,MAQUILLAJE,CYZONE,38.0
47076404,200113742,VARIOS,GENERICA,99.9
47076404,200082687,CUIDADO PERSONAL,ESIKA,38.0
39154064,200106346,FRAGANCIAS,ESIKA,95.0
44147165,400097304,,GENERICA,1.1
10800935,210099293,MUESTRAS COSMETICOS,LBEL,0.1
46772733,210098469,MAQUILLAJE,CYZONE,28.0
45170373,400095666,,CYZONE,0.08
47850487,400097304,,GENERICA,1.1
49026714,400095702,,LBEL,0.08
48551815,400095720,,GENERICA,0.08
33440626,210091550,TRATAMIENTO FACIAL,CYZONE,22.0
49734026,200092456,TRATAMIENTO CORPORAL,ESIKA,44.0
33278349,210094734,BIJOUTERIE,ESIKA,105.0
50061957,200108674,CUIDADO PERSONAL,ESIKA,18.0
49256264,400097304,,GENERICA,1.1
49943857,200103442,CUIDADO PERSONAL,ESIKA,25.0
50009130,400097270,,GENERICA,0.23
48895336,200111303,MAQUILLAJE,LBEL,58.0
8601089,400095702,,LBEL,0.08
8601089,400095684,,ESIKA,0.08
49864086,400096763,,GENERICA,0.04
47564417,400097270,,GENERICA,0.23
48849202,200095170,CUIDADO PERSONAL,ESIKA,18.0
36784105,400097304,,GENERICA,1.1
49847874,210098237,BIJOUTERIE,ESIKA,100.0
49585799,200100407,TRATAMIENTO CORPORAL,ESIKA,70.0
48755488,200103450,CUIDADO PERSONAL,CYZONE,18.0
20616164,200112471,MUESTRAS COSMETICOS,LBEL,0.1
45934772,200098555,FRAGANCIAS,ESIKA,140.0
49021348,200101381,MUESTRAS COSMETICOS,LBEL,1.9
46165322,200101406,FRAGANCIAS,ESIKA,1.2
50141187,210100409,CUIDADO PERSONAL,LBEL,38.0
11558585,200083913,FRAGANCIAS,LBEL,188.0
47841925,200111961,MUESTRAS COSMETICOS,ESIKA,1.2
49256264,200108654,MAQUILLAJE,ESIKA,46.0
50108139,200095170,CUIDADO PERSONAL,ESIKA,18.0
45170373,200113127,TRATAMIENTO CORPORAL,LBEL,42.0
47850487,200090364,TRATAMIENTO CORPORAL,ESIKA,65.0
49712049,400095702,,LBEL,0.08
50064719,200103327,MAQUILLAJE,ESIKA,56.0
50009130,210099758,BIJOUTERIE,ESIKA,70.0
49621671,400095702,,LBEL,0.08
45934772,200101481,FRAGANCIAS,CYZONE,49.0
48679285,200084638,TRATAMIENTO FACIAL,LBEL,186.0
49734026,400095684,,ESIKA,0.08
45590461,200095157,TRATAMIENTO CORPORAL,CYZONE,34.0
20810254,200082674,FRAGANCIAS,ESIKA,44.0
49307403,400097304,,GENERICA,1.1
49950519,210099968,RELOJES,ESIKA,200.0
49696124,200107827,CUIDADO PERSONAL,LBEL,58.0
45717070,200082687,CUIDADO PERSONAL,ESIKA,38.0
50014851,200106308,MUESTRAS COSMETICOS,ESIKA,1.2
49347065,200090350,TRATAMIENTO CORPORAL,ESIKA,65.0
49727763,400095684,,ESIKA,0.08
49950519,400097270,,GENERICA,0.23
47856221,400095720,,GENERICA,0.08
50085473,400096760,,GENERICA,0.04
49167911,200103860,MAQUILLAJE,LBEL,180.0
49187912,200106346,FRAGANCIAS,ESIKA,95.0
49596219,400095684,,ESIKA,0.08
44069326,400095720,,GENERICA,0.08
50136752,200088593,TRATAMIENTO CORPORAL,ESIKA,36.0
49950519,200100926,FRAGANCIAS,ESIKA,92.0
49585799,210099293,MUESTRAS COSMETICOS,LBEL,1.6
47819504,400095666,,CYZONE,0.08
20556323,210097030,CUIDADO PERSONAL,LBEL,21.0
33440626,400095684,,ESIKA,0.08
49940661,400096762,,GENERICA,0.04
10800935,200101406,FRAGANCIAS,ESIKA,1.2
49864973,200094217,FRAGANCIAS,ESIKA,140.0
47841925,200108917,MAQUILLAJE,ESIKA,55.0
48548873,400095666,,CYZONE,0.08
41288620,200102648,MAQUILLAJE,ESIKA,45.0
49532296,400097304,,GENERICA,1.1
49167911,200112287,MAQUILLAJE,CYZONE,19.0
8601089,200103027,CUIDADO PERSONAL,ESIKA,46.0
49696124,200106833,MUESTRAS COSMETICOS,ESIKA,3.5
49187912,200090452,FRAGANCIAS,ESIKA,95.0
48998607,200105329,FRAGANCIAS,ESIKA,1.2
48584926,400095666,,CYZONE,0.08
49943857,400097270,,GENERICA,0.23
33440626,400095719,,GENERICA,0.8
49925905,400097270,,GENERICA,0.23
20616164,200111961,MUESTRAS COSMETICOS,ESIKA,1.2
41010398,400095720,,GENERICA,0.08
20616164,200098674,MUESTRAS COSMETICOS,ESIKA,1.06
48895336,200100855,TRATAMIENTO FACIAL,CYZONE,54.0
30596188,200095170,CUIDADO PERSONAL,ESIKA,18.0
50167666,400095684,,ESIKA,0.08
49187912,400095720,,GENERICA,0.08
49719973,200106308,MUESTRAS COSMETICOS,ESIKA,1.2
30596188,200095158,CUIDADO PERSONAL,ESIKA,18.0
50108139,200095162,CUIDADO PERSONAL,ESIKA,18.0
43256556,200095420,CUIDADO PERSONAL,ESIKA,18.0
43768565,210098276,BIJOUTERIE,ESIKA,85.0
44069326,200108408,FRAGANCIAS,ESIKA,97.0
49661266,200106308,MUESTRAS COSMETICOS,ESIKA,1.2
49672470,200109632,TRATAMIENTO CORPORAL,ESIKA,36.0
44545187,400095683,,ESIKA,0.08
10800935,210099194,PROMOCION USUARIOS,LBEL,150.0
48849202,200095374,CUIDADO PERSONAL,ESIKA,18.0
49596219,200108752,CUIDADO PERSONAL,ESIKA,36.0
20616164,200089619,MUESTRAS COSMETICOS,LBEL,1.12
45590461,200103354,MAQUILLAJE,ESIKA,56.0
49734026,200102045,FRAGANCIAS,ESIKA,160.0
30596188,200094066,FRAGANCIAS,CYZONE,49.0
43256556,200082688,CUIDADO PERSONAL,ESIKA,44.0
50067866,400095701,,LBEL,0.08
48551815,200108797,MAQUILLAJE,ESIKA,55.0
48548873,400095720,,GENERICA,0.08
46772733,210098523,MAQUILLAJE,CYZONE,30.0
46165322,200107352,MAQUILLAJE,CYZONE,28.0
43256556,210095971,MAQUILLAJE,CYZONE,38.0
49019718,210098520,MAQUILLAJE,CYZONE,30.0
44545187,400095665,,CYZONE,0.08
36461209,200095374,CUIDADO PERSONAL,ESIKA,18.0
48584926,400095683,,ESIKA,0.08
49696124,400097304,,GENERICA,1.1
42852902,200105219,TRATAMIENTO FACIAL,ESIKA,54.0
46165322,200107037,MAQUILLAJE,LBEL,102.0
49962371,400097270,,GENERICA,0.23
49021348,400068882,,GENERICA,0.8
49925905,200109631,TRATAMIENTO CORPORAL,ESIKA,60.0
44545187,210100101,BIJOUTERIE,ESIKA,74.0
49645880,400095666,,CYZONE,0.08
38824007,200085860,CUIDADO PERSONAL,ESIKA,34.0
49719973,220044579,,GENERICA,80.0
24648907,200094149,FRAGANCIAS,CYZONE,70.0
49532296,210099604,BIJOUTERIE,CYZONE,103.0
49949855,400095684,,ESIKA,0.08
41010398,200095465,CUIDADO PERSONAL,ESIKA,18.0
49986777,400097304,,GENERICA,1.1
49328311,200105655,CUIDADO PERSONAL,ESIKA,50.0
49719973,200111961,MUESTRAS COSMETICOS,ESIKA,1.2
41288620,400095684,,ESIKA,0.08
45969711,200085148,MAQUILLAJE,CYZONE,26.0
50141187,400096759,,GENERICA,0.04
45969711,400095692,,ESIKA,0.4
49471203,400095709,,LBEL,0.4
49950144,400095674,,CYZONE,0.4
50283925,200108408,FRAGANCIAS,ESIKA,97.0
50283925,200106295,FRAGANCIAS,ESIKA,150.0
50166147,200110328,MAQUILLAJE,ESIKA,52.0
50229459,400095710,,LBEL,0.4
49187912,400095674,,CYZONE,0.4
50166147,200095374,CUIDADO PERSONAL,ESIKA,18.0
50229459,200103920,MAQUILLAJE,CYZONE,38.0
50166147,200103022,CUIDADO PERSONAL,ESIKA,36.0
50229459,400097961,,GENERICA,0.31
49950144,400097961,,GENERICA,0.31
49471203,400095728,,GENERICA,0.8
50283925,400095674,,CYZONE,0.4
49943857,400097341,,GENERICA,0.8
48775918,400095703,,LBEL,0.8
47841925,210098469,MAQUILLAJE,CYZONE,28.0
20616164,400095685,,ESIKA,0.8
49712049,400097298,,GENERICA,0.01
43256556,400097359,,GENERICA,0.8
50085473,200102089,MAQUILLAJE,CYZONE,38.0
49950519,210095652,MAQUILLAJE,CYZONE,38.0
49187912,200103920,MAQUILLAJE,CYZONE,38.0
49347065,200105188,CUIDADO PERSONAL,ESIKA,18.0
49949855,200112474,TRATAMIENTO CORPORAL,LBEL,104.0
49949855,210100312,PROMOCION USUARIOS,LBEL,3.0
43853007,200095185,MUESTRAS COSMETICOS,ESIKA,1.9
43787128,200102290,MAQUILLAJE,ESIKA,97.0
49730136,200106568,MAQUILLAJE,CYZONE,30.0
50166147,200113738,VARIOS,GENERICA,96.8
49949855,200109351,MAQUILLAJE,CYZONE,26.0
47076404,200088564,CUIDADO PERSONAL,ESIKA,18.0
49996853,200072913,FRAGANCIAS,ESIKA,44.0
42852902,400095685,,ESIKA,0.8
43153501,400095721,,GENERICA,0.8
46444973,200108671,FRAGANCIAS,ESIKA,130.0
48755488,400095721,,GENERICA,0.8
43256556,400095721,,GENERICA,0.8
43787128,400095667,,CYZONE,0.8
47076404,200101159,CUIDADO PERSONAL,CYZONE,42.0
49943857,210101851,PROMOCION USUARIOS,CYZONE,2.5
49730136,400095703,,LBEL,0.8
20810254,400095685,,ESIKA,0.8
35055541,210098520,MAQUILLAJE,CYZONE,30.0
45717070,210095993,MAQUILLAJE,ESIKA,36.0
8937435,200108408,FRAGANCIAS,ESIKA,97.0
45590461,200111995,MAQUILLAJE,CYZONE,37.0
48849202,200105041,FRAGANCIAS,ESIKA,78.0
1156543,200108914,MAQUILLAJE,ESIKA,55.0
50167666,200073557,TRATAMIENTO FACIAL,LBEL,105.0
49532296,400097509,,GENERICA,0.8
49986777,200103963,TRATAMIENTO CORPORAL,LBEL,42.0
49328311,200105190,CUIDADO PERSONAL,ESIKA,18.0
45969711,200086432,FRAGANCIAS,ESIKA,95.0
31963354,200113245,MUESTRAS COSMETICOS,LBEL,1.0
49696124,200098416,MAQUILLAJE,LBEL,52.0
49360827,200108892,TRATAMIENTO FACIAL,CYZONE,37.4
48775918,400068882,,GENERICA,0.08
49585799,400095703,,LBEL,0.8
49949243,400095685,,ESIKA,0.8
50234738,400097341,,GENERICA,0.8
49661266,400095703,,LBEL,0.8
49847874,210095037,PROMOCION USUARIOS,ESIKA,160.0
49925905,200107883,CUIDADO PERSONAL,CYZONE,18.0
45170373,200109795,MUESTRAS COSMETICOS,CYZONE,1.1
46296109,200103917,MAQUILLAJE,CYZONE,38.0
49865600,400095721,,GENERICA,0.8
49360827,200105125,CUIDADO PERSONAL,ESIKA,18.0
20616164,200082674,FRAGANCIAS,ESIKA,44.0
41010398,210100191,PROMOCION USUARIOS,ESIKA,120.0
20616164,200090031,MUESTRAS COSMETICOS,CYZONE,1.1
9527508,400095710,,LBEL,0.08
43768565,210102595,COMPLEMENTOS,CYZONE,96.0
43768565,400095693,,ESIKA,0.08
48849202,200106454,MAQUILLAJE,ESIKA,0.0
43768565,210099657,COMPLEMENTOS,CYZONE,131.0
50331903,210105870,VARIOS,ESIKA,0.27
20616164,210097405,BIJOUTERIE,ESIKA,80.0
20616164,200098674,MUESTRAS COSMETICOS,ESIKA,1.2
20616164,200109804,MAQUILLAJE,LBEL,104.0
9527508,400097983,,GENERICA,0.08
9527508,400095728,,GENERICA,0.08
31617065,400095675,,CYZONE,0.08
20616164,400098062,,GENERICA,0.01
50166147,210104481,BIJOUTERIE,ESIKA,90.0
9527508,200099047,FRAGANCIAS,ESIKA,130.0
50166147,400083364,,GENERICA,0.08
43768565,200111164,MUESTRAS COSMETICOS,CYZONE,1.3
50392856,200113464,FRAGANCIAS,CYZONE,52.0
50166147,400095729,,GENERICA,0.08
9527508,200082678,FRAGANCIAS,ESIKA,52.0
48849202,200101369,FRAGANCIAS,LBEL,176.0
9527508,200082687,CUIDADO PERSONAL,ESIKA,46.0
20616164,210104482,BIJOUTERIE,ESIKA,80.0
47856221,400095711,,LBEL,0.08
43768565,200106444,MAQUILLAJE,ESIKA,0.0
20616164,210103488,BIJOUTERIE,ESIKA,110.0
31617065,210095326,BIJOUTERIE,ESIKA,100.0
48849202,400098062,,GENERICA,0.01
50166147,200105041,FRAGANCIAS,ESIKA,80.0
43768565,400095729,,GENERICA,0.08
9527508,200082674,FRAGANCIAS,ESIKA,52.0
50166147,200085860,CUIDADO PERSONAL,ESIKA,36.0
47856221,400095729,,GENERICA,0.08
50229459,200106442,MAQUILLAJE,ESIKA,0.0
44069326,200109890,MAQUILLAJE,CYZONE,44.0
43853007,400098071,,GENERICA,0.23
50396169,400095693,,ESIKA,0.08
49950519,200106454,MAQUILLAJE,ESIKA,0.0
44066882,400095729,,GENERICA,0.08
50229459,210102547,BIJOUTERIE,CYZONE,103.0
50814572,200105017,FRAGANCIAS,CYZONE,60.0
43256556,210095994,MAQUILLAJE,ESIKA,38.0
49950519,210096207,MAQUILLAJE,ESIKA,38.0
50814572,200103923,MAQUILLAJE,CYZONE,38.0
50545121,200090031,MUESTRAS COSMETICOS,CYZONE,1.1
50229459,200110157,FRAGANCIAS,ESIKA,170.0
50814572,200113736,VARIOS,GENERICA,87.9
49950519,400095711,,LBEL,0.08
50545121,400098082,,GENERICA,1.2
50814572,400095693,,ESIKA,0.08
44069326,200106458,MAQUILLAJE,ESIKA,0.0
49950519,200083997,FRAGANCIAS,ESIKA,100.0
43256556,200106284,FRAGANCIAS,ESIKA,109.0
50229459,200103327,MAQUILLAJE,ESIKA,56.0
43256556,200097067,CUIDADO PERSONAL,ESIKA,72.0
50396169,200105195,CUIDADO PERSONAL,ESIKA,18.0
50381781,200106312,FRAGANCIAS,ESIKA,60.0
44066882,200087253,MAQUILLAJE,CYZONE,44.0
43256556,400095675,,CYZONE,0.08
43256556,200095517,CUIDADO PERSONAL,ESIKA,42.0
50545121,400096763,,GENERICA,0.04
49950519,200094936,FRAGANCIAS,CYZONE,52.0
43853007,200082652,CUIDADO PERSONAL,ESIKA,72.0
43256556,200095162,CUIDADO PERSONAL,ESIKA,18.0
47841925,210085428,MAQUILLAJE,CYZONE,1.1
49021348,210101134,COMPLEMENTOS,CYZONE,42.0
1156543,200108807,CUIDADO PERSONAL,ESIKA,18.0
49661266,400095728,,GENERICA,0.8
49021348,200113796,MAQUILLAJE,CYZONE,38.0
50331903,400097984,,GENERICA,0.11
1156543,400095728,,GENERICA,0.8
30547748,400095728,,GENERICA,0.8
43768565,200102111,MAQUILLAJE,CYZONE,38.0
47841925,200082674,FRAGANCIAS,ESIKA,46.0
50331903,400095710,,LBEL,0.4
47841925,200089509,FRAGANCIAS,ESIKA,100.0
49661266,200106604,MAQUILLAJE,CYZONE,38.0
44272466,400096763,,GENERICA,0.04
47841925,400095728,,GENERICA,0.8
50573265,210104372,BIJOUTERIE,ESIKA,120.0
49021348,400097961,,GENERICA,0.31
50573265,200105041,FRAGANCIAS,ESIKA,49.9
30547748,200095177,CUIDADO PERSONAL,ESIKA,18.0
49962444,200099202,MAQUILLAJE,LBEL,120.0
47841925,400095692,,ESIKA,0.4
47841925,210097923,MAQUILLAJE,CYZONE,40.0
23475324,200109537,CUIDADO PERSONAL,ESIKA,18.0
43768565,200103025,CUIDADO PERSONAL,ESIKA,68.0
49021348,400095728,,GENERICA,0.8
43768565,210103568,BIJOUTERIE,ESIKA,90.0
49661266,400097961,,GENERICA,0.31
49962444,210104375,BIJOUTERIE,ESIKA,110.0
47841925,200095158,CUIDADO PERSONAL,ESIKA,18.0
1156543,400095692,,ESIKA,0.4
49986777,200104937,CUIDADO PERSONAL,ESIKA,32.0
47841925,210105870,VARIOS,ESIKA,0.27
49864086,200098674,MUESTRAS COSMETICOS,ESIKA,1.2
47841925,400083364,,GENERICA,0.08
23475324,210102115,MAQUILLAJE,CYZONE,50.0
50064719,400095693,,ESIKA,0.08
49864086,210099617,COMPLEMENTOS,CYZONE,108.0
49940661,200103448,CUIDADO PERSONAL,ESIKA,18.0
47841925,200111164,MUESTRAS COSMETICOS,CYZONE,1.3
50412725,200098674,MUESTRAS COSMETICOS,ESIKA,1.2
49328311,200090346,CUIDADO PERSONAL,ESIKA,50.0
50412725,200107143,MAQUILLAJE,CYZONE,34.0
50427919,200108674,CUIDADO PERSONAL,ESIKA,18.0
43609947,200105188,CUIDADO PERSONAL,ESIKA,18.0
50427919,200089168,FRAGANCIAS,CYZONE,80.0
50427919,200093883,FRAGANCIAS,ESIKA,64.0
50412725,200108892,TRATAMIENTO FACIAL,CYZONE,42.0
49986777,200105130,MAQUILLAJE,LBEL,66.0
50064719,200109796,MUESTRAS COSMETICOS,LBEL,1.9
