CODEBELISTA,ANIOCAMPANA,CODPAIS,CODPRODUCTOSAP,DESCATEGORIA,DESMARCA,PRECIOOFERTA,FECHAPROCESO,ROLLING_SEGMENT
6766099,202310,PE,200095464,CUIDADO PERSONAL,ESIKA,7.38,04-07-2023,Constantes 3
46928369,202310,PE,200094840,MAQUILLAJE,ESIKA,15.9,04-07-2023,Constantes 2
6766099,202310,PE,200102092,MAQUILLAJE,CYZONE,14.9,04-07-2023,Constantes 2
49682867,202310,PE,200106460,MAQUILLAJE,ESIKA,17.45,04-07-2023,Constantes 2
50236552,202310,PE,210103503,BIJOUTERIE,ESIKA,39.9,04-07-2023,Nuevas
49682867,202310,PE,210102565,COMPLEMENTOS,CYZONE,54.9,04-07-2023,Nuevas
46495217,202310,PE,200098673,FRAGANCIAS,ESIKA,11.98,04-07-2023,Nuevas
46495217,202310,PE,200102108,MAQUILLAJE,CYZONE,14.9,04-07-2023,Constantes 2
6766099,202310,PE,200105017,FRAGANCIAS,CYZONE,19.99,04-07-2023,Constantes 2
6766099,202310,PE,200106397,FRAGANCIAS,ESIKA,17.98,04-07-2023,Constantes 2
50137716,202310,PE,200105130,MAQUILLAJE,LBEL,16.9,04-07-2023,Constantes 1
46495217,202310,PE,200102089,MAQUILLAJE,CYZONE,14.9,04-07-2023,Constantes 3
32375553,202310,PE,200113796,MAQUILLAJE,CYZONE,14.9,04-07-2023,Constantes 3
46495217,202310,PE,200103394,MAQUILLAJE,ESIKA,24.9,04-07-2023,Nuevas
6766099,202310,PE,200095158,CUIDADO PERSONAL,ESIKA,7.38,04-07-2023,Nuevas
32375553,202310,PE,200105289,TRATAMIENTO FACIAL,LBEL,30.9,04-07-2023,Inconstantes
49621140,202302,PE,210095652,MAQUILLAJE,CYZONE,5,10-01-2023,Nuevas
49829035,202302,PE,200106606,MAQUILLAJE,CYZONE,21.9,17-01-2023,Inconstantes
47995051,202302,PE,200078931,CUIDADO PERSONAL,ESIKA,11.65,25-01-2023,Constantes 2
20810254,202302,PE,200086185,MAQUILLAJE,LBEL,70,16-01-2023,Nuevas
49245653,202302,PE,200090350,TRATAMIENTO CORPORAL,ESIKA,28.9,13-01-2023,Inconstantes
48652093,202302,PE,210099562,HOGAR,CYZONE,29.9,17-01-2023,Nuevas
50236552,202302,PE,200113733,VARIOS,GENERICA,54.9,20-01-2023,Inconstantes
47995051,202302,PE,200106304,FRAGANCIAS,ESIKA,34.02,25-01-2023,Inconstantes
48283403,202302,PE,200106573,MAQUILLAJE,CYZONE,14.95,12-01-2023,Constantes 2
49475098,202302,PE,200102111,MAQUILLAJE,CYZONE,15.9,10-01-2023,Constantes 3
35115986,202302,PE,210102353,BIJOUTERIE,ESIKA,39.9,10-01-2023,Constantes 3
50207838,202302,PE,200104937,CUIDADO PERSONAL,ESIKA,15.9,13-01-2023,Nuevas
41941847,202302,PE,200089988,MAQUILLAJE,CYZONE,13.5,13-01-2023,Inconstantes
48053378,202302,PE,200105034,TRATAMIENTO FACIAL,CYZONE,19.9,19-01-2023,Inconstantes
46495217,202302,PE,200107825,CUIDADO PERSONAL,LBEL,24.5,18-01-2023,Nuevas
49755953,202302,PE,200103025,CUIDADO PERSONAL,ESIKA,21.98,13-01-2023,Constantes 3
35783148,202302,PE,210102044,COMPLEMENTOS,CYZONE,27.9,19-01-2023,Constantes 2
48854338,202302,PE,200103020,CUIDADO PERSONAL,ESIKA,13.3,27-01-2023,Constantes 1
49621140,202302,PE,200085506,FRAGANCIAS,LBEL,54.97,10-01-2023,Constantes 3
23989824,202302,PE,200110005,MAQUILLAJE,ESIKA,29.9,17-01-2023,Inconstantes
38933175,202302,PE,200109352,MAQUILLAJE,CYZONE,8.9,23-01-2023,Inconstantes
46258398,202302,PE,200095170,CUIDADO PERSONAL,ESIKA,7.38,19-01-2023,Constantes 3
50216160,202302,PE,200105017,FRAGANCIAS,CYZONE,16.22,18-01-2023,Constantes 1
48641350,202302,PE,210098751,COMPLEMENTOS,CYZONE,49.9,10-01-2023,Constantes 3
49829035,202302,PE,210098469,MAQUILLAJE,CYZONE,13.9,17-01-2023,Constantes 1
41079411,202302,PE,210102041,COMPLEMENTOS,CYZONE,22.9,23-01-2023,Constantes 1
48019498,202302,PE,200039855,FRAGANCIAS,CYZONE,42.9,17-01-2023,Constantes 1
48854338,202302,PE,200095159,CUIDADO PERSONAL,ESIKA,7.38,27-01-2023,Constantes 1
45808947,202302,PE,200098377,FRAGANCIAS,ESIKA,106.9,16-01-2023,Nuevas
45345920,202301,PE,200109537,CUIDADO PERSONAL,ESIKA,7.38,05-01-2023,Constantes 2
46258398,202301,PE,210102036,COMPLEMENTOS,CYZONE,33.9,04-01-2023,Constantes 2
9319727,202301,PE,200106312,FRAGANCIAS,ESIKA,17.36,06-01-2023,Constantes 3
33674465,202301,PE,200103452,CUIDADO PERSONAL,LBEL,8.9,13-12-2022,Constantes 3
49478801,202301,PE,200106354,FRAGANCIAS,LBEL,19.9,16-12-2022,Constantes 2
6766099,202301,PE,200082687,CUIDADO PERSONAL,ESIKA,17.9,29-12-2022,Constantes 3
35783148,202301,PE,200105017,FRAGANCIAS,CYZONE,17.1,28-12-2022,Constantes 2
43819615,202301,PE,200108505,CUIDADO PERSONAL,ESIKA,19.9,26-12-2022,Constantes 2
49841213,202301,PE,200102092,MAQUILLAJE,CYZONE,9.9,29-12-2022,Constantes 3
49245653,202301,PE,200107360,MAQUILLAJE,CYZONE,13.9,23-12-2022,Constantes 1
35115986,202301,PE,200108044,TRATAMIENTO CORPORAL,ESIKA,17.9,21-12-2022,Constantes 1
44736446,202301,PE,200099047,FRAGANCIAS,ESIKA,35.22,23-12-2022,Constantes 1
49094396,202301,PE,210099604,BIJOUTERIE,CYZONE,39.9,27-12-2022,Constantes 3
43374087,202301,PE,200083997,FRAGANCIAS,ESIKA,18.45,06-01-2023,Constantes 3
46928369,202301,PE,200095931,FRAGANCIAS,ESIKA,1.37,27-12-2022,Constantes 3
46258398,202302,PE,200105017,FRAGANCIAS,CYZONE,16.63,19-01-2023,Constantes 3
49245653,202302,PE,200112294,MAQUILLAJE,CYZONE,9.5,13-01-2023,Nuevas
36838736,202302,PE,210097974,COMPLEMENTOS,CYZONE,49.9,16-01-2023,Inconstantes
47979439,202302,PE,200089509,FRAGANCIAS,ESIKA,37.45,19-01-2023,Constantes 3
49885679,202302,PE,200106304,FRAGANCIAS,ESIKA,39.9,24-01-2023,Constantes 2
49264844,202302,PE,210102346,BIJOUTERIE,ESIKA,64.9,25-01-2023,Constantes 1
50063321,202302,PE,200078924,CUIDADO PERSONAL,ESIKA,13.3,12-01-2023,Constantes 1
50180832,202302,PE,200108048,FRAGANCIAS,CYZONE,23.9,18-01-2023,Constantes 2
43819615,202302,PE,200105195,CUIDADO PERSONAL,ESIKA,5.1,18-01-2023,Constantes 2
48652093,202302,PE,200112474,TRATAMIENTO CORPORAL,LBEL,29.9,17-01-2023,Constantes 3
9799877,202302,PE,200103026,CUIDADO PERSONAL,ESIKA,14.95,09-01-2023,Constantes 1
48989926,202302,PE,200108044,TRATAMIENTO CORPORAL,ESIKA,13.47,27-01-2023,Inconstantes
38933175,202302,PE,210099696,PROMOCION USUARIOS,CYZONE,1.9,23-01-2023,Constantes 3
9319727,202302,PE,210098462,MAQUILLAJE,CYZONE,13.9,24-01-2023,Inconstantes
36653310,202302,PE,200109169,MAQUILLAJE,CYZONE,15.9,18-01-2023,Constantes 3
49163312,202302,PE,200090351,TRATAMIENTO CORPORAL,ESIKA,28.9,17-01-2023,Inconstantes
50083268,202302,PE,200102282,MAQUILLAJE,ESIKA,34.9,02-01-2023,Constantes 2
49276435,202302,PE,210102044,COMPLEMENTOS,CYZONE,34.9,09-01-2023,Nuevas
42010081,202302,PE,200105041,FRAGANCIAS,ESIKA,19.9,17-01-2023,Inconstantes
47841925,202302,PE,210101977,COMPLEMENTOS,CYZONE,51.9,16-01-2023,Constantes 2
48641350,202302,PE,200102110,MAQUILLAJE,CYZONE,15.9,10-01-2023,Constantes 3
35783148,202302,PE,210095652,MAQUILLAJE,CYZONE,18.9,19-01-2023,Inconstantes
50012395,202302,PE,200108807,CUIDADO PERSONAL,ESIKA,7.38,10-01-2023,Inconstantes
41599235,202302,PE,200102450,FRAGANCIAS,CYZONE,17.47,20-01-2023,Constantes 2
49163312,202302,PE,200108752,CUIDADO PERSONAL,ESIKA,17.61,17-01-2023,Constantes 3
49475098,202302,PE,200073557,TRATAMIENTO FACIAL,LBEL,29.9,10-01-2023,Nuevas
23989824,202302,PE,210098467,MAQUILLAJE,CYZONE,13.9,17-01-2023,Constantes 1
40398864,202302,PE,200107822,CUIDADO PERSONAL,LBEL,17.99,12-01-2023,Constantes 1
49853408,202302,PE,200105214,TRATAMIENTO FACIAL,ESIKA,21.9,12-01-2023,Constantes 2
41941847,202302,PE,200106528,MAQUILLAJE,ESIKA,22.9,13-01-2023,Constantes 1
48255698,202302,PE,200101577,MAQUILLAJE,ESIKA,17.9,23-01-2023,Inconstantes
23989824,202302,PE,200102063,MAQUILLAJE,CYZONE,50.9,17-01-2023,Inconstantes
42445754,202302,PE,210100529,MAQUILLAJE,CYZONE,22.9,09-01-2023,Inconstantes
48375936,202302,PE,200078924,CUIDADO PERSONAL,ESIKA,15.9,09-01-2023,Constantes 1
49264844,202302,PE,200095931,FRAGANCIAS,ESIKA,29.9,25-01-2023,Nuevas
48141730,202303,PE,200098698,TRATAMIENTO FACIAL,ESIKA,21.9,15-02-2023,Constantes 1
41941847,202303,PE,200105041,FRAGANCIAS,ESIKA,12.97,31-01-2023,Constantes 2
49930828,202303,PE,200092333,FRAGANCIAS,CYZONE,23.98,14-02-2023,Nuevas
48809553,202303,PE,200090351,TRATAMIENTO CORPORAL,ESIKA,29.9,08-02-2023,Constantes 1
34392137,202303,PE,200108671,FRAGANCIAS,ESIKA,52.9,14-02-2023,Inconstantes
49860358,202303,PE,200112640,TRATAMIENTO FACIAL,ESIKA,42.9,08-02-2023,Constantes 1
46928369,202303,PE,210092742,MAQUILLAJE,ESIKA,29.9,01-02-2023,Constantes 2
34392137,202303,PE,200092792,MAQUILLAJE,LBEL,30,14-02-2023,Nuevas
44363682,202303,PE,200103354,MAQUILLAJE,ESIKA,16.12,10-02-2023,Constantes 2
6766099,202303,PE,200102648,MAQUILLAJE,ESIKA,19.9,09-02-2023,Constantes 3
20810254,202303,PE,200109874,FRAGANCIAS,CYZONE,24.9,31-01-2023,Inconstantes
11577490,202303,PE,210099655,COMPLEMENTOS,CYZONE,62.9,10-02-2023,Constantes 3
49437838,202303,PE,210100187,PROMOCION USUARIOS,LBEL,44.66,31-01-2023,Inconstantes
21273090,202303,PE,200108671,FRAGANCIAS,ESIKA,52.9,15-02-2023,Constantes 3
33674465,202303,PE,200106531,MAQUILLAJE,ESIKA,22.9,24-01-2023,Constantes 1
49923171,202303,PE,210099148,BIJOUTERIE,ESIKA,43,02-02-2023,Constantes 3
49478801,202303,PE,210102328,BIJOUTERIE,ESIKA,41.9,31-01-2023,Constantes 3
35783148,202303,PE,200102108,MAQUILLAJE,CYZONE,11.98,15-02-2023,Constantes 2
50222365,202303,PE,200108671,FRAGANCIAS,ESIKA,52.9,23-01-2023,Nuevas
50180832,202303,PE,200095430,CUIDADO PERSONAL,CYZONE,8.9,08-02-2023,Nuevas
36653310,202303,PE,200102111,MAQUILLAJE,CYZONE,11.98,31-01-2023,Constantes 1
9319727,202303,PE,210099696,PROMOCION USUARIOS,CYZONE,0.85,13-02-2023,Inconstantes
34191115,202303,PE,200108893,FRAGANCIAS,CYZONE,56.9,13-02-2023,Inconstantes
49925166,202303,PE,200108409,FRAGANCIAS,ESIKA,18.34,03-02-2023,Nuevas
43256556,202303,PE,200099310,FRAGANCIAS,ESIKA,19.4,08-02-2023,Nuevas
35115986,202303,PE,200095430,CUIDADO PERSONAL,CYZONE,8.9,14-02-2023,Nuevas
36653310,202303,PE,200113793,MAQUILLAJE,CYZONE,11.98,31-01-2023,Constantes 2
50222365,202303,PE,200103025,CUIDADO PERSONAL,ESIKA,29.9,23-01-2023,Constantes 2
50154882,202303,PE,200095430,CUIDADO PERSONAL,CYZONE,9.64,06-02-2023,Constantes 1
48053378,202303,PE,200106437,MAQUILLAJE,ESIKA,19.9,09-02-2023,Constantes 1
49005369,202303,PE,200095385,TRATAMIENTO CORPORAL,ESIKA,25.79,02-02-2023,Constantes 1
25017854,202303,PE,200106346,FRAGANCIAS,ESIKA,24.49,23-01-2023,Nuevas
6766099,202303,PE,200102962,MAQUILLAJE,ESIKA,14.9,09-02-2023,Constantes 1
46928369,202303,PE,210099696,PROMOCION USUARIOS,CYZONE,0.85,01-02-2023,Constantes 1
41599235,202303,PE,200113244,FRAGANCIAS,LBEL,39.9,17-02-2023,Constantes 3
41599235,202303,PE,200109067,TRATAMIENTO CORPORAL,ESIKA,10.98,17-02-2023,Constantes 2
48375936,202303,PE,200113791,MAQUILLAJE,CYZONE,11.98,30-01-2023,Constantes 3
48019498,202303,PE,200091875,MAQUILLAJE,ESIKA,34.9,06-02-2023,Constantes 2
36653310,202303,PE,200106593,MAQUILLAJE,CYZONE,14.9,31-01-2023,Constantes 2
38933175,202303,PE,210100619,COMPLEMENTOS,CYZONE,49.9,10-02-2023,Constantes 1
9535063,202303,PE,200106279,FRAGANCIAS,ESIKA,26.9,08-02-2023,Constantes 1
25017854,202303,PE,210102383,BIJOUTERIE,ESIKA,39.9,23-01-2023,Inconstantes
42904414,202303,PE,210096211,MAQUILLAJE,ESIKA,18.9,30-01-2023,Constantes 1
6766099,202303,PE,200102714,MAQUILLAJE,ESIKA,21.9,09-02-2023,Constantes 2
45717070,202303,PE,200099047,FRAGANCIAS,ESIKA,19.95,06-02-2023,Constantes 1
50129098,202303,PE,200097947,FRAGANCIAS,CYZONE,17.5,03-02-2023,Constantes 3
35115986,202303,PE,200094842,MAQUILLAJE,ESIKA,14.9,13-02-2023,Constantes 3
46349253,202303,PE,200095162,CUIDADO PERSONAL,ESIKA,5.36,17-02-2023,Constantes 1
48255698,202303,PE,200103026,CUIDADO PERSONAL,ESIKA,18.9,09-02-2023,Inconstantes
48375936,202303,PE,200102109,MAQUILLAJE,CYZONE,11.98,30-01-2023,Constantes 1
48019498,202303,PE,200105355,TRATAMIENTO FACIAL,ESIKA,16.9,06-02-2023,Constantes 1
49923171,202303,PE,200082674,FRAGANCIAS,ESIKA,12.3,02-02-2023,Constantes 1
48019498,202303,PE,210100664,COMPLEMENTOS,CYZONE,46.9,06-02-2023,Nuevas
50216160,202303,PE,210093260,BIJOUTERIE,ESIKA,49.9,07-02-2023,Nuevas
50180832,202303,PE,200108908,CUIDADO PERSONAL,CYZONE,16.9,08-02-2023,Constantes 2
21273090,202303,PE,200106312,FRAGANCIAS,ESIKA,17.36,15-02-2023,Constantes 1
49618255,202303,PE,200095374,CUIDADO PERSONAL,ESIKA,7.38,13-02-2023,Inconstantes
40398864,202303,PE,200064341,CUIDADO PERSONAL,ESIKA,12.9,02-02-2023,Constantes 3
50028100,202303,PE,200088133,FRAGANCIAS,ESIKA,69.9,10-02-2023,Constantes 3
34392137,202303,PE,200099047,FRAGANCIAS,ESIKA,19.95,14-02-2023,Constantes 1
21273090,202303,PE,210099758,BIJOUTERIE,ESIKA,44.9,15-02-2023,Constantes 3
47030943,202303,PE,200107337,TRATAMIENTO FACIAL,CYZONE,18,02-02-2023,Constantes 3
45717070,202303,PE,200072913,FRAGANCIAS,ESIKA,21.9,06-02-2023,Inconstantes
49458142,202303,PE,200109874,FRAGANCIAS,CYZONE,24.9,08-02-2023,Constantes 2
50200507,202303,PE,200095170,CUIDADO PERSONAL,ESIKA,5.76,09-02-2023,Nuevas
9799877,202303,PE,200094826,MAQUILLAJE,ESIKA,14.9,30-01-2023,Nuevas
40398864,202303,PE,200107359,MAQUILLAJE,CYZONE,13.9,02-02-2023,Nuevas
49437838,202303,PE,200084882,FRAGANCIAS,LBEL,90,31-01-2023,Constantes 3
47995051,202303,PE,200106488,TRATAMIENTO FACIAL,CYZONE,23.9,18-02-2023,Inconstantes
50012395,202303,PE,210101263,COMPLEMENTOS,CYZONE,46.9,31-01-2023,Constantes 3
47030943,202303,PE,200098673,FRAGANCIAS,ESIKA,69.9,02-02-2023,Constantes 2
48255698,202303,PE,210097536,TRATAMIENTO CORPORAL,CYZONE,33.9,09-02-2023,Constantes 3
23989824,202303,PE,200102282,MAQUILLAJE,ESIKA,22.9,07-02-2023,Constantes 2
50236552,202303,PE,200106488,TRATAMIENTO FACIAL,CYZONE,12.45,07-02-2023,Constantes 2
36977272,202303,PE,200089988,MAQUILLAJE,CYZONE,16.9,07-02-2023,Constantes 1
44363682,202303,PE,210095999,HOGAR,CYZONE,17.9,10-02-2023,Constantes 2
49437838,202303,PE,200113244,FRAGANCIAS,LBEL,55.24,31-01-2023,Constantes 3
44736446,202303,PE,200106349,FRAGANCIAS,LBEL,40.5,03-02-2023,Constantes 1
46495217,202303,PE,210099696,PROMOCION USUARIOS,CYZONE,1.24,09-02-2023,Inconstantes
49264844,202303,PE,210100407,CUIDADO PERSONAL,CYZONE,14.98,17-02-2023,Constantes 1
49264844,202303,PE,200092333,FRAGANCIAS,CYZONE,34.9,17-02-2023,Constantes 1
36910046,202303,PE,200099047,FRAGANCIAS,ESIKA,19.95,17-02-2023,Inconstantes
49264844,202303,PE,210095993,MAQUILLAJE,ESIKA,24.9,17-02-2023,Constantes 1
6766099,202303,PE,200105079,FRAGANCIAS,CYZONE,29.9,09-02-2023,Constantes 1
48019498,202303,PE,210100409,CUIDADO PERSONAL,LBEL,13.6,06-02-2023,Nuevas
49437838,202303,PE,200082687,CUIDADO PERSONAL,ESIKA,16,31-01-2023,Constantes 2
48652093,202303,PE,200090346,CUIDADO PERSONAL,ESIKA,23.9,13-02-2023,Constantes 1
44363682,202303,PE,200099047,FRAGANCIAS,ESIKA,19.95,10-02-2023,Constantes 2
9799877,202303,PE,200090349,CUIDADO PERSONAL,ESIKA,23.9,30-01-2023,Inconstantes
43256556,202303,PE,200108892,TRATAMIENTO FACIAL,CYZONE,25.9,08-02-2023,Inconstantes
50222365,202303,PE,200105188,CUIDADO PERSONAL,ESIKA,7.38,23-01-2023,Constantes 1
49829035,202303,PE,200103354,MAQUILLAJE,ESIKA,12,14-02-2023,Constantes 2
43819615,202303,PE,200084778,CUIDADO PERSONAL,CYZONE,15.9,13-02-2023,Constantes 3
20810254,202303,PE,210095652,MAQUILLAJE,CYZONE,24.9,09-02-2023,Inconstantes
46349253,202303,PE,200095931,FRAGANCIAS,ESIKA,37.51,17-02-2023,Constantes 1
49245653,202303,PE,200108908,CUIDADO PERSONAL,CYZONE,16.9,07-02-2023,Constantes 1
47906121,202303,PE,200103025,CUIDADO PERSONAL,ESIKA,18.7,16-02-2023,Constantes 1
49276435,202303,PE,200102109,MAQUILLAJE,CYZONE,13.88,30-01-2023,Constantes 2
50242153,202303,PE,200086399,FRAGANCIAS,LBEL,29.9,23-01-2023,Nuevas
34899215,202303,PE,200113792,MAQUILLAJE,CYZONE,14.95,13-02-2023,Nuevas
49621140,202303,PE,200108807,CUIDADO PERSONAL,ESIKA,7.38,02-02-2023,Constantes 2
49755953,202303,PE,200106346,FRAGANCIAS,ESIKA,27.3,03-02-2023,Inconstantes
48641350,202303,PE,210102625,COMPLEMENTOS,CYZONE,64.9,01-02-2023,Nuevas
43819615,202303,PE,200072913,FRAGANCIAS,ESIKA,12.3,13-02-2023,Constantes 1
48652093,202303,PE,210102338,BIJOUTERIE,ESIKA,39.9,13-02-2023,Inconstantes
34392137,202303,PE,200086399,FRAGANCIAS,LBEL,19.95,14-02-2023,Constantes 2
46810376,202303,PE,200095170,CUIDADO PERSONAL,ESIKA,8.9,07-02-2023,Constantes 3
37270350,202303,PE,200097067,CUIDADO PERSONAL,ESIKA,24.88,10-02-2023,Inconstantes
29870691,202303,PE,200105188,CUIDADO PERSONAL,ESIKA,5.1,09-02-2023,Constantes 1
45296474,202303,PE,200078944,CUIDADO PERSONAL,ESIKA,11.65,30-01-2023,Constantes 3
36653310,202303,PE,200106669,MAQUILLAJE,ESIKA,16.9,31-01-2023,Constantes 3
23989824,202303,PE,200086399,FRAGANCIAS,LBEL,31.24,07-02-2023,Nuevas
23989824,202303,PE,200106609,MAQUILLAJE,CYZONE,16.9,07-02-2023,Constantes 2
49653417,202303,PE,200095162,CUIDADO PERSONAL,ESIKA,5.1,03-02-2023,Nuevas
49621140,202303,PE,200103354,MAQUILLAJE,ESIKA,14.8,02-02-2023,Inconstantes
49264844,202303,PE,200113792,MAQUILLAJE,CYZONE,11.98,17-02-2023,Inconstantes
20810254,202303,PE,200109356,MAQUILLAJE,CYZONE,8,31-01-2023,Constantes 3
41941847,202303,PE,200106556,MAQUILLAJE,CYZONE,17.9,10-02-2023,Constantes 1
50207838,202303,PE,200108507,CUIDADO PERSONAL,ESIKA,14.9,01-02-2023,Constantes 1
46810376,202303,PE,200105017,FRAGANCIAS,CYZONE,12.9,07-02-2023,Constantes 2
49841213,202303,PE,200089509,FRAGANCIAS,ESIKA,41.9,10-02-2023,Constantes 1
41941847,202303,PE,200109874,FRAGANCIAS,CYZONE,25.7,31-01-2023,Constantes 2
49475098,202303,PE,200103025,CUIDADO PERSONAL,ESIKA,43.9,06-02-2023,Constantes 1
50207838,202303,PE,200095426,CUIDADO PERSONAL,CYZONE,8.9,01-02-2023,Constantes 2
49925166,202303,PE,200095158,CUIDADO PERSONAL,ESIKA,7.63,03-02-2023,Constantes 2
41599235,202303,PE,200103963,TRATAMIENTO CORPORAL,LBEL,10.98,17-02-2023,Constantes 1
9319727,202303,PE,200113792,MAQUILLAJE,CYZONE,16.82,13-02-2023,Nuevas
47841925,202303,PE,210095971,MAQUILLAJE,CYZONE,18.9,03-02-2023,Nuevas
49653417,202303,PE,200105215,TRATAMIENTO FACIAL,ESIKA,49.9,03-02-2023,Constantes 1
9535063,202303,PE,200095500,FRAGANCIAS,ESIKA,48.9,08-02-2023,Constantes 1
42904414,202303,PE,200109874,FRAGANCIAS,CYZONE,34.9,30-01-2023,Constantes 2
37270350,202303,PE,210099696,PROMOCION USUARIOS,CYZONE,0.96,10-02-2023,Inconstantes
47841925,202303,PE,200103961,TRATAMIENTO CORPORAL,LBEL,5.89,03-02-2023,Constantes 1
48141730,202303,PE,200105017,FRAGANCIAS,CYZONE,18.25,15-02-2023,Constantes 3
48141730,202303,PE,210102314,BIJOUTERIE,ESIKA,59.9,15-02-2023,Constantes 1
20810254,202303,PE,210102012,COMPLEMENTOS,CYZONE,66.9,09-02-2023,Constantes 3
49264844,202303,PE,200086432,FRAGANCIAS,ESIKA,29.45,17-02-2023,Nuevas
43819615,202303,PE,200099047,FRAGANCIAS,ESIKA,19.95,13-02-2023,Constantes 1
41941847,202303,PE,200112291,MAQUILLAJE,CYZONE,9.5,10-02-2023,Constantes 3
47423058,202303,PE,210100662,COMPLEMENTOS,CYZONE,54.9,09-02-2023,Inconstantes
46810376,202303,PE,210102345,BIJOUTERIE,ESIKA,54.9,07-02-2023,Nuevas
41941847,202303,PE,200102071,MAQUILLAJE,ESIKA,23.9,03-02-2023,Constantes 3
50180832,202303,PE,210097536,TRATAMIENTO CORPORAL,CYZONE,33.9,08-02-2023,Constantes 2
25017854,202303,PE,200097067,CUIDADO PERSONAL,ESIKA,24.88,23-01-2023,Constantes 1
49163312,202303,PE,200091727,FRAGANCIAS,ESIKA,53.9,09-02-2023,Inconstantes
49478801,202303,PE,200106852,FRAGANCIAS,LBEL,62.31,31-01-2023,Constantes 3
36910046,202303,PE,200106568,MAQUILLAJE,CYZONE,13.9,17-02-2023,Inconstantes
47590043,202303,PE,210097919,HOGAR,CYZONE,39.9,06-02-2023,Nuevas
21273090,202303,PE,200109874,FRAGANCIAS,CYZONE,24.9,15-02-2023,Constantes 3
38099701,202303,PE,200106604,MAQUILLAJE,CYZONE,16.9,23-01-2023,Constantes 3
49029489,202303,PE,210102383,BIJOUTERIE,ESIKA,39.9,01-02-2023,Constantes 2
49094396,202303,PE,200107348,MAQUILLAJE,CYZONE,13.9,10-02-2023,Constantes 3
48255698,202303,PE,200083615,FRAGANCIAS,CYZONE,39.77,09-02-2023,Constantes 1
43256556,202303,PE,200109874,FRAGANCIAS,CYZONE,24.9,08-02-2023,Constantes 2
47659973,202303,PE,200109538,FRAGANCIAS,LBEL,29.9,15-02-2023,Inconstantes
41941847,202303,PE,200107828,CUIDADO PERSONAL,LBEL,23,10-02-2023,Inconstantes
49860358,202303,PE,200089507,FRAGANCIAS,ESIKA,39.9,08-02-2023,Inconstantes
49458142,202303,PE,210102381,BIJOUTERIE,ESIKA,44.9,08-02-2023,Constantes 1
35115986,202303,PE,200106556,MAQUILLAJE,CYZONE,17.9,13-02-2023,Nuevas
49005369,202303,PE,200109874,FRAGANCIAS,CYZONE,24.9,02-02-2023,Constantes 2
34460329,202303,PE,200100866,FRAGANCIAS,ESIKA,52.18,13-02-2023,Inconstantes
40398864,202303,PE,200100617,FRAGANCIAS,ESIKA,17.19,02-02-2023,Inconstantes
49005369,202303,PE,200086399,FRAGANCIAS,LBEL,19.95,02-02-2023,Constantes 2
46810376,202303,PE,210102021,COMPLEMENTOS,CYZONE,86.9,07-02-2023,Nuevas
50200507,202303,PE,200099206,MAQUILLAJE,LBEL,58,09-02-2023,Constantes 3
40398864,202303,PE,200105011,FRAGANCIAS,CYZONE,27.44,02-02-2023,Inconstantes
47979439,202303,PE,200103020,CUIDADO PERSONAL,ESIKA,15.9,10-02-2023,Nuevas
41941847,202303,PE,210099146,BIJOUTERIE,ESIKA,43,03-02-2023,Constantes 3
49245653,202303,PE,200089988,MAQUILLAJE,CYZONE,6.6,07-02-2023,Constantes 2
49163312,202303,PE,210098530,MAQUILLAJE,CYZONE,17.9,09-02-2023,Nuevas
47841925,202303,PE,200106604,MAQUILLAJE,CYZONE,10.63,03-02-2023,Inconstantes
48551114,202303,PE,200102962,MAQUILLAJE,ESIKA,14.9,10-02-2023,Constantes 3
49094396,202303,PE,200095864,FRAGANCIAS,LBEL,99,10-02-2023,Constantes 3
42010081,202303,PE,200082678,FRAGANCIAS,ESIKA,27.9,07-02-2023,Constantes 3
45717070,202303,PE,200103354,MAQUILLAJE,ESIKA,12,06-02-2023,Constantes 1
36838736,202303,PE,200102116,MAQUILLAJE,CYZONE,15.9,02-02-2023,Nuevas
42010081,202303,PE,200105989,TRATAMIENTO FACIAL,ESIKA,43.9,07-02-2023,Constantes 2
22662147,202303,PE,210101851,PROMOCION USUARIOS,CYZONE,1.36,13-02-2023,Nuevas
46349253,202303,PE,200095465,CUIDADO PERSONAL,ESIKA,7.38,17-02-2023,Constantes 1
48141730,202303,PE,200064310,FRAGANCIAS,ESIKA,12.3,15-02-2023,Constantes 2
44621738,202303,PE,200098673,FRAGANCIAS,ESIKA,69.9,14-02-2023,Constantes 1
48551114,202303,PE,210098197,BIJOUTERIE,ESIKA,49.9,10-02-2023,Constantes 1
49930828,202303,PE,200092742,FRAGANCIAS,CYZONE,23.98,14-02-2023,Inconstantes
34899215,202303,PE,200107360,MAQUILLAJE,CYZONE,13.9,13-02-2023,Constantes 3
21273090,202303,PE,210100064,BIJOUTERIE,ESIKA,59.9,15-02-2023,Constantes 3
46495217,202303,PE,210095652,MAQUILLAJE,CYZONE,18.89,09-02-2023,Nuevas
47995051,202303,PE,200106488,TRATAMIENTO FACIAL,CYZONE,16.9,18-02-2023,Nuevas
36653310,202303,PE,200082481,FRAGANCIAS,CYZONE,25,31-01-2023,Constantes 2
30993470,202303,PE,200103449,CUIDADO PERSONAL,CYZONE,8.9,01-02-2023,Constantes 3
48652093,202303,PE,210096995,BIJOUTERIE,ESIKA,39.9,13-02-2023,Nuevas
