consultant_id,product_id,category,brand,price,date,purchase_frequency,daily_total_spent,average_purchasing_power,recency,purchase_frequency_normalized,recency_normalized,total_spent,purchase_count,unique_products,rolling_segments
49588232,200107184,MAQUILLAJE,CYZONE,14.9,04-07-2023,31,596.21,430.195,538,0.526315789,0.723202171,12048.73,475,327,Inconstantes
50476650,200105005,FRAGANCIAS,CYZONE,24.3,04-07-2023,20,411,430.195,538,0.333333333,0.723202171,1516.25,80,70,Nuevas
49588232,200107616,MAQUILLAJE,LBEL,21.45,04-07-2023,31,596.21,430.195,538,0.526315789,0.723202171,12048.73,475,327,Inconstantes
50349691,200103027,CUIDADO PERSONAL,ESIKA,23.9,04-07-2023,13,452,430.195,538,0.210526316,0.723202171,4795.95,159,126,Constantes 2
50476650,200101110,TRATAMIENTO FACIAL,LBEL,46,04-07-2023,20,411,430.195,538,0.333333333,0.723202171,1516.25,80,70,Nuevas
45869830,200102110,MAQUILLAJE,CYZONE,14.9,04-07-2023,8,190.8,430.195,538,0.122807018,0.723202171,7292.2,285,203,Inconstantes
50476650,200064310,FRAGANCIAS,ESIKA,12.3,04-07-2023,20,411,430.195,538,0.333333333,0.723202171,1516.25,80,70,Nuevas
45869830,210095971,MAQUILLAJE,CYZONE,25.9,04-07-2023,8,190.8,430.195,538,0.122807018,0.723202171,7292.2,285,203,Inconstantes
50837122,200089487,TRATAMIENTO FACIAL,ESIKA,19.9,04-07-2023,7,223.85,430.195,538,0.105263158,0.723202171,1646.99,56,53,Inconstantes
50349691,200090337,CUIDADO PERSONAL,ESIKA,24.9,04-07-2023,13,452,430.195,538,0.210526316,0.723202171,4795.95,159,126,Constantes 2
50843157,200072406,CUIDADO PERSONAL,LBEL,14.41,04-07-2023,8,252,430.195,538,0.122807018,0.723202171,1739.1,70,64,Constantes 3
50843157,200108157,FRAGANCIAS,LBEL,21.28,04-07-2023,8,252,430.195,538,0.122807018,0.723202171,1739.1,70,64,Constantes 3
50476650,200103327,MAQUILLAJE,ESIKA,24.9,04-07-2023,20,411,430.195,538,0.333333333,0.723202171,1516.25,80,70,Nuevas
49588232,200103025,CUIDADO PERSONAL,ESIKA,21.98,04-07-2023,31,596.21,430.195,538,0.526315789,0.723202171,12048.73,475,327,Inconstantes
49588232,210101976,COMPLEMENTOS,CYZONE,49.9,04-07-2023,31,596.21,430.195,538,0.526315789,0.723202171,12048.73,475,327,Inconstantes
