consultant_id,product_id,category,brand,price,date,purchase_frequency,daily_total_spent,average_purchasing_power,recency,purchase_frequency_normalized,recency_normalized,total_spent,purchase_count,unique_products,rolling_segments,normalized_f,normalized_r,combined_score,bundle_id,is_anchor,bundle_score,category_score,business_score,score,selection_score
Constantes 2,200101369,FRAGANCIAS,LBEL,24.9,26-12-2022,21,517.98,430.195,728,0.350877193,0.981004071,5454.17,197,150,Constantes 2,0.4878048780487805,0.980225988700565,0.7832575444398511,Constantes 2_Bundle_1,0,0.5995895588495836,1.0,3.0,2.5,2.5
Constantes 2,200088133,FRAGANCIAS,ESIKA,26.64,15-08-2024,18,423.14,430.195,130,0.298245614,0.169606513,2703.99,80,71,Constantes 2,0.4146341463414634,0.13559322033898305,0.2472095907399752,Constantes 2_Bundle_1,0,0.5995895588495836,1.0,3.0,2.5,2.5
Constantes 2,200095158,CUIDADO PERSONAL,ESIKA,4.95,22-12-2022,17,508.29,430.195,732,0.280701754,0.986431479,710.79,24,24,Constantes 2,0.3902439024390244,0.9858757062146892,0.7476229847044233,Constantes 2_Bundle_1,0,0.5995895588495836,1.0,3.0,2.5,2.5
Constantes 2,200098796,MAQUILLAJE,CYZONE,12.9,12-12-2022,26,576.3,430.195,742,0.438596491,1.0,2558.96,112,100,Constantes 2,0.6097560975609756,1.0,0.8439024390243902,Constantes 2_Bundle_2,1,0.6673153014823126,,,,
Constantes 2,200111130,FRAGANCIAS,ESIKA,56.89,19-09-2023,21,516.67,430.195,461,0.350877193,0.618724559,4795.95,159,126,Constantes 2,0.4878048780487805,0.6031073446327684,0.5569863579991732,Constantes 2_Bundle_2,0,0.6673153014823126,1.0,3.0,2.5,2.5
Constantes 2,200104065,TRATAMIENTO FACIAL,LBEL,19.94,10-03-2023,15,422.29,430.195,654,0.245614035,0.880597015,6434.14,218,166,Constantes 2,0.34146341463414637,0.8757062146892656,0.6620090946672179,Constantes 2_Bundle_2,0,0.6673153014823126,1.0,3.0,2.5,2.5
Constantes 2,200108752,CUIDADO PERSONAL,ESIKA,22.9,18-04-2023,8,168.4,430.195,615,0.122807018,0.827679783,1827.1,74,59,Constantes 2,0.17073170731707318,0.8206214689265536,0.5606655642827614,Constantes 2_Bundle_2,0,0.6673153014823126,1.0,3.0,2.5,2.5
Constantes 2,200106290,FRAGANCIAS,ESIKA,24.95,08-08-2023,24,694.4,430.195,503,0.403508772,0.675712347,7659.24,280,220,Constantes 2,0.5609756097560976,0.6624293785310734,0.6218478710210831,Constantes 2_Bundle_2,0,0.6673153014823126,1.0,3.0,2.5,2.5
Constantes 2,200089168,FRAGANCIAS,CYZONE,20.98,16-12-2022,14,422.74,430.195,738,0.228070175,0.994572592,6815.04,161,143,Constantes 2,0.3170731707317073,0.9943502824858758,0.7234394377842084,Constantes 2_Bundle_2,0,0.6673153014823126,1.0,3.0,2.5,2.5
Constantes 2,200103963,TRATAMIENTO CORPORAL,LBEL,18.0,05-05-2023,24,827.0,430.195,598,0.403508772,0.804613297,3674.05,137,120,Constantes 2,0.5609756097560976,0.7966101694915254,0.7023563455973543,Constantes 2_Bundle_2,0,0.6673153014823126,1.0,3.0,2.5,2.5
Constantes 3,200086399,FRAGANCIAS,LBEL,16.64,10-01-2023,27,610.92,430.195,713,0.456140351,0.960651289,4286.23,196,146,Constantes 3,0.7027027027027027,0.9619181946403385,0.8582319978652841,Constantes 3_Bundle_1,1,0.6625090534822552,,,,
Constantes 3,200107883,CUIDADO PERSONAL,CYZONE,5.79,30-01-2023,22,460.45,430.195,693,0.368421053,0.933514247,4286.23,196,146,Constantes 3,0.5675675675675675,0.9337094499294781,0.7872526969847139,Constantes 3_Bundle_1,0,0.6625090534822552,1.0,3.0,2.5,2.5
Constantes 3,200106657,MAQUILLAJE,ESIKA,18.9,14-04-2023,18,401.6,430.195,619,0.298245614,0.833107191,2136.43,108,89,Constantes 3,0.4594594594594595,0.8293370944992948,0.6813860404833607,Constantes 3_Bundle_1,0,0.6625090534822552,1.0,3.0,2.5,2.5
Constantes 3,210097538,TRATAMIENTO CORPORAL,CYZONE,18.83,24-01-2023,11,214.58,430.195,699,0.175438596,0.94165536,1565.61,69,68,Constantes 3,0.2702702702702703,0.9421720733427362,0.6734113521137498,Constantes 3_Bundle_1,0,0.6625090534822552,1.0,3.0,2.5,2.5
Constantes 3,200095374,CUIDADO PERSONAL,ESIKA,7.11,13-01-2023,6,157.6,430.195,710,0.087719298,0.956580733,6437.58,204,165,Constantes 3,0.13513513513513514,0.9576868829337094,0.6286661838142796,Constantes 3_Bundle_1,0,0.6625090534822552,1.0,3.0,2.5,2.5
Constantes 3,210100408,CUIDADO PERSONAL,CYZONE,16.45,13-04-2023,8,167.3,430.195,620,0.122807018,0.834464043,4548.33,159,125,Constantes 3,0.1891891891891892,0.8307475317348378,0.5741241947165784,Constantes 3_Bundle_1,0,0.6625090534822552,1.0,3.0,2.5,2.5
Constantes 3,210104113,BIJOUTERIE,ESIKA,54.9,25-09-2023,8,244.4,430.195,455,0.122807018,0.610583446,1739.1,70,64,Constantes 3,0.1891891891891892,0.5980253878702397,0.4344909083978195,Constantes 3_Bundle_1,0,0.6625090534822552,1.0,3.0,2.5,2.5
Constantes 3,200086399,FRAGANCIAS,LBEL,16.64,10-01-2023,27,610.92,430.195,713,0.456140351,0.960651289,4286.23,196,146,Constantes 3,0.7027027027027027,0.9619181946403385,0.8582319978652841,Constantes 3_Bundle_2,1,0.6779890105701105,,,,
Constantes 3,200102107,MAQUILLAJE,CYZONE,18.9,14-03-2023,20,606.95,430.195,650,0.333333333,0.875169607,9042.67,338,250,Constantes 3,0.5135135135135135,0.8730606488011283,0.7292417946860824,Constantes 3_Bundle_2,0,0.6779890105701105,1.0,3.0,2.5,2.5
Constantes 3,210098466,MAQUILLAJE,CYZONE,12.9,01-09-2023,19,323.6,430.195,479,0.315789474,0.643147897,3881.34,153,124,Constantes 3,0.4864864864864865,0.6318758815232722,0.5737201235085579,Constantes 3_Bundle_2,0,0.6779890105701105,1.0,3.0,2.5,2.5
Constantes 3,200112904,MAQUILLAJE,CYZONE,17.9,20-03-2023,6,114.56,430.195,644,0.087719298,0.867028494,4286.23,196,146,Constantes 3,0.13513513513513514,0.8645980253878702,0.5728128692867762,Constantes 3_Bundle_2,0,0.6779890105701105,1.0,3.0,2.5,2.5
Constantes 3,210098465,MAQUILLAJE,CYZONE,15.9,22-03-2023,15,387.9,430.195,642,0.245614035,0.86431479,4609.07,191,155,Constantes 3,0.3783783783783784,0.8617771509167842,0.6684176419014218,Constantes 3_Bundle_2,0,0.6779890105701105,1.0,3.0,2.5,2.5
Constantes 3,200102064,MAQUILLAJE,CYZONE,31.9,19-05-2023,29,782.11,430.195,584,0.49122807,0.785617368,7645.06,353,236,Constantes 3,0.7567567567567568,0.7799717912552891,0.7706857774558762,Constantes 3_Bundle_2,0,0.6779890105701105,1.0,3.0,2.5,2.5
Constantes 3,200106461,MAQUILLAJE,ESIKA,21.9,20-03-2023,6,114.56,430.195,644,0.087719298,0.867028494,4286.23,196,146,Constantes 3,0.13513513513513514,0.8645980253878702,0.5728128692867762,Constantes 3_Bundle_2,0,0.6779890105701105,1.0,3.0,2.5,2.5
Inconstantes,210096888,HOGAR,CYZONE,24.9,30-12-2022,32,912.5,430.195,724,0.543859649,0.975576662,3896.38,149,144,Inconstantes,0.6888888888888889,0.9848901098901099,0.8664896214896215,Inconstantes_Bundle_1,1,0.304056340484912,,,,
Inconstantes,200115098,MAQUILLAJE,ESIKA,13.7,04-09-2024,20,369.85,430.195,110,0.333333333,0.142469471,2767.53,127,116,Inconstantes,0.4222222222222222,0.14148351648351648,0.2537789987789988,Inconstantes_Bundle_1,0,0.304056340484912,1.0,3.0,2.5,2.5
Inconstantes,200112317,MAQUILLAJE,CYZONE,15.9,23-04-2024,15,429.7,430.195,244,0.245614035,0.324287653,3288.06,117,111,Inconstantes,0.3111111111111111,0.32554945054945056,0.31977411477411477,Inconstantes_Bundle_1,0,0.304056340484912,1.0,3.0,2.5,2.5
Inconstantes,200108176,TRATAMIENTO FACIAL,LBEL,65.0,20-05-2024,13,530.9,430.195,217,0.210526316,0.287652646,2169.05,75,65,Inconstantes,0.26666666666666666,0.28846153846153844,0.2797435897435897,Inconstantes_Bundle_1,0,0.304056340484912,1.0,3.0,2.5,2.5
Inconstantes,210104065,RELOJES,ESIKA,124.9,11-10-2024,2,144.8,430.195,73,0.01754386,0.092265943,3390.72,107,99,Inconstantes,0.022222222222222223,0.09065934065934066,0.06328449328449327,Inconstantes_Bundle_1,0,0.304056340484912,1.0,3.0,2.5,2.5
Inconstantes,200117505,TRATAMIENTO FACIAL,ESIKA,34.9,23-10-2024,9,320.0,430.195,61,0.140350877,0.075983718,7525.62,312,205,Inconstantes,0.17777777777777778,0.07417582417582418,0.11561660561660561,Inconstantes_Bundle_1,0,0.304056340484912,1.0,3.0,2.5,2.5
Inconstantes,200111145,FRAGANCIAS,ESIKA,54.9,16-05-2024,7,217.4,430.195,221,0.105263158,0.293080054,3734.35,145,126,Inconstantes,0.13333333333333333,0.29395604395604397,0.22970695970695973,Inconstantes_Bundle_1,0,0.304056340484912,1.0,3.0,2.5,2.5
Inconstantes,210096888,HOGAR,CYZONE,24.9,30-12-2022,32,912.5,430.195,724,0.543859649,0.975576662,3896.38,149,144,Inconstantes,0.6888888888888889,0.9848901098901099,0.8664896214896215,Inconstantes_Bundle_2,1,0.36477585906157334,,,,
Inconstantes,210105311,PROMOCION USUARIOS,LBEL,27.0,19-08-2024,8,152.6,430.195,126,0.122807018,0.164179104,2169.05,75,65,Inconstantes,0.15555555555555556,0.16346153846153846,0.1602991452991453,Inconstantes_Bundle_2,0,0.36477585906157334,1.0,3.0,2.5,2.5
Inconstantes,200115279,CUIDADO PERSONAL,LBEL,36.0,09-08-2024,12,531.0,430.195,136,0.192982456,0.177747626,6711.7,244,202,Inconstantes,0.24444444444444444,0.1771978021978022,0.2040964590964591,Inconstantes_Bundle_2,0,0.36477585906157334,1.0,3.0,2.5,2.5
Inconstantes,200108506,CUIDADO PERSONAL,ESIKA,16.9,01-07-2024,12,258.2,430.195,175,0.192982456,0.230664858,7292.2,285,203,Inconstantes,0.24444444444444444,0.23076923076923078,0.23623931623931627,Inconstantes_Bundle_2,0,0.36477585906157334,1.0,3.0,2.5,2.5
Inconstantes,200103025,CUIDADO PERSONAL,ESIKA,24.48,19-05-2023,13,178.05,430.195,584,0.210526316,0.785617368,902.91,42,37,Inconstantes,0.26666666666666666,0.7925824175824175,0.5822161172161172,Inconstantes_Bundle_2,0,0.36477585906157334,1.0,3.0,2.5,2.5
Inconstantes,200103027,CUIDADO PERSONAL,ESIKA,23.9,25-06-2024,15,371.45,430.195,181,0.245614035,0.23880597,8838.3,356,233,Inconstantes,0.3111111111111111,0.23901098901098902,0.26785103785103787,Inconstantes_Bundle_2,0,0.36477585906157334,1.0,3.0,2.5,2.5
Inconstantes,200111391,CUIDADO PERSONAL,CYZONE,21.9,01-07-2024,12,258.2,430.195,175,0.192982456,0.230664858,7292.2,285,203,Inconstantes,0.24444444444444444,0.23076923076923078,0.23623931623931627,Inconstantes_Bundle_2,0,0.36477585906157334,1.0,3.0,2.5,2.5
Nuevas,210101378,BIJOUTERIE,ESIKA,40.9,19-01-2023,53,1196.91,430.195,704,0.912280702,0.94843962,16470.83,665,469,Nuevas,0.9122807017543859,0.9549180327868853,0.9378631003738855,Nuevas_Bundle_1,1,0.4723119273593821,,,,
Nuevas,200105188,CUIDADO PERSONAL,ESIKA,7.06,30-07-2024,18,286.3,430.195,146,0.298245614,0.191316147,2877.0,114,97,Nuevas,0.2982456140350877,0.19262295081967212,0.23487201610583835,Nuevas_Bundle_1,0,0.4723119273593821,1.0,3.0,2.5,2.5
Nuevas,200095177,CUIDADO PERSONAL,ESIKA,5.1,24-05-2023,20,411.5,430.195,579,0.333333333,0.778833107,9109.95,482,280,Nuevas,0.3333333333333333,0.7841530054644809,0.6038251366120219,Nuevas_Bundle_1,0,0.4723119273593821,1.0,3.0,2.5,2.5
