consultant_id,product_id,category,brand,price,date,purchase_frequency,daily_total_spent,average_purchasing_power,recency,purchase_frequency_normalized,recency_normalized,total_spent,purchase_count,unique_products,normalized_f,normalized_r,combined_score,bundle_id,is_anchor,category_score,business_score,score
3441296,200095159,CUIDADO PERSONAL,ESIKA,7.38,2022-12-27,10,263.40000000000003,430.195,727,0.15789473684210525,0.9796472184531886,7206.76,261,194,0.15789473684210525,0.9796472184531886,0.6098586017282012,3441296_Bundle_1,1,,,
3441296,200090337,CUIDADO PERSONAL,ESIKA,23.9,2023-04-11,17,391.1,430.195,622,0.2807017543859649,0.8371777476255088,7206.76,261,194,0.2807017543859649,0.8371777476255088,0.586763550667714,3441296_Bundle_1,0,1.0,0.9974267973466494,0.9992280392039947
3441296,200064341,CUIDADO PERSONAL,ESIKA,21.9,2022-12-27,10,263.40000000000003,430.195,727,0.15789473684210525,0.9796472184531886,7206.76,261,194,0.15789473684210525,0.9796472184531886,0.6098586017282012,3441296_Bundle_1,0,1.0,0.9882878744927299,0.9964863623478188
3441296,200095382,CUIDADO PERSONAL,ESIKA,7.38,2023-08-15,11,156.66,430.195,496,0.17543859649122806,0.666214382632293,7206.76,261,194,0.17543859649122806,0.666214382632293,0.44536527886881383,3441296_Bundle_1,0,1.0,0.9631181321272019,0.9889354396381604
3441296,200095430,CUIDADO PERSONAL,CYZONE,6.69,2023-04-11,17,391.1,430.195,622,0.2807017543859649,0.8371777476255088,7206.76,261,194,0.2807017543859649,0.8371777476255088,0.586763550667714,3441296_Bundle_1,0,1.0,0.916461363481276,0.9749384090443828
3441296,200095159,CUIDADO PERSONAL,ESIKA,7.38,2022-12-27,10,263.40000000000003,430.195,727,0.15789473684210525,0.9796472184531886,7206.76,261,194,0.15789473684210525,0.9796472184531886,0.6098586017282012,3441296_Bundle_2,1,,,
3441296,200105188,CUIDADO PERSONAL,ESIKA,7.38,2022-12-27,10,263.40000000000003,430.195,727,0.15789473684210525,0.9796472184531886,7206.76,261,194,0.15789473684210525,0.9796472184531886,0.6098586017282012,3441296_Bundle_2,0,1.0,0.9939493688850882,0.9981848106655264
3441296,200108807,CUIDADO PERSONAL,ESIKA,7.38,2024-07-03,16,354.53,430.195,173,0.2631578947368421,0.22795115332428764,7206.76,261,194,0.2631578947368421,0.22795115332428764,0.24379418695993715,3441296_Bundle_2,0,1.0,0.9841921079854424,0.9952576323956327
3441296,200115454,CUIDADO PERSONAL,ESIKA,18.3,2024-03-20,7,183.5,430.195,278,0.10526315789473684,0.3704206241519674,7206.76,261,194,0.10526315789473684,0.3704206241519674,0.25109976433621367,3441296_Bundle_2,0,1.0,0.9059583228453575,0.9717874968536072
3441296,200112355,CUIDADO PERSONAL,ESIKA,30.9,2024-09-19,12,322.2,430.195,95,0.19298245614035087,0.12211668928086838,7206.76,261,194,0.19298245614035087,0.12211668928086838,0.1540062843676355,3441296_Bundle_2,0,1.0,0.8822239065941531,0.9646671719782458
3441296,200095159,CUIDADO PERSONAL,ESIKA,7.38,2022-12-27,10,263.40000000000003,430.195,727,0.15789473684210525,0.9796472184531886,7206.76,261,194,0.15789473684210525,0.9796472184531886,0.6098586017282012,3441296_Bundle_3,1,,,
3441296,200103452,CUIDADO PERSONAL,LBEL,7.38,2024-07-03,16,354.53,430.195,173,0.2631578947368421,0.22795115332428764,7206.76,261,194,0.2631578947368421,0.22795115332428764,0.24379418695993715,3441296_Bundle_3,0,1.0,0.9587100578181454,0.9876130173454436
3441296,200105188,CUIDADO PERSONAL,ESIKA,7.38,2023-08-15,11,156.66,430.195,496,0.17543859649122806,0.666214382632293,7206.76,261,194,0.17543859649122806,0.666214382632293,0.44536527886881383,3441296_Bundle_3,0,1.0,0.9307005577538904,0.9792101673261671
3441296,200103448,CUIDADO PERSONAL,ESIKA,7.38,2024-07-03,16,354.53,430.195,173,0.2631578947368421,0.22795115332428764,7206.76,261,194,0.2631578947368421,0.22795115332428764,0.24379418695993715,3441296_Bundle_3,0,1.0,0.9168092881385128,0.9750427864415538
3441296,200105195,CUIDADO PERSONAL,ESIKA,7.38,2024-07-03,16,354.53,430.195,173,0.2631578947368421,0.22795115332428764,7206.76,261,194,0.2631578947368421,0.22795115332428764,0.24379418695993715,3441296_Bundle_3,0,1.0,0.883983767715995,0.9651951303147984
3441296,200095159,CUIDADO PERSONAL,ESIKA,7.38,2022-12-27,10,263.40000000000003,430.195,727,0.15789473684210525,0.9796472184531886,7206.76,261,194,0.15789473684210525,0.9796472184531886,0.6098586017282012,3441296_Bundle_4,1,,,
3441296,200115451,CUIDADO PERSONAL,ESIKA,18.3,2024-03-20,7,183.5,430.195,278,0.10526315789473684,0.3704206241519674,7206.76,261,194,0.10526315789473684,0.3704206241519674,0.25109976433621367,3441296_Bundle_4,0,1.0,0.9911657900896466,0.9973497370268939
3441296,200103452,CUIDADO PERSONAL,LBEL,7.38,2024-07-03,16,354.53,430.195,173,0.2631578947368421,0.22795115332428764,7206.76,261,194,0.2631578947368421,0.22795115332428764,0.24379418695993715,3441296_Bundle_4,0,1.0,0.977608944163008,0.9932826832489023
3441296,200105190,CUIDADO PERSONAL,ESIKA,7.38,2023-08-15,11,156.66,430.195,496,0.17543859649122806,0.666214382632293,7206.76,261,194,0.17543859649122806,0.666214382632293,0.44536527886881383,3441296_Bundle_4,0,1.0,0.94658704576558,0.9839761137296739
3441296,200105655,CUIDADO PERSONAL,ESIKA,24.9,2023-02-07,8,273.3,430.195,685,0.12280701754385964,0.9226594301221167,7206.76,261,194,0.12280701754385964,0.9226594301221167,0.562725844461901,3441296_Bundle_4,0,1.0,0.9152346767152311,0.9745704030145692
4623541,210098842,MAQUILLAJE,CYZONE,24.5,2023-01-20,24,457.7,430.195,703,0.40350877192982454,0.9470827679782904,4624.35,181,151,0.40350877192982454,0.9470827679782904,0.7024744697564809,4623541_Bundle_1,1,,,
4623541,200092792,MAQUILLAJE,LBEL,19.9,2023-01-20,24,457.7,430.195,703,0.40350877192982454,0.9470827679782904,4624.35,181,151,0.40350877192982454,0.9470827679782904,0.7024744697564809,4623541_Bundle_1,0,1.0,0.9896653119961035,0.996899593598831
4623541,200107353,MAQUILLAJE,CYZONE,13.9,2023-02-27,17,321.5,430.195,665,0.2807017543859649,0.8955223880597015,4624.35,181,151,0.2807017543859649,0.8955223880597015,0.6188531029065201,4623541_Bundle_1,0,1.0,0.9848002840255451,0.9954400852076635
4623541,200094867,MAQUILLAJE,ESIKA,15.9,2023-04-08,19,564.4,430.195,625,0.3157894736842105,0.841248303934871,4624.35,181,151,0.3157894736842105,0.841248303934871,0.6047918303220738,4623541_Bundle_1,0,1.0,0.9713973398146245,0.9914192019443873
4623541,200106651,MAQUILLAJE,ESIKA,24.9,2023-04-08,19,564.4,430.195,625,0.3157894736842105,0.841248303934871,4624.35,181,151,0.3157894736842105,0.841248303934871,0.6047918303220738,4623541_Bundle_1,0,1.0,0.9622637429593941,0.9886791228878182
4623541,210098842,MAQUILLAJE,CYZONE,24.5,2023-01-20,24,457.7,430.195,703,0.40350877192982454,0.9470827679782904,4624.35,181,151,0.40350877192982454,0.9470827679782904,0.7024744697564809,4623541_Bundle_2,1,,,
4623541,210096264,MAQUILLAJE,ESIKA,23.9,2022-12-27,11,133.3,430.195,727,0.17543859649122806,0.9796472184531886,4624.35,181,151,0.17543859649122806,0.9796472184531886,0.6177533385703065,4623541_Bundle_2,0,1.0,0.9996537582091303,0.999896127462739
4623541,200091875,MAQUILLAJE,ESIKA,41.9,2023-07-10,12,367.0,430.195,532,0.19298245614035087,0.7150610583446404,4624.35,181,151,0.19298245614035087,0.7150610583446404,0.48012568735271016,4623541_Bundle_2,0,1.0,0.9972759588822411,0.9991827876646723
4623541,200103354,MAQUILLAJE,ESIKA,9.0,2023-03-17,22,476.75,430.195,647,0.3684210526315789,0.8710990502035278,4624.35,181,151,0.3684210526315789,0.8710990502035278,0.6448939512961509,4623541_Bundle_2,0,1.0,0.15158311138943148,0.7454749334168294
4623541,210098842,MAQUILLAJE,CYZONE,24.5,2023-01-20,24,457.7,430.195,703,0.40350877192982454,0.9470827679782904,4624.35,181,151,0.40350877192982454,0.9470827679782904,0.7024744697564809,4623541_Bundle_3,1,,,
4623541,200109169,MAQUILLAJE,CYZONE,17.9,2023-04-28,12,483.90000000000003,430.195,605,0.19298245614035087,0.8141112618724559,4624.35,181,151,0.19298245614035087,0.8141112618724559,0.5346032992930086,4623541_Bundle_3,0,1.0,0.9911394058384441,0.9973418217515332
4623541,200106604,MAQUILLAJE,CYZONE,15.9,2023-04-28,12,483.90000000000003,430.195,605,0.19298245614035087,0.8141112618724559,4624.35,181,151,0.19298245614035087,0.8141112618724559,0.5346032992930086,4623541_Bundle_3,0,1.0,0.9548690616517288,0.9864607184955185
4623541,200106446,MAQUILLAJE,ESIKA,19.9,2023-08-02,15,452.9,430.195,509,0.24561403508771928,0.683853459972863,4624.35,181,151,0.24561403508771928,0.683853459972863,0.4866457187745484,4623541_Bundle_3,0,1.0,0.953088549437806,0.9859265648313418
4623541,200109168,MAQUILLAJE,CYZONE,14.9,2023-07-10,12,367.0,430.195,532,0.19298245614035087,0.7150610583446404,4624.35,181,151,0.19298245614035087,0.7150610583446404,0.48012568735271016,4623541_Bundle_3,0,1.0,0.8809604363686616,0.9642881309105984
4623541,210098842,MAQUILLAJE,CYZONE,24.5,2023-01-20,24,457.7,430.195,703,0.40350877192982454,0.9470827679782904,4624.35,181,151,0.40350877192982454,0.9470827679782904,0.7024744697564809,4623541_Bundle_4,1,,,
4623541,210098551,MAQUILLAJE,ESIKA,39.9,2023-01-20,24,457.7,430.195,703,0.40350877192982454,0.9470827679782904,4624.35,181,151,0.40350877192982454,0.9470827679782904,0.7024744697564809,4623541_Bundle_4,0,1.0,0.9732517028665256,0.9919755108599576
4623541,200112594,MAQUILLAJE,ESIKA,28.9,2023-04-08,19,564.4,430.195,625,0.3157894736842105,0.841248303934871,4624.35,181,151,0.3157894736842105,0.841248303934871,0.6047918303220738,4623541_Bundle_4,0,1.0,0.9708242114645222,0.9912472634393565
8351554,200110329,MAQUILLAJE,ESIKA,25.9,2023-08-17,24,737.8,430.195,494,0.40350877192982454,0.6635006784260515,15202.699999999999,478,309,0.40350877192982454,0.6635006784260515,0.5465043205027494,8351554_Bundle_1,1,,,
8351554,200106446,MAQUILLAJE,ESIKA,29.9,2024-01-18,16,435.5,430.195,340,0.2631578947368421,0.45454545454545453,15202.699999999999,478,309,0.2631578947368421,0.45454545454545453,0.3684210526315789,8351554_Bundle_1,0,1.0,0.9884607396108929,0.9965382218832678
8351554,200107372,MAQUILLAJE,CYZONE,13.9,2023-12-15,19,606.3,430.195,374,0.3157894736842105,0.5006784260515604,15202.699999999999,478,309,0.3157894736842105,0.5006784260515604,0.417478397486253,8351554_Bundle_1,0,1.0,0.9796352002493827,0.9938905600748147
8351554,200106573,MAQUILLAJE,CYZONE,16.9,2023-08-17,24,737.8,430.195,494,0.40350877192982454,0.6635006784260515,15202.699999999999,478,309,0.40350877192982454,0.6635006784260515,0.5465043205027494,8351554_Bundle_1,0,1.0,0.9773888508241728,0.9932166552472518
8351554,210100498,MAQUILLAJE,CYZONE,8.9,2024-11-05,29,851.5,430.195,48,0.49122807017543857,0.05834464043419267,15202.699999999999,478,309,0.49122807017543857,0.05834464043419267,0.25314218381775333,8351554_Bundle_1,0,1.0,0.9232128676201389,0.9769638602860415
8351554,200110329,MAQUILLAJE,ESIKA,25.9,2023-08-17,24,737.8,430.195,494,0.40350877192982454,0.6635006784260515,15202.699999999999,478,309,0.40350877192982454,0.6635006784260515,0.5465043205027494,8351554_Bundle_2,1,,,
8351554,210098522,MAQUILLAJE,CYZONE,16.9,2024-02-29,21,699.2,430.195,298,0.3508771929824561,0.39755766621438265,15202.699999999999,478,309,0.3508771929824561,0.39755766621438265,0.3765514532600157,8351554_Bundle_2,0,1.0,0.990732721989278,0.9972198165967834
8351554,200115799,MAQUILLAJE,LBEL,14.9,2024-11-22,1,14.9,430.195,31,0.0,0.035278154681139755,15202.699999999999,478,309,0.0,0.035278154681139755,0.019402985074626868,8351554_Bundle_2,0,1.0,0.9900258966696919,0.9970077690009075
8351554,210095652,MAQUILLAJE,CYZONE,19.9,2023-12-29,17,554.3,430.195,360,0.2807017543859649,0.4816824966078697,15202.699999999999,478,309,0.2807017543859649,0.4816824966078697,0.39124116260801256,8351554_Bundle_2,0,1.0,0.9798269996045003,0.99394809988135
8351554,210098462,MAQUILLAJE,CYZONE,13.9,2023-09-25,18,521.2,430.195,455,0.2982456140350877,0.6105834464043419,15202.699999999999,478,309,0.2982456140350877,0.6105834464043419,0.4700314218381776,8351554_Bundle_2,0,1.0,0.9686616200342099,0.9905984860102629
8351554,200110329,MAQUILLAJE,ESIKA,25.9,2023-08-17,24,737.8,430.195,494,0.40350877192982454,0.6635006784260515,15202.699999999999,478,309,0.40350877192982454,0.6635006784260515,0.5465043205027494,8351554_Bundle_3,1,,,
8351554,200113305,MAQUILLAJE,ESIKA,23.9,2024-09-10,14,488.9,430.195,104,0.22807017543859648,0.13432835820895522,15202.699999999999,478,309,0.22807017543859648,0.13432835820895522,0.1765121759622938,8351554_Bundle_3,0,1.0,0.9965628313634873,0.9989688494090461
8351554,200102107,MAQUILLAJE,CYZONE,15.9,2023-07-26,21,638.36,430.195,516,0.3508771929824561,0.6933514246947082,15202.699999999999,478,309,0.3508771929824561,0.6933514246947082,0.5392380204241949,8351554_Bundle_3,0,1.0,0.9926752540065273,0.9978025762019582
8351554,200106440,MAQUILLAJE,ESIKA,24.9,2024-04-12,19,636.1999999999999,430.195,255,0.3157894736842105,0.33921302578018997,15202.699999999999,478,309,0.3157894736842105,0.33921302578018997,0.3286724273369992,8351554_Bundle_3,0,1.0,0.9719597970674385,0.9915879391202316
8351554,210100500,MAQUILLAJE,CYZONE,8.45,2023-11-03,25,562.74,430.195,416,0.42105263157894735,0.5576662143826323,15202.699999999999,478,309,0.42105263157894735,0.5576662143826323,0.49619010212097414,8351554_Bundle_3,0,1.0,0.8177152258054916,0.9453145677416475
8351554,200110329,MAQUILLAJE,ESIKA,25.9,2023-08-17,24,737.8,430.195,494,0.40350877192982454,0.6635006784260515,15202.699999999999,478,309,0.40350877192982454,0.6635006784260515,0.5465043205027494,8351554_Bundle_4,1,,,
8351554,200103354,MAQUILLAJE,ESIKA,35.9,2023-06-19,15,566.7,430.195,553,0.24561403508771928,0.7435549525101763,15202.699999999999,478,309,0.24561403508771928,0.7435549525101763,0.5194815396700707,8351554_Bundle_4,0,1.0,0.9982706090654118,0.9994811827196235
8351554,210098462,MAQUILLAJE,CYZONE,13.9,2023-09-25,18,521.2,430.195,455,0.2982456140350877,0.6105834464043419,15202.699999999999,478,309,0.2982456140350877,0.6105834464043419,0.4700314218381776,8351554_Bundle_4,0,1.0,0.9733496445863132,0.9920048933758939
8351554,200112748,MAQUILLAJE,ESIKA,12.9,2023-07-26,21,638.36,430.195,516,0.3508771929824561,0.6933514246947082,15202.699999999999,478,309,0.3508771929824561,0.6933514246947082,0.5392380204241949,8351554_Bundle_4,0,1.0,0.957350151126796,0.9872050453380388
8351554,210100500,MAQUILLAJE,CYZONE,8.45,2023-11-03,25,562.74,430.195,416,0.42105263157894735,0.5576662143826323,15202.699999999999,478,309,0.42105263157894735,0.5576662143826323,0.49619010212097414,8351554_Bundle_4,0,1.0,0.955562543296411,0.9866687629889233
8592470,210101651,COMPLEMENTOS,ESIKA,59.9,2024-08-09,7,248.29999999999998,430.195,136,0.10526315789473684,0.17774762550881953,1371.96,46,43,0.10526315789473684,0.17774762550881953,0.14512961508248234,8592470_Bundle_1,1,,,
8592470,210104946,COMPLEMENTOS,CYZONE,39.9,2024-08-09,7,248.29999999999998,430.195,136,0.10526315789473684,0.17774762550881953,1371.96,46,43,0.10526315789473684,0.17774762550881953,0.14512961508248234,8592470_Bundle_1,0,1.0,0.6691187044772308,0.9007356113431692
8592470,210101651,COMPLEMENTOS,ESIKA,59.9,2024-08-09,7,248.29999999999998,430.195,136,0.10526315789473684,0.17774762550881953,1371.96,46,43,0.10526315789473684,0.17774762550881953,0.14512961508248234,8592470_Bundle_2,1,,,
8592470,210104946,COMPLEMENTOS,CYZONE,39.9,2024-08-09,7,248.29999999999998,430.195,136,0.10526315789473684,0.17774762550881953,1371.96,46,43,0.10526315789473684,0.17774762550881953,0.14512961508248234,8592470_Bundle_2,0,1.0,0.7049465641715055,0.9114839692514516
8592470,210101651,COMPLEMENTOS,ESIKA,59.9,2024-08-09,7,248.29999999999998,430.195,136,0.10526315789473684,0.17774762550881953,1371.96,46,43,0.10526315789473684,0.17774762550881953,0.14512961508248234,8592470_Bundle_3,1,,,
8592470,210104946,COMPLEMENTOS,CYZONE,39.9,2024-08-09,7,248.29999999999998,430.195,136,0.10526315789473684,0.17774762550881953,1371.96,46,43,0.10526315789473684,0.17774762550881953,0.14512961508248234,8592470_Bundle_3,0,1.0,0.13548719187001734,0.7406461575610052
8592470,210101651,COMPLEMENTOS,ESIKA,59.9,2024-08-09,7,248.29999999999998,430.195,136,0.10526315789473684,0.17774762550881953,1371.96,46,43,0.10526315789473684,0.17774762550881953,0.14512961508248234,8592470_Bundle_4,1,,,
8592470,210104946,COMPLEMENTOS,CYZONE,39.9,2024-08-09,7,248.29999999999998,430.195,136,0.10526315789473684,0.17774762550881953,1371.96,46,43,0.10526315789473684,0.17774762550881953,0.14512961508248234,8592470_Bundle_4,0,1.0,0.8448719171601295,0.9534615751480389
9687599,200109873,FRAGANCIAS,CYZONE,21.9,2024-06-12,15,200.94,430.195,194,0.24561403508771928,0.2564450474898236,1690.79,96,72,0.24561403508771928,0.2564450474898236,0.25157109190887667,9687599_Bundle_1,1,,,
9687599,200094217,FRAGANCIAS,ESIKA,43.33,2024-09-03,14,238.33,430.195,111,0.22807017543859648,0.14382632293080055,1690.79,96,72,0.22807017543859648,0.14382632293080055,0.18173605655930875,9687599_Bundle_1,0,1.0,0.9783977120131568,0.9935193136039471
9687599,200086399,FRAGANCIAS,LBEL,29.9,2024-05-27,9,215.05,430.195,210,0.14035087719298245,0.2781546811397558,1690.79,96,72,0.14035087719298245,0.2781546811397558,0.2161429693637078,9687599_Bundle_1,0,1.0,0.9716052330364411,0.9914815699109323
9687599,200109873,FRAGANCIAS,CYZONE,21.9,2024-06-12,15,200.94,430.195,194,0.24561403508771928,0.2564450474898236,1690.79,96,72,0.24561403508771928,0.2564450474898236,0.25157109190887667,9687599_Bundle_2,1,,,
9687599,200105017,FRAGANCIAS,CYZONE,20.0,2024-08-08,12,250.57999999999998,430.195,137,0.19298245614035087,0.1791044776119403,1690.79,96,72,0.19298245614035087,0.1791044776119403,0.18534956794972507,9687599_Bundle_2,0,1.0,0.9449681678802424,0.9834904503640727
9687599,200106852,FRAGANCIAS,LBEL,29.8,2024-09-03,14,238.33,430.195,111,0.22807017543859648,0.14382632293080055,1690.79,96,72,0.22807017543859648,0.14382632293080055,0.18173605655930875,9687599_Bundle_2,0,1.0,0.9394004434365217,0.9818201330309564
9687599,200089168,FRAGANCIAS,CYZONE,20.0,2024-08-08,12,250.57999999999998,430.195,137,0.19298245614035087,0.1791044776119403,1690.79,96,72,0.19298245614035087,0.1791044776119403,0.18534956794972507,9687599_Bundle_2,0,1.0,0.9356038592939147,0.9806811577881743
9687599,200109873,FRAGANCIAS,CYZONE,21.9,2024-06-12,15,200.94,430.195,194,0.24561403508771928,0.2564450474898236,1690.79,96,72,0.24561403508771928,0.2564450474898236,0.25157109190887667,9687599_Bundle_3,1,,,
9687599,200089168,FRAGANCIAS,CYZONE,17.5,2024-05-27,9,215.05,430.195,210,0.14035087719298245,0.2781546811397558,1690.79,96,72,0.14035087719298245,0.2781546811397558,0.2161429693637078,9687599_Bundle_3,0,1.0,0.9773876852690204,0.9932163055807061
9687599,200094217,FRAGANCIAS,ESIKA,43.33,2024-09-03,14,238.33,430.195,111,0.22807017543859648,0.14382632293080055,1690.79,96,72,0.22807017543859648,0.14382632293080055,0.18173605655930875,9687599_Bundle_3,0,1.0,0.9128150140110434,0.973844504203313
9687599,200039855,FRAGANCIAS,CYZONE,16.0,2024-07-08,8,106.15,430.195,168,0.12280701754385964,0.22116689280868385,1690.79,96,72,0.12280701754385964,0.22116689280868385,0.17690494893951297,9687599_Bundle_3,0,1.0,0.7473489722498431,0.9242046916749529
