CODPAIS,ANIOCAMPANA,CODEBELISTA,CODVENTA,CODPRODUCTOSAP,ID_OFERTA,COD_CATALOGO,ID_MACROESTRATEGIA,ID_TIPO_SUBESTRATEGIA,DES_TIPO_SUBESTRATEGIA,DES_TIPO_ESTRATEGIA,ID_TIPO_GRUPO,ID_GRUPO,DES_TIPO_GRUPO,ID_SUB_GRUPO,NUM_PAGINA,PRECIO_OFERTA,ES_GRATIS,ES_PADRE,ES_GRUPO_PADRE,FACTOR_CUADRE,FACTOR_REPETICION,COD_TIPO_OFERTA,COD_TIPO_PROFIT,ID_SUBESTRATEGIA,CODCUC,FECHAPROCESO,COMPOSITE_PRIMARY_KEY
PE,202303,50020096,39655,400096762,393,4,1803,991,INDIVIDUAL + ADICIONAL,INDIVIDUAL,1,369075,FIJO,369075,253,0,1,0,1,1,1,57,6,353,XXXXXXXXX,2023-01-31,991|1|1|1|0|XXXXXXXXX|
PE,202302,50180387,38762,400096760,268,4,1303,991,INDIVIDUAL + ADICIONAL,INDIVIDUAL,1,364906,FIJO,364906,251,0,1,0,1,1,1,57,6,255,XXXXXXXXX,2023-01-17,991|1|1|1|0|XXXXXXXXX|
PE,202310,35545956,39269,400095675,1265,26,1622,1,INDIVIDUAL,INDIVIDUAL,1,406674,FIJO,406674,0,0,1,1,1,1,1,57,6,1141,XXXXXXXXX,2023-06-19,1|1|1|1|1|XXXXXXXXX|
PE,202310,35545956,39372,200090031,1291,26,410,1,INDIVIDUAL,INDIVIDUAL,1,406707,FIJO,406707,0,0,1,1,1,1,1,77,4,1167,200090031,2023-06-19,1|1|1|1|1|200090031|
PE,202303,50073300,37639,210098197,954,13,1116,1,INDIVIDUAL,INDIVIDUAL,1,369701,FIJO,369701,129,49.9,0,1,1,1,1,13,1,910,XXXXXXXXX,2023-02-13,1|1|1|0|1|XXXXXXXXX|
PE,202303,35545956,37639,210098197,954,13,1116,1,INDIVIDUAL,INDIVIDUAL,1,369701,FIJO,369701,129,49.9,0,1,1,1,1,13,1,910,XXXXXXXXX,2023-01-24,1|1|1|0|1|XXXXXXXXX|
PE,202303,50073300,39647,400096763,397,4,1807,991,INDIVIDUAL + ADICIONAL,INDIVIDUAL,1,369083,FIJO,369083,254,0,1,0,1,1,1,57,6,357,XXXXXXXXX,2023-02-13,991|1|1|1|0|XXXXXXXXX|
PE,202301,49389205,17861,200091727,968,13,157,1,INDIVIDUAL,INDIVIDUAL,1,360841,FIJO,360841,155,43.9,0,1,1,1,1,300,1,936,200040880,2022-12-30,1|1|1|0|1|200040880|
PE,202302,50020096,2611,200082708,313,9,1131,1,INDIVIDUAL,INDIVIDUAL,1,364957,FIJO,364957,16,33,0,1,1,1,1,300,1,293,P0279092003,2023-01-10,1|1|1|0|1|P0279092003|
PE,202304,10961556,37604,210095421,932,13,847,1,INDIVIDUAL,INDIVIDUAL,1,374627,FIJO,374627,130,49.9,0,1,1,1,1,14,1,877,XXXXXXXXX,2023-03-03,1|1|1|0|1|XXXXXXXXX|
PE,202304,49946996,37604,210095421,932,13,847,1,INDIVIDUAL,INDIVIDUAL,1,374627,FIJO,374627,130,49.9,0,1,1,1,1,14,1,877,XXXXXXXXX,2023-02-28,1|1|1|0|1|XXXXXXXXX|
PE,202313,35545956,109415,200078924,3460,45,107,993,993,OTRO,2,421604,VARIABLE,421604,1,11.65,0,1,1,6,1,422,1,2921,200056617,2023-08-21,993|2|1|0|1|200056617|
PE,202308,50020096,103569,200105070,3712,45,223,2,SET FIJO,SET,1,398803,FIJO,398803,1,23.39,0,1,1,1,1,201,1,3564,200053740,2023-05-24,2|1|1|0|1|200053740|
PE,202303,10961556,38846,210090266,2046,35,820,1,INDIVIDUAL,INDIVIDUAL,1,370916,FIJO,370916,100,14.9,0,1,1,1,1,45,2,1923,XXXXXXXXX,2023-02-10,1|1|1|0|1|XXXXXXXXX|
PE,202307,45871533,37217,210089358,3274,35,603,2,SET FIJO,SET,1,393118,FIJO,393118,143,10,0,0,1,1,1,45,2,3138,P0292067005,2023-05-04,2|1|1|0|0|P0292067005|
PE,202301,20541199,35870,200106396,1213,24,240,999,VOLUMEN,VOLUMEN,2,361136,VARIABLE,361136,9,16.23,0,1,1,1,8,425,1,1124,200106396,2022-12-26,999|2|8|0|1|200106396|
PE,202303,43985620,38455,200104257,1217,24,418,2,SET FIJO,SET,1,370007,FIJO,370007,7,26.56,0,1,1,1,1,411,1,1170,200084604,2023-01-31,2|1|1|0|1|200084604|
PE,202305,50073300,3014,200082652,1868,13,429,1,INDIVIDUAL,INDIVIDUAL,2,379805,VARIABLE,379805,139,30.9,0,1,1,1,1,331,1,1416,200037734,2023-03-31,1|2|1|0|1|200037734|
PE,202303,10961556,40348,400097502,280,2,740,991,INDIVIDUAL + ADICIONAL,INDIVIDUAL,1,368936,FIJO,368936,0,0,1,0,1,1,1,57,6,245,XXXXXXXXX,2023-02-10,991|1|1|1|0|XXXXXXXXX|
PE,202303,49389205,40348,400097502,280,2,740,991,INDIVIDUAL + ADICIONAL,INDIVIDUAL,1,368936,FIJO,368936,0,0,1,0,1,1,1,57,6,245,XXXXXXXXX,2023-02-10,991|1|1|1|0|XXXXXXXXX|
PE,202303,43985620,40348,400097502,280,2,740,991,INDIVIDUAL + ADICIONAL,INDIVIDUAL,1,368936,FIJO,368936,0,0,1,0,1,1,1,57,6,245,XXXXXXXXX,2023-01-31,991|1|1|1|0|XXXXXXXXX|
PE,202305,10961556,35654,200103022,1967,24,415,999,VOLUMEN,VOLUMEN,2,379955,VARIABLE,379955,15,13.3,0,1,1,1,3,422,1,1501,200017521,2023-03-29,999|2|3|0|1|200017521|
PE,202305,50020096,4449,200095158,1208,4,404,999,VOLUMEN,VOLUMEN,2,378889,VARIABLE,378889,135,11.9,0,1,1,1,1,322,1,772,200056121,2023-03-17,999|2|1|0|1|200056121|
PE,202305,50180387,18119,200109677,1517,10,1569,1,INDIVIDUAL,INDIVIDUAL,2,379300,VARIABLE,379300,20,25.9,0,1,1,1,1,300,1,1068,P0132059003,2023-03-21,1|2|1|0|1|P0132059003|
PE,202303,50073300,203023,210102126,3229,45,1409,1,INDIVIDUAL,INDIVIDUAL,1,372107,FIJO,372107,1,74.9,0,1,1,1,1,201,1,2737,XXXXXXXXX,2023-02-13,1|1|1|0|1|XXXXXXXXX|
PE,202303,50180387,16008,200089989,740,10,1483,1,INDIVIDUAL,INDIVIDUAL,2,369471,VARIABLE,369471,58,16.9,0,1,1,1,1,300,1,699,P0197082000,2023-02-10,1|2|1|0|1|P0197082000|
PE,202301,20541199,35864,200106312,1213,24,240,999,VOLUMEN,VOLUMEN,2,361136,VARIABLE,361136,9,16.23,0,1,1,1,8,425,1,1124,200106312,2022-12-26,999|2|8|0|1|200106312|
PE,202305,50020096,42065,200102045,993,1,626,1,INDIVIDUAL,INDIVIDUAL,1,378635,FIJO,378635,15,12.5,0,1,1,1,1,425,1,564,200084602,2023-03-17,1|1|1|0|1|200084602|
PE,202305,50073300,35727,200108674,1965,24,462,999,VOLUMEN,VOLUMEN,2,379953,VARIABLE,379953,15,7.38,0,1,1,1,5,422,1,1500,200059112,2023-03-31,999|2|5|0|1|200059112|
PE,202302,50020096,16707,200090658,1672,35,352,1,INDIVIDUAL,INDIVIDUAL,1,366405,FIJO,366405,10,4.9,0,1,1,1,1,126,4,1575,200090658,2023-01-10,1|1|1|0|1|200090658|
PE,202302,50073300,46978,200109795,1382,26,659,1,INDIVIDUAL,INDIVIDUAL,1,366112,FIJO,366112,0,0,1,1,1,1,1,57,6,1285,200109795,2023-01-20,1|1|1|1|1|200109795|
PE,202302,49946996,46978,200109795,1382,26,659,1,INDIVIDUAL,INDIVIDUAL,1,366112,FIJO,366112,0,0,1,1,1,1,1,57,6,1285,200109795,2023-01-24,1|1|1|1|1|200109795|
PE,202302,20541199,46978,200109795,1382,26,659,1,INDIVIDUAL,INDIVIDUAL,1,366112,FIJO,366112,0,0,1,1,1,1,1,57,6,1285,200109795,2023-01-26,1|1|1|1|1|200109795|
PE,202301,50073300,39576,400095666,1290,26,1677,1,INDIVIDUAL,INDIVIDUAL,1,361227,FIJO,361227,0,0,1,1,1,1,1,57,6,1181,XXXXXXXXX,2022-12-28,1|1|1|1|1|XXXXXXXXX|
PE,202301,50180387,39576,400095666,1290,26,1677,1,INDIVIDUAL,INDIVIDUAL,1,361227,FIJO,361227,0,0,1,1,1,1,1,57,6,1181,XXXXXXXXX,2023-01-06,1|1|1|1|1|XXXXXXXXX|
PE,202301,10961556,39576,400095666,1290,26,1677,1,INDIVIDUAL,INDIVIDUAL,1,361227,FIJO,361227,0,0,1,1,1,1,1,57,6,1181,XXXXXXXXX,2022-12-27,1|1|1|1|1|XXXXXXXXX|
PE,202301,50020096,39576,400095666,1290,26,1677,1,INDIVIDUAL,INDIVIDUAL,1,361227,FIJO,361227,0,0,1,1,1,1,1,57,6,1181,XXXXXXXXX,2022-12-17,1|1|1|1|1|XXXXXXXXX|
PE,202301,43985620,39576,400095666,1290,26,1677,1,INDIVIDUAL,INDIVIDUAL,1,361227,FIJO,361227,0,0,1,1,1,1,1,57,6,1181,XXXXXXXXX,2022-12-20,1|1|1|1|1|XXXXXXXXX|
PE,202301,20541199,39576,400095666,1290,26,1677,1,INDIVIDUAL,INDIVIDUAL,1,361227,FIJO,361227,0,0,1,1,1,1,1,57,6,1181,XXXXXXXXX,2022-12-26,1|1|1|1|1|XXXXXXXXX|
PE,202301,35545956,39576,400095666,1290,26,1677,1,INDIVIDUAL,INDIVIDUAL,1,361227,FIJO,361227,0,0,1,1,1,1,1,57,6,1181,XXXXXXXXX,2022-12-06,1|1|1|1|1|XXXXXXXXX|
PE,202301,49389205,39576,400095666,1290,26,1677,1,INDIVIDUAL,INDIVIDUAL,1,361227,FIJO,361227,0,0,1,1,1,1,1,57,6,1181,XXXXXXXXX,2022-12-30,1|1|1|1|1|XXXXXXXXX|
