ID_OFERTA,Composite_key
17,INDIVIDUAL|FIJO|200113651|1|0|1.0|INDIVIDUAL|FIJO|200113651|1|0|1.0|INDIVIDUAL|FIJO|200113651|1|0|1.0|INDIVIDUAL|FIJO|200113651|1|0|1.0|INDIVIDUAL|FIJO|200113651|1|0|1.0|INDIVIDUAL|FIJO|200113651|1|0|1.0|INDIVIDUAL|FIJO|200113651|1|0|1.0|INDIVIDUAL|FIJO|200113651|1|0|1.0|INDIVIDUAL|FIJO|200113651|1|0|1.0|INDIVIDUAL|FIJO|200113651|1|0|1.0|INDIVIDUAL|FIJO|200113651|1|0|1.0|INDIVIDUAL|FIJO|200113651|1|0|1.0|INDIVIDUAL|FIJO|200113651|1|0|1.0
18,INDIVIDUAL|FIJO|200104393|1|0|1.0|INDIVIDUAL|FIJO|200104393|1|0|1.0|INDIVIDUAL|FIJO|200104393|1|0|1.0|INDIVIDUAL|FIJO|200104393|1|0|1.0|INDIVIDUAL|FIJO|200104393|1|0|1.0|INDIVIDUAL|FIJO|200104393|1|0|1.0|INDIVIDUAL|FIJO|200104393|1|0|1.0|INDIVIDUAL|FIJO|200104393|1|0|1.0|INDIVIDUAL|FIJO|200104393|1|0|1.0|INDIVIDUAL|FIJO|200104393|1|0|1.0|INDIVIDUAL|FIJO|200104393|1|0|1.0
19,INDIVIDUAL|FIJO|200012761|1|0|1.0|INDIVIDUAL|FIJO|200012761|1|0|1.0|INDIVIDUAL|FIJO|200012761|1|0|1.0|INDIVIDUAL|FIJO|200012761|1|0|1.0|INDIVIDUAL|FIJO|200012761|1|0|1.0|INDIVIDUAL|FIJO|200012761|1|0|1.0|INDIVIDUAL|FIJO|200012761|1|0|1.0|INDIVIDUAL|FIJO|200012761|1|0|1.0|INDIVIDUAL|FIJO|200012761|1|0|1.0|INDIVIDUAL|FIJO|200012761|1|0|1.0|INDIVIDUAL|FIJO|200012761|1|0|1.0|INDIVIDUAL|FIJO|200012761|1|0|1.0
20,INDIVIDUAL|FIJO|200116560|1|0|1.0|INDIVIDUAL|FIJO|200116560|1|0|1.0|INDIVIDUAL|FIJO|200116560|1|0|1.0|INDIVIDUAL|FIJO|200116560|1|0|1.0|INDIVIDUAL|FIJO|200116560|1|0|1.0|INDIVIDUAL|FIJO|200116560|1|0|1.0|INDIVIDUAL|FIJO|200116560|1|0|1.0|INDIVIDUAL|FIJO|200116560|1|0|1.0|INDIVIDUAL|FIJO|200116560|1|0|1.0|INDIVIDUAL|FIJO|200116560|1|0|1.0|INDIVIDUAL|FIJO|200116560|1|0|1.0|INDIVIDUAL|FIJO|200116560|1|0|1.0|INDIVIDUAL|FIJO|200116560|1|0|1.0
21,INDIVIDUAL|FIJO|200116562|1|0|1.0|INDIVIDUAL|FIJO|200116562|1|0|1.0|INDIVIDUAL|FIJO|200116562|1|0|1.0|INDIVIDUAL|FIJO|200116562|1|0|1.0|INDIVIDUAL|FIJO|200116562|1|0|1.0|INDIVIDUAL|FIJO|200116562|1|0|1.0|INDIVIDUAL|FIJO|200116562|1|0|1.0|INDIVIDUAL|FIJO|200116562|1|0|1.0|INDIVIDUAL|FIJO|200116562|1|0|1.0|INDIVIDUAL|FIJO|200116562|1|0|1.0|INDIVIDUAL|FIJO|200116562|1|0|1.0|INDIVIDUAL|FIJO|200116562|1|0|1.0|INDIVIDUAL|FIJO|200116562|1|0|1.0
22,INDIVIDUAL|FIJO|200116561|1|0|1.0|INDIVIDUAL|FIJO|200116561|1|0|1.0|INDIVIDUAL|FIJO|200116561|1|0|1.0|INDIVIDUAL|FIJO|200116561|1|0|1.0|INDIVIDUAL|FIJO|200116561|1|0|1.0|INDIVIDUAL|FIJO|200116561|1|0|1.0|INDIVIDUAL|FIJO|200116561|1|0|1.0|INDIVIDUAL|FIJO|200116561|1|0|1.0|INDIVIDUAL|FIJO|200116561|1|0|1.0|INDIVIDUAL|FIJO|200116561|1|0|1.0|INDIVIDUAL|FIJO|200116561|1|0|1.0|INDIVIDUAL|FIJO|200116561|1|0|1.0|INDIVIDUAL|FIJO|200116561|1|0|1.0
23,INDIVIDUAL|FIJO|200053122|1|0|1.0|INDIVIDUAL|FIJO|200053122|1|0|1.0|INDIVIDUAL|FIJO|200053122|1|0|1.0|INDIVIDUAL|FIJO|200053122|1|0|1.0|INDIVIDUAL|FIJO|200053122|1|0|1.0|INDIVIDUAL|FIJO|200053122|1|0|1.0|INDIVIDUAL|FIJO|200053122|1|0|1.0|INDIVIDUAL|FIJO|200053122|1|0|1.0|INDIVIDUAL|FIJO|200053122|1|0|1.0|INDIVIDUAL|FIJO|200053122|1|0|1.0|INDIVIDUAL|FIJO|200053122|1|0|1.0|INDIVIDUAL|FIJO|200053122|1|0|1.0|INDIVIDUAL|FIJO|200053122|1|0|1.0
24,INDIVIDUAL|FIJO|200050795|1|0|1.0|INDIVIDUAL|FIJO|200050795|1|0|1.0|INDIVIDUAL|FIJO|200050795|1|0|1.0|INDIVIDUAL|FIJO|200050795|1|0|1.0|INDIVIDUAL|FIJO|200050795|1|0|1.0|INDIVIDUAL|FIJO|200050795|1|0|1.0|INDIVIDUAL|FIJO|200050795|1|0|1.0|INDIVIDUAL|FIJO|200050795|1|0|1.0|INDIVIDUAL|FIJO|200050795|1|0|1.0|INDIVIDUAL|FIJO|200050795|1|0|1.0|INDIVIDUAL|FIJO|200050795|1|0|1.0|INDIVIDUAL|FIJO|200050795|1|0|1.0|INDIVIDUAL|FIJO|200050795|1|0|1.0
25,INDIVIDUAL|FIJO|200042358|1|0|1.0|INDIVIDUAL|FIJO|200042358|1|0|1.0|INDIVIDUAL|FIJO|200042358|1|0|1.0|INDIVIDUAL|FIJO|200042358|1|0|1.0|INDIVIDUAL|FIJO|200042358|1|0|1.0|INDIVIDUAL|FIJO|200042358|1|0|1.0|INDIVIDUAL|FIJO|200042358|1|0|1.0|INDIVIDUAL|FIJO|200042358|1|0|1.0|INDIVIDUAL|FIJO|200042358|1|0|1.0|INDIVIDUAL|FIJO|200042358|1|0|1.0|INDIVIDUAL|FIJO|200042358|1|0|1.0|INDIVIDUAL|FIJO|200042358|1|0|1.0|INDIVIDUAL|FIJO|200042358|1|0|1.0|INDIVIDUAL|FIJO|200042358|1|0|1.0
26,INDIVIDUAL|FIJO|200039844|1|0|1.0|INDIVIDUAL|FIJO|200039844|1|0|1.0|INDIVIDUAL|FIJO|200039844|1|0|1.0|INDIVIDUAL|FIJO|200039844|1|0|1.0|INDIVIDUAL|FIJO|200039844|1|0|1.0|INDIVIDUAL|FIJO|200039844|1|0|1.0|INDIVIDUAL|FIJO|200039844|1|0|1.0|INDIVIDUAL|FIJO|200039844|1|0|1.0|INDIVIDUAL|FIJO|200039844|1|0|1.0|INDIVIDUAL|FIJO|200039844|1|0|1.0|INDIVIDUAL|FIJO|200039844|1|0|1.0|INDIVIDUAL|FIJO|200039844|1|0|1.0|INDIVIDUAL|FIJO|200039844|1|0|1.0
