ID_OFERTA,Composite_key
1,INDIVIDUAL|FIJO|200053122|1|1|1.0|INDIVIDUAL|FIJO|200053122|1|1|1.0|INDIVIDUAL|FIJO|200053122|1|1|1.0|INDIVIDUAL|FIJO|200053122|1|1|1.0|INDIVIDUAL|FIJO|200053122|1|1|1.0|INDIVIDUAL|FIJO|200053122|1|1|1.0|INDIVIDUAL|FIJO|200053122|1|1|1.0|INDIVIDUAL|FIJO|200053122|1|1|1.0|INDIVIDUAL|FIJO|200053122|1|1|1.0|INDIVIDUAL|FIJO|200053122|1|1|1.0|INDIVIDUAL|FIJO|200053122|1|1|1.0|INDIVIDUAL|FIJO|200053122|1|1|1.0|INDIVIDUAL|FIJO|200053122|1|1|1.0
2,SET FIJO|FIJO|200050979|1|0|1.0|SET FIJO|FIJO|200050979|1|0|1.0|SET FIJO|FIJO|200050979|1|0|1.0|SET FIJO|FIJO|200058349|0|0|1.0|SET FIJO|FIJO|200058349|0|0|1.0|SET FIJO|FIJO|200058349|0|0|1.0|SET FIJO|FIJO|200058349|0|0|1.0|SET FIJO|FIJO|200050979|1|0|1.0|SET FIJO|FIJO|200050979|1|0|1.0|SET FIJO|FIJO|200050979|1|0|1.0|SET FIJO|FIJO|200050979|1|0|1.0|SET FIJO|FIJO|200058349|0|0|1.0|SET FIJO|FIJO|200050979|1|0|1.0|SET FIJO|FIJO|200050979|1|0|1.0|SET FIJO|FIJO|200050979|1|0|1.0|SET FIJO|FIJO|200050979|1|0|1.0|SET FIJO|FIJO|200050979|1|0|1.0|SET FIJO|FIJO|200050979|1|0|1.0|SET FIJO|FIJO|200058349|0|0|1.0|SET FIJO|FIJO|200058349|0|0|1.0|SET FIJO|FIJO|200058349|0|0|1.0|SET FIJO|FIJO|200050979|1|0|1.0|SET FIJO|FIJO|200058349|0|0|1.0|SET FIJO|FIJO|200058349|0|0|1.0|SET FIJO|FIJO|200058349|0|0|1.0|SET FIJO|FIJO|200058349|0|0|1.0
3,VOLUMEN|FIJO|200116555|1|0|1.0|VOLUMEN|FIJO|200116555|1|0|1.0|VOLUMEN|FIJO|200116555|1|0|1.0|VOLUMEN|FIJO|200116555|1|0|1.0|VOLUMEN|FIJO|200116555|1|0|1.0|VOLUMEN|FIJO|200116555|1|0|1.0|VOLUMEN|FIJO|200116555|1|0|1.0|VOLUMEN|FIJO|200116555|1|0|1.0|VOLUMEN|FIJO|200116555|1|0|1.0|VOLUMEN|FIJO|200116555|1|0|1.0|VOLUMEN|FIJO|200116555|1|0|1.0|VOLUMEN|FIJO|200116555|1|0|1.0|VOLUMEN|FIJO|200116555|1|0|1.0
4,VOLUMEN|FIJO|200037781|1|0|1.0|VOLUMEN|FIJO|200037781|1|0|1.0|VOLUMEN|FIJO|200037781|1|0|1.0|VOLUMEN|FIJO|200037781|1|0|1.0|VOLUMEN|FIJO|200037781|1|0|1.0|VOLUMEN|FIJO|200037781|1|0|1.0|VOLUMEN|FIJO|200037781|1|0|1.0|VOLUMEN|FIJO|200037781|1|0|1.0|VOLUMEN|FIJO|200037781|1|0|1.0|VOLUMEN|FIJO|200037781|1|0|1.0|VOLUMEN|FIJO|200037781|1|0|1.0|VOLUMEN|FIJO|200037781|1|0|1.0|VOLUMEN|FIJO|200037781|1|0|1.0
5,VOLUMEN|FIJO|200116556|1|1|1.0|VOLUMEN|FIJO|200116556|1|1|1.0|VOLUMEN|FIJO|200116556|1|1|1.0|VOLUMEN|FIJO|200116556|1|1|1.0|VOLUMEN|FIJO|200116556|1|1|1.0|VOLUMEN|FIJO|200116556|1|1|1.0|VOLUMEN|FIJO|200116556|1|1|1.0|VOLUMEN|FIJO|200116556|1|1|1.0|VOLUMEN|FIJO|200116556|1|1|1.0|VOLUMEN|FIJO|200116556|1|1|1.0|VOLUMEN|FIJO|200116556|1|1|1.0|VOLUMEN|FIJO|200116556|1|1|1.0|VOLUMEN|FIJO|200116556|1|1|1.0|VOLUMEN|FIJO|200116555|1|0|3.0|VOLUMEN|FIJO|200116555|1|0|3.0|VOLUMEN|FIJO|200116555|1|0|3.0|VOLUMEN|FIJO|200116555|1|0|3.0|VOLUMEN|FIJO|200116555|1|0|3.0|VOLUMEN|FIJO|200116555|1|0|3.0|VOLUMEN|FIJO|200116555|1|0|3.0|VOLUMEN|FIJO|200116555|1|0|3.0|VOLUMEN|FIJO|200116555|1|0|3.0|VOLUMEN|FIJO|200116555|1|0|3.0|VOLUMEN|FIJO|200116555|1|0|3.0|VOLUMEN|FIJO|200116555|1|0|3.0|VOLUMEN|FIJO|200116555|1|0|3.0
6,VOLUMEN|FIJO|200037781|1|0|1.0|VOLUMEN|FIJO|200037781|1|0|1.0|VOLUMEN|FIJO|200037781|1|0|1.0|VOLUMEN|FIJO|200037781|1|0|1.0|VOLUMEN|FIJO|200037781|1|0|1.0|VOLUMEN|FIJO|200037781|1|0|1.0|VOLUMEN|FIJO|200116556|1|1|1.0|VOLUMEN|FIJO|200116556|1|1|1.0|VOLUMEN|FIJO|200116556|1|1|1.0|VOLUMEN|FIJO|200116556|1|1|1.0|VOLUMEN|FIJO|200116556|1|1|1.0|VOLUMEN|FIJO|200116556|1|1|1.0|VOLUMEN|FIJO|200116556|1|1|1.0|VOLUMEN|FIJO|200116556|1|1|1.0|VOLUMEN|FIJO|200116556|1|1|1.0|VOLUMEN|FIJO|200116556|1|1|1.0|VOLUMEN|FIJO|200116556|1|1|1.0|VOLUMEN|FIJO|200116556|1|1|1.0|VOLUMEN|FIJO|200116556|1|1|1.0|VOLUMEN|FIJO|200116555|1|0|2.0|VOLUMEN|FIJO|200116555|1|0|2.0|VOLUMEN|FIJO|200116555|1|0|2.0|VOLUMEN|FIJO|200116555|1|0|2.0|VOLUMEN|FIJO|200037781|1|0|1.0|VOLUMEN|FIJO|200037781|1|0|1.0|VOLUMEN|FIJO|200037781|1|0|1.0|VOLUMEN|FIJO|200037781|1|0|1.0|VOLUMEN|FIJO|200037781|1|0|1.0|VOLUMEN|FIJO|200116555|1|0|2.0|VOLUMEN|FIJO|200116555|1|0|2.0|VOLUMEN|FIJO|200116555|1|0|2.0|VOLUMEN|FIJO|200116555|1|0|2.0|VOLUMEN|FIJO|200116555|1|0|2.0|VOLUMEN|FIJO|200116555|1|0|2.0|VOLUMEN|FIJO|200116555|1|0|2.0|VOLUMEN|FIJO|200116555|1|0|2.0|VOLUMEN|FIJO|200116555|1|0|2.0|VOLUMEN|FIJO|200037781|1|0|1.0|VOLUMEN|FIJO|200037781|1|0|1.0
7,VOLUMEN|FIJO|200037781|1|0|1.0|VOLUMEN|FIJO|200037781|1|0|1.0|VOLUMEN|FIJO|200037781|1|0|1.0|VOLUMEN|FIJO|200037781|1|0|1.0|VOLUMEN|FIJO|200037781|1|0|1.0|VOLUMEN|FIJO|200037781|1|0|1.0|VOLUMEN|FIJO|200116556|1|1|2.0|VOLUMEN|FIJO|200116556|1|1|2.0|VOLUMEN|FIJO|200116556|1|1|2.0|VOLUMEN|FIJO|200116556|1|1|2.0|VOLUMEN|FIJO|200116556|1|1|2.0|VOLUMEN|FIJO|200116556|1|1|2.0|VOLUMEN|FIJO|200116556|1|1|2.0|VOLUMEN|FIJO|200116556|1|1|2.0|VOLUMEN|FIJO|200116556|1|1|2.0|VOLUMEN|FIJO|200116556|1|1|2.0|VOLUMEN|FIJO|200116556|1|1|2.0|VOLUMEN|FIJO|200116556|1|1|2.0|VOLUMEN|FIJO|200116556|1|1|2.0|VOLUMEN|FIJO|200116555|1|0|4.0|VOLUMEN|FIJO|200116555|1|0|4.0|VOLUMEN|FIJO|200116555|1|0|4.0|VOLUMEN|FIJO|200116555|1|0|4.0|VOLUMEN|FIJO|200037781|1|0|1.0|VOLUMEN|FIJO|200037781|1|0|1.0|VOLUMEN|FIJO|200037781|1|0|1.0|VOLUMEN|FIJO|200037781|1|0|1.0|VOLUMEN|FIJO|200037781|1|0|1.0|VOLUMEN|FIJO|200116555|1|0|4.0|VOLUMEN|FIJO|200116555|1|0|4.0|VOLUMEN|FIJO|200116555|1|0|4.0|VOLUMEN|FIJO|200116555|1|0|4.0|VOLUMEN|FIJO|200116555|1|0|4.0|VOLUMEN|FIJO|200116555|1|0|4.0|VOLUMEN|FIJO|200116555|1|0|4.0|VOLUMEN|FIJO|200116555|1|0|4.0|VOLUMEN|FIJO|200116555|1|0|4.0|VOLUMEN|FIJO|200037781|1|0|1.0|VOLUMEN|FIJO|200037781|1|0|1.0
8,VOLUMEN|FIJO|200037781|1|0|2.0|VOLUMEN|FIJO|200037781|1|0|2.0|VOLUMEN|FIJO|200037781|1|0|2.0|VOLUMEN|FIJO|200037781|1|0|2.0|VOLUMEN|FIJO|200037781|1|0|2.0|VOLUMEN|FIJO|200037781|1|0|2.0|VOLUMEN|FIJO|200116556|1|1|3.0|VOLUMEN|FIJO|200116556|1|1|3.0|VOLUMEN|FIJO|200116556|1|1|3.0|VOLUMEN|FIJO|200116556|1|1|3.0|VOLUMEN|FIJO|200116556|1|1|3.0|VOLUMEN|FIJO|200116556|1|1|3.0|VOLUMEN|FIJO|200116556|1|1|3.0|VOLUMEN|FIJO|200116556|1|1|3.0|VOLUMEN|FIJO|200116556|1|1|3.0|VOLUMEN|FIJO|200116556|1|1|3.0|VOLUMEN|FIJO|200116556|1|1|3.0|VOLUMEN|FIJO|200116556|1|1|3.0|VOLUMEN|FIJO|200116556|1|1|3.0|VOLUMEN|FIJO|200116555|1|0|6.0|VOLUMEN|FIJO|200116555|1|0|6.0|VOLUMEN|FIJO|200116555|1|0|6.0|VOLUMEN|FIJO|200116555|1|0|6.0|VOLUMEN|FIJO|200037781|1|0|2.0|VOLUMEN|FIJO|200037781|1|0|2.0|VOLUMEN|FIJO|200037781|1|0|2.0|VOLUMEN|FIJO|200037781|1|0|2.0|VOLUMEN|FIJO|200037781|1|0|2.0|VOLUMEN|FIJO|200116555|1|0|6.0|VOLUMEN|FIJO|200116555|1|0|6.0|VOLUMEN|FIJO|200116555|1|0|6.0|VOLUMEN|FIJO|200116555|1|0|6.0|VOLUMEN|FIJO|200116555|1|0|6.0|VOLUMEN|FIJO|200116555|1|0|6.0|VOLUMEN|FIJO|200116555|1|0|6.0|VOLUMEN|FIJO|200116555|1|0|6.0|VOLUMEN|FIJO|200116555|1|0|6.0|VOLUMEN|FIJO|200037781|1|0|2.0|VOLUMEN|FIJO|200037781|1|0|2.0
9,INDIVIDUAL + ADICIONAL|FIJO|200111130|1|0|1.0|INDIVIDUAL + ADICIONAL|FIJO|200111130|1|0|1.0|INDIVIDUAL + ADICIONAL|FIJO|200111130|1|0|1.0|INDIVIDUAL + ADICIONAL|FIJO|200111130|1|0|1.0|INDIVIDUAL + ADICIONAL|FIJO|200111130|1|0|1.0|INDIVIDUAL + ADICIONAL|FIJO|200111130|1|0|1.0|INDIVIDUAL + ADICIONAL|FIJO|200111130|1|0|1.0|INDIVIDUAL + ADICIONAL|FIJO|200111130|1|0|1.0|INDIVIDUAL + ADICIONAL|FIJO|200111130|1|0|1.0|INDIVIDUAL + ADICIONAL|FIJO|P0292139009|0|1|1.0|INDIVIDUAL + ADICIONAL|FIJO|200111130|1|0|1.0|INDIVIDUAL + ADICIONAL|FIJO|P0292139009|0|1|1.0|INDIVIDUAL + ADICIONAL|FIJO|P0292139009|0|1|1.0|INDIVIDUAL + ADICIONAL|FIJO|P0292139009|0|1|1.0|INDIVIDUAL + ADICIONAL|FIJO|P0292139009|0|1|1.0|INDIVIDUAL + ADICIONAL|FIJO|P0292139009|0|1|1.0|INDIVIDUAL + ADICIONAL|FIJO|P0292139009|0|1|1.0|INDIVIDUAL + ADICIONAL|FIJO|P0292139009|0|1|1.0|INDIVIDUAL + ADICIONAL|FIJO|200111130|1|0|1.0|INDIVIDUAL + ADICIONAL|FIJO|P0292139009|0|1|1.0|INDIVIDUAL + ADICIONAL|FIJO|P0292139009|0|1|1.0
10,VOLUMEN|FIJO|200039855|1|0|1.0|VOLUMEN|FIJO|200039855|1|0|1.0|VOLUMEN|FIJO|200039855|1|0|1.0|VOLUMEN|FIJO|200039855|1|0|1.0|VOLUMEN|FIJO|200039855|1|0|1.0|VOLUMEN|FIJO|200039855|1|0|1.0|VOLUMEN|FIJO|200063985|1|1|1.0|VOLUMEN|FIJO|200039855|1|0|1.0|VOLUMEN|FIJO|200039855|1|0|1.0|VOLUMEN|FIJO|200063985|1|1|1.0|VOLUMEN|FIJO|200063985|1|1|1.0|VOLUMEN|FIJO|200063985|1|1|1.0|VOLUMEN|FIJO|200039855|1|0|1.0|VOLUMEN|FIJO|200039855|1|0|1.0|VOLUMEN|FIJO|200063985|1|1|1.0|VOLUMEN|FIJO|200063985|1|1|1.0|VOLUMEN|FIJO|200039855|1|0|1.0|VOLUMEN|FIJO|200063985|1|1|1.0|VOLUMEN|FIJO|200063985|1|1|1.0|VOLUMEN|FIJO|200063985|1|1|1.0|VOLUMEN|FIJO|200039855|1|0|1.0|VOLUMEN|FIJO|200039855|1|0|1.0|VOLUMEN|FIJO|200063985|1|1|1.0|VOLUMEN|FIJO|200063985|1|1|1.0|VOLUMEN|FIJO|200063985|1|1|1.0
