ID_OFERTA,Composite_key
6,INDIVIDUAL|FIJO|200119017|1|0|1.0|INDIVIDUAL|FIJO|200119017|1|0|1.0|INDIVIDUAL|FIJO|200119017|1|0|1.0|INDIVIDUAL|FIJO|200119017|1|0|1.0|INDIVIDUAL|FIJO|200119017|1|0|1.0|INDIVIDUAL|FIJO|200119017|1|0|1.0|INDIVIDUAL|FIJO|200119017|1|0|1.0|INDIVIDUAL|FIJO|200119017|1|0|1.0|INDIVIDUAL|FIJO|200119017|1|0|1.0|INDIVIDUAL|FIJO|200119017|1|0|1.0|INDIVIDUAL|FIJO|200119017|1|0|1.0
7,INDIVIDUAL|FIJO|200091328|1|0|1.0|INDIVIDUAL|FIJO|200091328|1|0|1.0|INDIVIDUAL|FIJO|200091328|1|0|1.0|INDIVIDUAL|FIJO|200091328|1|0|1.0|INDIVIDUAL|FIJO|200091328|1|0|1.0|INDIVIDUAL|FIJO|200091328|1|0|1.0|INDIVIDUAL|FIJO|200091328|1|0|1.0|INDIVIDUAL|FIJO|200091328|1|0|1.0|INDIVIDUAL|FIJO|200091328|1|0|1.0|INDIVIDUAL|FIJO|200091328|1|0|1.0|INDIVIDUAL|FIJO|200091328|1|0|1.0
8,INDIVIDUAL|FIJO|200118363|1|0|1.0|INDIVIDUAL|FIJO|200118363|1|0|1.0|INDIVIDUAL|FIJO|200118363|1|0|1.0|INDIVIDUAL|FIJO|200118363|1|0|1.0|INDIVIDUAL|FIJO|200118363|1|0|1.0|INDIVIDUAL|FIJO|200118363|1|0|1.0|INDIVIDUAL|FIJO|200118363|1|0|1.0|INDIVIDUAL|FIJO|200118363|1|0|1.0|INDIVIDUAL|FIJO|200118363|1|0|1.0|INDIVIDUAL|FIJO|200118363|1|0|1.0
9,INDIVIDUAL|FIJO|200109443|1|0|1.0|INDIVIDUAL|FIJO|200109443|1|0|1.0|INDIVIDUAL|FIJO|200109443|1|0|1.0|INDIVIDUAL|FIJO|200109443|1|0|1.0|INDIVIDUAL|FIJO|200109443|1|0|1.0|INDIVIDUAL|FIJO|200109443|1|0|1.0|INDIVIDUAL|FIJO|200109443|1|0|1.0|INDIVIDUAL|FIJO|200109443|1|0|1.0|INDIVIDUAL|FIJO|200109443|1|0|1.0|INDIVIDUAL|FIJO|200109443|1|0|1.0|INDIVIDUAL|FIJO|200109443|1|0|1.0
10,INDIVIDUAL|FIJO|200113548|1|0|1.0|INDIVIDUAL|FIJO|200113548|1|0|1.0|INDIVIDUAL|FIJO|200113548|1|0|1.0|INDIVIDUAL|FIJO|200113548|1|0|1.0|INDIVIDUAL|FIJO|200113548|1|0|1.0|INDIVIDUAL|FIJO|200113548|1|0|1.0|INDIVIDUAL|FIJO|200113548|1|0|1.0|INDIVIDUAL|FIJO|200113548|1|0|1.0|INDIVIDUAL|FIJO|200113548|1|0|1.0|INDIVIDUAL|FIJO|200113548|1|0|1.0|INDIVIDUAL|FIJO|200113548|1|0|1.0
11,INDIVIDUAL|FIJO|200098555|1|0|1.0|INDIVIDUAL|FIJO|200098555|1|0|1.0|INDIVIDUAL|FIJO|200098555|1|0|1.0|INDIVIDUAL|FIJO|200098555|1|0|1.0|INDIVIDUAL|FIJO|200098555|1|0|1.0|INDIVIDUAL|FIJO|200098555|1|0|1.0|INDIVIDUAL|FIJO|200098555|1|0|1.0|INDIVIDUAL|FIJO|200098555|1|0|1.0|INDIVIDUAL|FIJO|200098555|1|0|1.0|INDIVIDUAL|FIJO|200098555|1|0|1.0|INDIVIDUAL|FIJO|200098555|1|0|1.0
12,INDIVIDUAL|FIJO|200106295|1|0|1.0|INDIVIDUAL|FIJO|200106295|1|0|1.0|INDIVIDUAL|FIJO|200106295|1|0|1.0|INDIVIDUAL|FIJO|200106295|1|0|1.0|INDIVIDUAL|FIJO|200106295|1|0|1.0|INDIVIDUAL|FIJO|200106295|1|0|1.0|INDIVIDUAL|FIJO|200106295|1|0|1.0|INDIVIDUAL|FIJO|200106295|1|0|1.0|INDIVIDUAL|FIJO|200106295|1|0|1.0|INDIVIDUAL|FIJO|200106295|1|0|1.0
13,INDIVIDUAL|FIJO|200095903|1|0|1.0|INDIVIDUAL|FIJO|200095903|1|0|1.0|INDIVIDUAL|FIJO|200095903|1|0|1.0|INDIVIDUAL|FIJO|200095903|1|0|1.0|INDIVIDUAL|FIJO|200095903|1|0|1.0|INDIVIDUAL|FIJO|200095903|1|0|1.0|INDIVIDUAL|FIJO|200095903|1|0|1.0|INDIVIDUAL|FIJO|200095903|1|0|1.0|INDIVIDUAL|FIJO|200095903|1|0|1.0|INDIVIDUAL|FIJO|200095903|1|0|1.0|INDIVIDUAL|FIJO|200095903|1|0|1.0|INDIVIDUAL|FIJO|200095903|1|0|1.0
14,INDIVIDUAL|FIJO|200058661|1|0|1.0
15,INDIVIDUAL|FIJO|200109119|1|0|1.0|INDIVIDUAL|FIJO|200109119|1|0|1.0|INDIVIDUAL|FIJO|200109119|1|0|1.0|INDIVIDUAL|FIJO|200109119|1|0|1.0|INDIVIDUAL|FIJO|200109119|1|0|1.0|INDIVIDUAL|FIJO|200109119|1|0|1.0|INDIVIDUAL|FIJO|200109119|1|0|1.0|INDIVIDUAL|FIJO|200109119|1|0|1.0|INDIVIDUAL|FIJO|200109119|1|0|1.0|INDIVIDUAL|FIJO|200109119|1|0|1.0
