ID_OFERTA,Composite_key
6,INDIVIDUAL|FIJO|200059602|1|0|1.0|INDIVIDUAL|FIJO|200059602|1|0|1.0|INDIVIDUAL|FIJO|200059602|1|0|1.0|INDIVIDUAL|FIJO|200059602|1|0|1.0|INDIVIDUAL|FIJO|200059602|1|0|1.0|INDIVIDUAL|FIJO|200059602|1|0|1.0|INDIVIDUAL|FIJO|200059602|1|0|1.0|INDIVIDUAL|FIJO|200059602|1|0|1.0|INDIVIDUAL|FIJO|200059602|1|0|1.0|INDIVIDUAL|FIJO|200059602|1|0|1.0|INDIVIDUAL|FIJO|200059602|1|0|1.0|INDIVIDUAL|FIJO|200059602|1|0|1.0|INDIVIDUAL|FIJO|200059602|1|0|1.0
7,INDIVIDUAL|FIJO|200116159|1|0|1.0|INDIVIDUAL|FIJO|200116159|1|0|1.0|INDIVIDUAL|FIJO|200116159|1|0|1.0|INDIVIDUAL|FIJO|200116159|1|0|1.0|INDIVIDUAL|FIJO|200116159|1|0|1.0|INDIVIDUAL|FIJO|200116159|1|0|1.0|INDIVIDUAL|FIJO|200116159|1|0|1.0|INDIVIDUAL|FIJO|200116159|1|0|1.0|INDIVIDUAL|FIJO|200116159|1|0|1.0|INDIVIDUAL|FIJO|200116159|1|0|1.0|INDIVIDUAL|FIJO|200116159|1|0|1.0|INDIVIDUAL|FIJO|200116159|1|0|1.0|INDIVIDUAL|FIJO|200116159|1|0|1.0
8,INDIVIDUAL|FIJO|200113372|1|0|1.0|INDIVIDUAL|FIJO|200113372|1|0|1.0|INDIVIDUAL|FIJO|200113372|1|0|1.0|INDIVIDUAL|FIJO|200113372|1|0|1.0|INDIVIDUAL|FIJO|200113372|1|0|1.0|INDIVIDUAL|FIJO|200113372|1|0|1.0|INDIVIDUAL|FIJO|200113372|1|0|1.0|INDIVIDUAL|FIJO|200113372|1|0|1.0|INDIVIDUAL|FIJO|200113372|1|0|1.0|INDIVIDUAL|FIJO|200113372|1|0|1.0|INDIVIDUAL|FIJO|200113372|1|0|1.0
9,INDIVIDUAL|FIJO|210097810|1|0|1.0|INDIVIDUAL|FIJO|210097810|1|0|1.0|INDIVIDUAL|FIJO|210097810|1|0|1.0|INDIVIDUAL|FIJO|210097810|1|0|1.0|INDIVIDUAL|FIJO|210097810|1|0|1.0|INDIVIDUAL|FIJO|210097810|1|0|1.0|INDIVIDUAL|FIJO|210097810|1|0|1.0|INDIVIDUAL|FIJO|210097810|1|0|1.0|INDIVIDUAL|FIJO|210097810|1|0|1.0|INDIVIDUAL|FIJO|210097810|1|0|1.0|INDIVIDUAL|FIJO|210097810|1|0|1.0|INDIVIDUAL|FIJO|210097810|1|0|1.0|INDIVIDUAL|FIJO|210097810|1|0|1.0
10,INDIVIDUAL|FIJO|200109472|1|0|1.0|INDIVIDUAL|FIJO|200109472|1|0|1.0|INDIVIDUAL|FIJO|200109472|1|0|1.0|INDIVIDUAL|FIJO|200109472|1|0|1.0|INDIVIDUAL|FIJO|200109472|1|0|1.0|INDIVIDUAL|FIJO|200109472|1|0|1.0|INDIVIDUAL|FIJO|200109472|1|0|1.0|INDIVIDUAL|FIJO|200109472|1|0|1.0|INDIVIDUAL|FIJO|200109472|1|0|1.0|INDIVIDUAL|FIJO|200109472|1|0|1.0|INDIVIDUAL|FIJO|200109472|1|0|1.0|INDIVIDUAL|FIJO|200109472|1|0|1.0|INDIVIDUAL|FIJO|200109472|1|0|1.0
11,INDIVIDUAL|FIJO|200109489|1|0|1.0|INDIVIDUAL|FIJO|200109489|1|0|1.0|INDIVIDUAL|FIJO|200109489|1|0|1.0|INDIVIDUAL|FIJO|200109489|1|0|1.0|INDIVIDUAL|FIJO|200109489|1|0|1.0|INDIVIDUAL|FIJO|200109489|1|0|1.0|INDIVIDUAL|FIJO|200109489|1|0|1.0|INDIVIDUAL|FIJO|200109489|1|0|1.0|INDIVIDUAL|FIJO|200109489|1|0|1.0|INDIVIDUAL|FIJO|200109489|1|0|1.0|INDIVIDUAL|FIJO|200109489|1|0|1.0|INDIVIDUAL|FIJO|200109489|1|0|1.0|INDIVIDUAL|FIJO|200109489|1|0|1.0
12,INDIVIDUAL|FIJO|200109468|1|0|1.0|INDIVIDUAL|FIJO|200109468|1|0|1.0|INDIVIDUAL|FIJO|200109468|1|0|1.0|INDIVIDUAL|FIJO|200109468|1|0|1.0|INDIVIDUAL|FIJO|200109468|1|0|1.0|INDIVIDUAL|FIJO|200109468|1|0|1.0|INDIVIDUAL|FIJO|200109468|1|0|1.0|INDIVIDUAL|FIJO|200109468|1|0|1.0|INDIVIDUAL|FIJO|200109468|1|0|1.0|INDIVIDUAL|FIJO|200109468|1|0|1.0|INDIVIDUAL|FIJO|200109468|1|0|1.0|INDIVIDUAL|FIJO|200109468|1|0|1.0|INDIVIDUAL|FIJO|200109468|1|0|1.0
13,INDIVIDUAL|FIJO|200109470|1|0|1.0|INDIVIDUAL|FIJO|200109470|1|0|1.0|INDIVIDUAL|FIJO|200109470|1|0|1.0|INDIVIDUAL|FIJO|200109470|1|0|1.0|INDIVIDUAL|FIJO|200109470|1|0|1.0|INDIVIDUAL|FIJO|200109470|1|0|1.0|INDIVIDUAL|FIJO|200109470|1|0|1.0|INDIVIDUAL|FIJO|200109470|1|0|1.0|INDIVIDUAL|FIJO|200109470|1|0|1.0|INDIVIDUAL|FIJO|200109470|1|0|1.0|INDIVIDUAL|FIJO|200109470|1|0|1.0|INDIVIDUAL|FIJO|200109470|1|0|1.0|INDIVIDUAL|FIJO|200109470|1|0|1.0
14,INDIVIDUAL|FIJO|200109198|1|0|1.0|INDIVIDUAL|FIJO|200109198|1|0|1.0|INDIVIDUAL|FIJO|200109198|1|0|1.0|INDIVIDUAL|FIJO|200109198|1|0|1.0|INDIVIDUAL|FIJO|200109198|1|0|1.0|INDIVIDUAL|FIJO|200109198|1|0|1.0|INDIVIDUAL|FIJO|200109198|1|0|1.0|INDIVIDUAL|FIJO|200109198|1|0|1.0|INDIVIDUAL|FIJO|200109198|1|0|1.0|INDIVIDUAL|FIJO|200109198|1|0|1.0|INDIVIDUAL|FIJO|200109198|1|0|1.0|INDIVIDUAL|FIJO|200109198|1|0|1.0|INDIVIDUAL|FIJO|200109198|1|0|1.0
15,INDIVIDUAL|FIJO|200116343|1|0|1.0|INDIVIDUAL|FIJO|200116343|1|0|1.0|INDIVIDUAL|FIJO|200116343|1|0|1.0|INDIVIDUAL|FIJO|200116343|1|0|1.0|INDIVIDUAL|FIJO|200116343|1|0|1.0|INDIVIDUAL|FIJO|200116343|1|0|1.0|INDIVIDUAL|FIJO|200116343|1|0|1.0|INDIVIDUAL|FIJO|200116343|1|0|1.0|INDIVIDUAL|FIJO|200116343|1|0|1.0|INDIVIDUAL|FIJO|200116343|1|0|1.0|INDIVIDUAL|FIJO|200116343|1|0|1.0|INDIVIDUAL|FIJO|200116343|1|0|1.0
