ID_OFERTA,Composite_key
1,SET FIJO|FIJO|200050979|1|0|1.0|SET FIJO|FIJO|200050979|1|0|1.0|SET FIJO|FIJO|200050979|1|0|1.0|SET FIJO|FIJO|200012014|0|0|1.0|SET FIJO|FIJO|200012014|0|0|1.0|SET FIJO|FIJO|200012014|0|0|1.0|SET FIJO|FIJO|200050979|1|0|1.0|SET FIJO|FIJO|200050979|1|0|1.0|SET FIJO|FIJO|200050979|1|0|1.0|SET FIJO|FIJO|200050979|1|0|1.0|SET FIJO|FIJO|200012014|0|0|1.0|SET FIJO|FIJO|200012014|0|0|1.0|SET FIJO|FIJO|200050979|1|0|1.0|SET FIJO|FIJO|200050979|1|0|1.0|SET FIJO|FIJO|200012014|0|0|1.0|SET FIJO|FIJO|200050979|1|0|1.0|SET FIJO|FIJO|200083596|0|0|1.0|SET FIJO|FIJO|200083596|0|0|1.0|SET FIJO|FIJO|200083596|0|0|1.0|SET FIJO|FIJO|200083596|0|0|1.0|SET FIJO|FIJO|200083596|0|0|1.0|SET FIJO|FIJO|200083596|0|0|1.0|SET FIJO|FIJO|200083596|0|0|1.0|SET FIJO|FIJO|200083596|0|0|1.0|SET FIJO|FIJO|200083596|0|0|1.0|SET FIJO|FIJO|200012014|0|0|1.0|SET FIJO|FIJO|200012014|0|0|1.0|SET FIJO|FIJO|200012014|0|0|1.0|SET FIJO|FIJO|200083596|0|0|1.0|SET FIJO|FIJO|200083596|0|0|1.0|SET FIJO|FIJO|200050979|1|0|1.0|SET FIJO|FIJO|200050979|1|0|1.0|SET FIJO|FIJO|200050979|1|0|1.0|SET FIJO|FIJO|200012014|0|0|1.0|SET FIJO|FIJO|200012014|0|0|1.0|SET FIJO|FIJO|200050979|1|0|1.0
2,SET FIJO|FIJO|200043496|0|0|1.0|SET FIJO|FIJO|200011767|1|0|1.0|SET FIJO|FIJO|200043496|0|0|1.0|SET FIJO|FIJO|200043496|0|0|1.0|SET FIJO|FIJO|200011767|1|0|1.0|SET FIJO|FIJO|200043496|0|0|1.0|SET FIJO|FIJO|200011767|1|0|1.0|SET FIJO|FIJO|200043496|0|0|1.0|SET FIJO|FIJO|200043496|0|0|1.0|SET FIJO|FIJO|200011767|1|0|1.0|SET FIJO|FIJO|200043496|0|0|1.0|SET FIJO|FIJO|200043496|0|0|1.0|SET FIJO|FIJO|200011767|1|0|1.0|SET FIJO|FIJO|200043496|0|0|1.0|SET FIJO|FIJO|200043496|0|0|1.0
3,SET FIJO|FIJO|P0408050000|0|0|1.0|SET FIJO|FIJO|P0408050000|0|0|1.0|SET FIJO|FIJO|P0408050000|0|0|1.0|SET FIJO|FIJO|P0408050000|0|0|1.0|SET FIJO|FIJO|P0408050000|0|0|1.0|SET FIJO|FIJO|P0408050000|0|0|1.0|SET FIJO|FIJO|P0408050000|0|0|1.0|SET FIJO|FIJO|P0408050000|0|0|1.0|SET FIJO|FIJO|200091328|1|0|1.0|SET FIJO|FIJO|200091328|1|0|1.0|SET FIJO|FIJO|200091328|1|0|1.0|SET FIJO|FIJO|200091328|1|0|1.0|SET FIJO|FIJO|200091328|1|0|1.0|SET FIJO|FIJO|P0408050000|0|0|1.0|SET FIJO|FIJO|P0408050000|0|0|1.0|SET FIJO|FIJO|P0408050000|0|0|1.0|SET FIJO|FIJO|P0408050000|0|0|1.0|SET FIJO|FIJO|P0408050000|0|0|1.0|SET FIJO|FIJO|200091328|1|0|1.0|SET FIJO|FIJO|200091328|1|0|1.0|SET FIJO|FIJO|200091328|1|0|1.0|SET FIJO|FIJO|200091328|1|0|1.0|SET FIJO|FIJO|200091328|1|0|1.0|SET FIJO|FIJO|200091328|1|0|1.0
4,SET FIJO|FIJO|200088458|1|0|1.0|SET FIJO|FIJO|P0210085000|0|0|1.0|SET FIJO|FIJO|P0210085000|0|0|1.0|SET FIJO|FIJO|P0210085000|0|0|1.0|SET FIJO|FIJO|P0210085000|0|0|1.0|SET FIJO|FIJO|P0210085000|0|0|1.0|SET FIJO|FIJO|P0210085000|0|0|1.0|SET FIJO|FIJO|P0210085000|0|0|1.0|SET FIJO|FIJO|P0210085000|0|0|1.0|SET FIJO|FIJO|P0210085000|0|0|1.0|SET FIJO|FIJO|200088458|1|0|1.0|SET FIJO|FIJO|200088458|1|0|1.0|SET FIJO|FIJO|200088458|1|0|1.0|SET FIJO|FIJO|200088458|1|0|1.0|SET FIJO|FIJO|200088458|1|0|1.0|SET FIJO|FIJO|200088458|1|0|1.0|SET FIJO|FIJO|200088458|1|0|1.0|SET FIJO|FIJO|200088458|1|0|1.0|SET FIJO|FIJO|200088458|1|0|1.0|SET FIJO|FIJO|P0210085000|0|0|1.0|SET FIJO|FIJO|200088458|1|0|1.0|SET FIJO|FIJO|200088458|1|0|1.0|SET FIJO|FIJO|200088458|1|0|1.0|SET FIJO|FIJO|P0210085000|0|0|1.0
5,SET FIJO|FIJO|200010080|1|0|1.0|SET FIJO|FIJO|200010080|1|0|1.0|SET FIJO|FIJO|200113419|0|0|1.0|SET FIJO|FIJO|200113419|0|0|1.0|SET FIJO|FIJO|200113419|0|0|1.0|SET FIJO|FIJO|200113419|0|0|1.0|SET FIJO|FIJO|200010080|1|0|1.0|SET FIJO|FIJO|200010080|1|0|1.0|SET FIJO|FIJO|200113419|0|0|1.0|SET FIJO|FIJO|200113419|0|0|1.0|SET FIJO|FIJO|200113419|0|0|1.0|SET FIJO|FIJO|200113419|0|0|1.0|SET FIJO|FIJO|200113419|0|0|1.0|SET FIJO|FIJO|200113419|0|0|1.0|SET FIJO|FIJO|200113419|0|0|1.0|SET FIJO|FIJO|200010080|1|0|1.0|SET FIJO|FIJO|200010080|1|0|1.0|SET FIJO|FIJO|200010080|1|0|1.0|SET FIJO|FIJO|200010080|1|0|1.0|SET FIJO|FIJO|200113419|0|0|1.0|SET FIJO|FIJO|200113419|0|0|1.0|SET FIJO|FIJO|200010080|1|0|1.0|SET FIJO|FIJO|200010080|1|0|1.0
6,SET FIJO|FIJO|P0210133000|0|0|1.0|SET FIJO|FIJO|200082480|1|0|1.0|SET FIJO|FIJO|P0210133000|0|0|1.0|SET FIJO|FIJO|200082480|1|0|1.0|SET FIJO|FIJO|200082480|1|0|1.0|SET FIJO|FIJO|P0210133000|0|0|1.0|SET FIJO|FIJO|P0210133000|0|0|1.0|SET FIJO|FIJO|P0210133000|0|0|1.0|SET FIJO|FIJO|200082480|1|0|1.0|SET FIJO|FIJO|200082480|1|0|1.0|SET FIJO|FIJO|200082480|1|0|1.0|SET FIJO|FIJO|200082480|1|0|1.0|SET FIJO|FIJO|200082480|1|0|1.0|SET FIJO|FIJO|200082480|1|0|1.0|SET FIJO|FIJO|200082480|1|0|1.0|SET FIJO|FIJO|P0210133000|0|0|1.0|SET FIJO|FIJO|200082480|1|0|1.0|SET FIJO|FIJO|P0210133000|0|0|1.0|SET FIJO|FIJO|P0210133000|0|0|1.0|SET FIJO|FIJO|P0210133000|0|0|1.0|SET FIJO|FIJO|200082480|1|0|1.0|SET FIJO|FIJO|P0210133000|0|0|1.0|SET FIJO|FIJO|200082480|1|0|1.0
7,SET FIJO|FIJO|200088458|1|0|1.0|SET FIJO|FIJO|P0210085000|0|0|1.0|SET FIJO|FIJO|P0210085000|0|0|1.0|SET FIJO|FIJO|P0210085000|0|0|1.0|SET FIJO|FIJO|P0210085000|0|0|1.0|SET FIJO|FIJO|P0210085000|0|0|1.0|SET FIJO|FIJO|P0210085000|0|0|1.0|SET FIJO|FIJO|P0210085000|0|0|1.0|SET FIJO|FIJO|P0210085000|0|0|1.0|SET FIJO|FIJO|P0210085000|0|0|1.0|SET FIJO|FIJO|200088458|1|0|1.0|SET FIJO|FIJO|200088458|1|0|1.0|SET FIJO|FIJO|200088458|1|0|1.0|SET FIJO|FIJO|200088458|1|0|1.0|SET FIJO|FIJO|200088458|1|0|1.0|SET FIJO|FIJO|200088458|1|0|1.0|SET FIJO|FIJO|200088458|1|0|1.0|SET FIJO|FIJO|200088458|1|0|1.0|SET FIJO|FIJO|200088458|1|0|1.0|SET FIJO|FIJO|P0210085000|0|0|1.0|SET FIJO|FIJO|200088458|1|0|1.0|SET FIJO|FIJO|200088458|1|0|1.0|SET FIJO|FIJO|200088458|1|0|1.0|SET FIJO|FIJO|P0210085000|0|0|1.0
8,PROMOCIÓN INDIVIDUAL|FIJO|200037781|1|0|1.0|PROMOCIÓN INDIVIDUAL|FIJO|200037781|1|0|1.0|PROMOCIÓN INDIVIDUAL|FIJO|200037781|1|0|1.0|PROMOCIÓN INDIVIDUAL|FIJO|200037781|1|0|1.0|PROMOCIÓN INDIVIDUAL|FIJO|200037781|1|0|1.0|PROMOCIÓN INDIVIDUAL|FIJO|200037781|1|0|1.0|PROMOCIÓN INDIVIDUAL|FIJO|200037781|1|0|1.0|PROMOCIÓN INDIVIDUAL|FIJO|200037781|1|0|1.0|PROMOCIÓN INDIVIDUAL|FIJO|200037781|1|0|1.0|PROMOCIÓN INDIVIDUAL|FIJO|200037781|1|0|1.0|PROMOCIÓN INDIVIDUAL|FIJO|200037781|1|0|1.0|PROMOCIÓN INDIVIDUAL|FIJO|200037781|1|0|1.0|PROMOCIÓN INDIVIDUAL|FIJO|200037781|1|0|1.0
9,PROMOCIÓN INDIVIDUAL|FIJO|200117191|1|0|1.0|PROMOCIÓN INDIVIDUAL|FIJO|200117191|1|0|1.0|PROMOCIÓN INDIVIDUAL|FIJO|200117191|1|0|1.0|PROMOCIÓN INDIVIDUAL|FIJO|200117191|1|0|1.0|PROMOCIÓN INDIVIDUAL|FIJO|200117191|1|0|1.0|PROMOCIÓN INDIVIDUAL|FIJO|200117191|1|0|1.0|PROMOCIÓN INDIVIDUAL|FIJO|200117191|1|0|1.0|PROMOCIÓN INDIVIDUAL|FIJO|200117191|1|0|1.0|PROMOCIÓN INDIVIDUAL|FIJO|200117191|1|0|1.0|PROMOCIÓN INDIVIDUAL|FIJO|200117191|1|0|1.0|PROMOCIÓN INDIVIDUAL|FIJO|200117191|1|0|1.0|PROMOCIÓN INDIVIDUAL|FIJO|200117191|1|0|1.0|PROMOCIÓN INDIVIDUAL|FIJO|200117191|1|0|1.0
10,PROMOCIÓN INDIVIDUAL|FIJO|200111318|1|0|1.0|PROMOCIÓN INDIVIDUAL|FIJO|200111318|1|0|1.0|PROMOCIÓN INDIVIDUAL|FIJO|200111318|1|0|1.0|PROMOCIÓN INDIVIDUAL|FIJO|200111318|1|0|1.0|PROMOCIÓN INDIVIDUAL|FIJO|200111318|1|0|1.0|PROMOCIÓN INDIVIDUAL|FIJO|200111318|1|0|1.0|PROMOCIÓN INDIVIDUAL|FIJO|200111318|1|0|1.0|PROMOCIÓN INDIVIDUAL|FIJO|200111318|1|0|1.0|PROMOCIÓN INDIVIDUAL|FIJO|200111318|1|0|1.0|PROMOCIÓN INDIVIDUAL|FIJO|200111318|1|0|1.0|PROMOCIÓN INDIVIDUAL|FIJO|200111318|1|0|1.0|PROMOCIÓN INDIVIDUAL|FIJO|200111318|1|0|1.0|PROMOCIÓN INDIVIDUAL|FIJO|200111318|1|0|1.0
