ID_OFERTA,Composite_key
6,INDIVIDUAL|FIJO|200116799|1|0|1.0|INDIVIDUAL|FIJO|200116799|1|0|1.0|INDIVIDUAL|FIJO|200116799|1|0|1.0|INDIVIDUAL|FIJO|200116799|1|0|1.0|INDIVIDUAL|FIJO|200116799|1|0|1.0|INDIVIDUAL|FIJO|200116799|1|0|1.0|INDIVIDUAL|FIJO|200116799|1|0|1.0|INDIVIDUAL|FIJO|200116799|1|0|1.0|INDIVIDUAL|FIJO|200116799|1|0|1.0|INDIVIDUAL|FIJO|200116799|1|0|1.0|INDIVIDUAL|FIJO|200116799|1|0|1.0|INDIVIDUAL|FIJO|200116799|1|0|1.0|INDIVIDUAL|FIJO|200116799|1|0|1.0
7,INDIVIDUAL|FIJO|200113633|1|0|1.0|INDIVIDUAL|FIJO|200113633|1|0|1.0|INDIVIDUAL|FIJO|200113633|1|0|1.0|INDIVIDUAL|FIJO|200113633|1|0|1.0|INDIVIDUAL|FIJO|200113633|1|0|1.0|INDIVIDUAL|FIJO|200113633|1|0|1.0|INDIVIDUAL|FIJO|200113633|1|0|1.0|INDIVIDUAL|FIJO|200113633|1|0|1.0|INDIVIDUAL|FIJO|200113633|1|0|1.0|INDIVIDUAL|FIJO|200113633|1|0|1.0|INDIVIDUAL|FIJO|200113633|1|0|1.0|INDIVIDUAL|FIJO|200113633|1|0|1.0|INDIVIDUAL|FIJO|200113633|1|0|1.0
8,INDIVIDUAL|FIJO|200051254|1|0|1.0|INDIVIDUAL|FIJO|200051254|1|0|1.0|INDIVIDUAL|FIJO|200051254|1|0|1.0|INDIVIDUAL|FIJO|200051254|1|0|1.0|INDIVIDUAL|FIJO|200051254|1|0|1.0|INDIVIDUAL|FIJO|200051254|1|0|1.0|INDIVIDUAL|FIJO|200051254|1|0|1.0|INDIVIDUAL|FIJO|200051254|1|0|1.0|INDIVIDUAL|FIJO|200051254|1|0|1.0|INDIVIDUAL|FIJO|200051254|1|0|1.0|INDIVIDUAL|FIJO|200051254|1|0|1.0|INDIVIDUAL|FIJO|200051254|1|0|1.0|INDIVIDUAL|FIJO|200051254|1|0|1.0
9,INDIVIDUAL|FIJO|200104393|1|0|1.0|INDIVIDUAL|FIJO|200104393|1|0|1.0|INDIVIDUAL|FIJO|200104393|1|0|1.0|INDIVIDUAL|FIJO|200104393|1|0|1.0|INDIVIDUAL|FIJO|200104393|1|0|1.0|INDIVIDUAL|FIJO|200104393|1|0|1.0|INDIVIDUAL|FIJO|200104393|1|0|1.0|INDIVIDUAL|FIJO|200104393|1|0|1.0|INDIVIDUAL|FIJO|200104393|1|0|1.0|INDIVIDUAL|FIJO|200104393|1|0|1.0|INDIVIDUAL|FIJO|200104393|1|0|1.0
10,INDIVIDUAL|FIJO|200012761|1|0|1.0|INDIVIDUAL|FIJO|200012761|1|0|1.0|INDIVIDUAL|FIJO|200012761|1|0|1.0|INDIVIDUAL|FIJO|200012761|1|0|1.0|INDIVIDUAL|FIJO|200012761|1|0|1.0|INDIVIDUAL|FIJO|200012761|1|0|1.0|INDIVIDUAL|FIJO|200012761|1|0|1.0|INDIVIDUAL|FIJO|200012761|1|0|1.0|INDIVIDUAL|FIJO|200012761|1|0|1.0|INDIVIDUAL|FIJO|200012761|1|0|1.0|INDIVIDUAL|FIJO|200012761|1|0|1.0|INDIVIDUAL|FIJO|200012761|1|0|1.0
11,INDIVIDUAL|FIJO|200050984|1|0|1.0|INDIVIDUAL|FIJO|200050984|1|0|1.0|INDIVIDUAL|FIJO|200050984|1|0|1.0|INDIVIDUAL|FIJO|200050984|1|0|1.0|INDIVIDUAL|FIJO|200050984|1|0|1.0|INDIVIDUAL|FIJO|200050984|1|0|1.0|INDIVIDUAL|FIJO|200050984|1|0|1.0|INDIVIDUAL|FIJO|200050984|1|0|1.0|INDIVIDUAL|FIJO|200050984|1|0|1.0|INDIVIDUAL|FIJO|200050984|1|0|1.0|INDIVIDUAL|FIJO|200050984|1|0|1.0|INDIVIDUAL|FIJO|200050984|1|0|1.0|INDIVIDUAL|FIJO|200050984|1|0|1.0|INDIVIDUAL|FIJO|200050984|1|0|1.0
12,INDIVIDUAL|FIJO|200050981|1|0|1.0|INDIVIDUAL|FIJO|200050981|1|0|1.0|INDIVIDUAL|FIJO|200050981|1|0|1.0|INDIVIDUAL|FIJO|200050981|1|0|1.0|INDIVIDUAL|FIJO|200050981|1|0|1.0|INDIVIDUAL|FIJO|200050981|1|0|1.0|INDIVIDUAL|FIJO|200050981|1|0|1.0|INDIVIDUAL|FIJO|200050981|1|0|1.0|INDIVIDUAL|FIJO|200050981|1|0|1.0|INDIVIDUAL|FIJO|200050981|1|0|1.0|INDIVIDUAL|FIJO|200050981|1|0|1.0|INDIVIDUAL|FIJO|200050981|1|0|1.0
14,INDIVIDUAL|FIJO|200113646|1|0|1.0|INDIVIDUAL|FIJO|200113646|1|0|1.0|INDIVIDUAL|FIJO|200113646|1|0|1.0|INDIVIDUAL|FIJO|200113646|1|0|1.0|INDIVIDUAL|FIJO|200113646|1|0|1.0|INDIVIDUAL|FIJO|200113646|1|0|1.0|INDIVIDUAL|FIJO|200113646|1|0|1.0|INDIVIDUAL|FIJO|200113646|1|0|1.0|INDIVIDUAL|FIJO|200113646|1|0|1.0|INDIVIDUAL|FIJO|200113646|1|0|1.0|INDIVIDUAL|FIJO|200113646|1|0|1.0|INDIVIDUAL|FIJO|200113646|1|0|1.0|INDIVIDUAL|FIJO|200113646|1|0|1.0
15,INDIVIDUAL|FIJO|200115988|1|0|1.0|INDIVIDUAL|FIJO|200115988|1|0|1.0|INDIVIDUAL|FIJO|200115988|1|0|1.0|INDIVIDUAL|FIJO|200115988|1|0|1.0|INDIVIDUAL|FIJO|200115988|1|0|1.0|INDIVIDUAL|FIJO|200115988|1|0|1.0|INDIVIDUAL|FIJO|200115988|1|0|1.0|INDIVIDUAL|FIJO|200115988|1|0|1.0|INDIVIDUAL|FIJO|200115988|1|0|1.0|INDIVIDUAL|FIJO|200115988|1|0|1.0|INDIVIDUAL|FIJO|200115988|1|0|1.0|INDIVIDUAL|FIJO|200115988|1|0|1.0|INDIVIDUAL|FIJO|200115988|1|0|1.0
16,INDIVIDUAL|FIJO|200113651|1|0|1.0|INDIVIDUAL|FIJO|200113651|1|0|1.0|INDIVIDUAL|FIJO|200113651|1|0|1.0|INDIVIDUAL|FIJO|200113651|1|0|1.0|INDIVIDUAL|FIJO|200113651|1|0|1.0|INDIVIDUAL|FIJO|200113651|1|0|1.0|INDIVIDUAL|FIJO|200113651|1|0|1.0|INDIVIDUAL|FIJO|200113651|1|0|1.0|INDIVIDUAL|FIJO|200113651|1|0|1.0|INDIVIDUAL|FIJO|200113651|1|0|1.0|INDIVIDUAL|FIJO|200113651|1|0|1.0|INDIVIDUAL|FIJO|200113651|1|0|1.0|INDIVIDUAL|FIJO|200113651|1|0|1.0
