CODEBELISTA,FECHAPROCESO,total_price
23240475,7/3/2024,39.0
23240475,8/14/2024,34.9
23240475,9/18/2024,84.9
23240475,9/22/2023,44.9
23240475,9/3/2024,54.9
23240475,9/8/2023,59.9
24730247,2/13/2024,9.9
24730247,3/30/2024,23.9
24730247,3/4/2024,27.47
24730247,4/17/2024,16.9
24730247,5/10/2024,24.9
24730247,5/30/2024,62.9
26864194,1/15/2024,22.9
26864194,11/20/2023,18.9
26864194,12/12/2023,18.9
26864194,12/29/2023,13.9
26864194,2/29/2024,25.9
26864194,2/9/2024,43.9
26864194,3/19/2024,24.0
26864194,3/21/2024,32.9
26864194,4/10/2024,40.0
26864194,5/21/2024,29.53
26864194,5/6/2024,39.01
30185862,1/11/2023,18.9
30185862,1/31/2023,24.9
30185862,12/15/2022,79.0
30803868,1/24/2023,15.9
30803868,1/4/2023,19.9
30803868,2/28/2023,59.9
30803868,2/7/2023,18.39
30803868,3/23/2023,8.9
30803868,4/11/2023,17.9
30803868,5/2/2023,24.9
30803868,5/23/2023,24.9
30803868,6/12/2023,18.9
30803868,6/9/2023,0.82
30803868,7/10/2023,17.45
31344638,10/24/2024,36.51
31344638,10/9/2024,44.9
31344638,6/11/2024,40.0
31344638,6/27/2024,23.9
31344638,7/17/2024,17.45
31344638,8/28/2024,7.9
31344638,8/8/2024,25.9
31344638,9/19/2024,17.9
31826446,1/19/2023,7.38
31826446,12/21/2022,19.95
31826446,2/27/2023,12.17
31826446,2/7/2023,24.9
31826446,3/22/2023,5.1
31826446,4/14/2023,11.98
31826446,5/4/2023,39.9
32452310,5/2/2024,16.9
32452310,5/27/2024,23.9
32452310,6/20/2024,34.9
32452310,7/12/2024,7.38
32452310,8/1/2024,6.1
32452310,8/20/2024,44.9
32452310,9/3/2024,11.3
33090625,1/19/2023,19.34
33090625,2/13/2023,15.9
33090625,2/9/2023,54.9
33090625,3/21/2023,39.95
33090625,3/7/2023,7.38
33090625,5/2/2023,23.81
33090625,5/22/2023,15.9
33090625,6/30/2023,16.9
33090625,6/8/2023,19.9
