consultant_id,product_id,category,brand,price,date,purchase_frequency,recency
48130003,400095709,Others,LBEL,0.8,2023-05-29,1,570
47904196,210101897,PROMOCION USUARIOS,ESIKA,4.8,2023-05-29,1,570
43560891,200106454,MAQUILLAJE,ESIKA,46.0,2023-05-29,1,570
33162758,400097777,Others,GENERICA,0.22,2023-05-29,1,570
33119976,400095727,Others,GENERICA,0.8,2023-05-29,1,570
48130003,400095673,Others,CYZONE,0.8,2023-05-29,1,570
43560891,200109610,MAQUILLAJE,CYZONE,34.0,2023-05-29,1,570
50257967,200112299,MAQUILLAJE,CYZONE,21.0,2023-05-29,1,570
47904196,200101580,MAQUILLAJE,ESIKA,38.0,2023-05-29,1,570
43560891,200095374,CUIDADO PERSONAL,ESIKA,25.0,2023-05-29,3,570
33162758,210093292,BIJOUTERIE,ESIKA,90.0,2023-05-29,1,570
30826795,400095727,Others,GENERICA,0.8,2023-05-29,1,570
50548325,400095691,Others,ESIKA,0.8,2023-05-29,1,570
33162758,400097909,Others,GENERICA,0.31,2023-05-29,1,570
43560891,400097955,Others,GENERICA,0.1,2023-05-29,1,570
48130003,200089508,TRATAMIENTO CORPORAL,ESIKA,50.0,2023-05-29,1,570
50381579,210102583,COMPLEMENTOS,CYZONE,85.0,2023-05-29,1,570
31603374,200098788,TRATAMIENTO FACIAL,LBEL,100.0,2023-05-29,4,570
33162758,200092457,MUESTRAS COSMETICOS,CYZONE,1.1,2023-05-29,1,570
30826795,200105017,FRAGANCIAS,CYZONE,65.3,2023-05-29,1,570
30826795,400097909,Others,GENERICA,0.31,2023-05-29,1,570
50257967,200106460,MAQUILLAJE,ESIKA,46.0,2023-05-29,1,570
47904196,400097955,Others,GENERICA,0.1,2023-05-29,1,570
50257967,400095727,Others,GENERICA,0.8,2023-05-29,1,570
50648036,200105035,TRATAMIENTO FACIAL,CYZONE,34.0,2023-05-29,1,570
50381579,400096763,Others,GENERICA,0.04,2023-05-29,1,570
50648036,400095673,Others,CYZONE,0.8,2023-05-29,1,570
47904196,210103468,BIJOUTERIE,ESIKA,115.0,2023-05-29,1,570
48130003,200103441,CUIDADO PERSONAL,ESIKA,36.9,2023-05-29,1,570
50781550,200113733,VARIOS,GENERICA,106.0,2023-06-08,1,560
43560891,200095170,CUIDADO PERSONAL,ESIKA,36.9,2023-05-29,3,570
33162758,200083902,FRAGANCIAS,ESIKA,100.0,2023-05-29,1,570
50381579,200106279,FRAGANCIAS,ESIKA,58.0,2023-05-29,2,570
33162758,200082687,CUIDADO PERSONAL,ESIKA,38.0,2023-05-29,5,570
47904196,400097777,Others,GENERICA,0.22,2023-05-29,1,570
7713045,200105880,MAQUILLAJE,CYZONE,82.0,2023-05-29,1,570
7713045,200103327,MAQUILLAJE,ESIKA,56.0,2023-05-29,2,570
7713045,210102036,COMPLEMENTOS,CYZONE,73.0,2023-05-29,1,570
25667867,210100298,PROMOCION USUARIOS,ESIKA,3.0,2023-05-16,7,583
30866223,200092457,MUESTRAS COSMETICOS,CYZONE,1.2,2023-05-16,4,583
25667867,200106576,MAQUILLAJE,CYZONE,32.0,2023-05-16,1,583
30866223,200108408,FRAGANCIAS,ESIKA,97.0,2023-05-16,14,583
49351232,200105355,TRATAMIENTO FACIAL,ESIKA,58.0,2023-05-16,4,583
49351232,200105355,TRATAMIENTO FACIAL,ESIKA,58.0,2023-05-16,4,583
50107981,400097908,Others,GENERICA,0.11,2023-05-16,1,583
50128423,200105017,FRAGANCIAS,CYZONE,60.0,2023-05-16,2,583
50657019,200103452,CUIDADO PERSONAL,LBEL,25.0,2023-05-16,4,583
50128423,200112287,MAQUILLAJE,CYZONE,21.0,2023-05-16,1,583
25667867,200082674,FRAGANCIAS,ESIKA,46.0,2023-05-16,1,583
40861361,210102583,COMPLEMENTOS,CYZONE,85.0,2023-05-16,1,583
25667867,400097908,Others,GENERICA,0.11,2023-05-16,1,583
40861361,200106569,MAQUILLAJE,CYZONE,32.0,2023-05-16,1,583
49820887,400095727,Others,GENERICA,0.8,2023-05-16,1,583
48971091,400097908,Others,GENERICA,0.11,2023-05-16,1,583
49351232,200082674,FRAGANCIAS,ESIKA,46.0,2023-05-16,5,583
49351232,200110734,TRATAMIENTO FACIAL,LBEL,144.0,2023-05-16,2,583
49351232,200110734,TRATAMIENTO FACIAL,LBEL,144.0,2023-05-16,2,583
50128423,400095691,Others,ESIKA,0.8,2023-05-16,1,583
30866223,200102045,FRAGANCIAS,ESIKA,99.9,2023-05-16,6,583
