CODEBELISTA,CODPRODUCTOSAP,DESCATEGORIA,DESMARCA,PRECIONORMALMN
44147165,400095733,N/A,GENERICA,4
44147165,200112355,CUIDADO PERSONAL,ESIKA,72
50381781,400098617,N/A,GENERICA,0.11
51205898,200105011,FRAGANCIAS,CYZONE,85
51182162,400098617,N/A,GENERICA,0.11
51182162,210103920,BIJOUTERIE,CYZONE,93
51182162,200103452,CUIDADO PERSONAL,LBEL,18
44147165,400095697,N/A,ESIKA,4
11509169,210104251,COMPLEMENTOS,CYZONE,40
49187912,200112316,MAQUILLAJE,CYZONE,36
44069326,400098353,N/A,ESIKA,0.03
11509169,210102555,COMPLEMENTOS,CYZONE,110
7515758,400095733,N/A,GENERICA,4
11509169,400095697,N/A,ESIKA,4
44069326,400095715,N/A,LBEL,4
51205898,400097892,N/A,GENERICA,0.04
51168313,200109890,MAQUILLAJE,CYZONE,38
51182162,200108807,CUIDADO PERSONAL,ESIKA,18
11509169,400098617,N/A,GENERICA,0.11
11509169,200102431,MUESTRAS COSMETICOS,ESIKA,1.9
50381781,200095170,CUIDADO PERSONAL,ESIKA,18
11509169,210103960,COMPLEMENTOS,CYZONE,100
51168313,200103338,TRATAMIENTO FACIAL,CYZONE,40
51182162,400095732,N/A,GENERICA,4
50381781,200095426,CUIDADO PERSONAL,CYZONE,18
51205898,400095697,N/A,ESIKA,4
44069326,400098603,N/A,GENERICA,0.23
50229459,200114988,TRATAMIENTO CORPORAL,ESIKA,52
51168313,220046318,N/A,GENERICA,100
7515758,400098616,N/A,CYZONE,0.03
51168313,200102282,MAQUILLAJE,ESIKA,121.7
51168313,200103027,CUIDADO PERSONAL,ESIKA,48
44147165,400095679,N/A,CYZONE,4
50381781,400098616,N/A,CYZONE,0.03
11509169,200105074,MUESTRAS COSMETICOS,LBEL,1.9
50229459,400095733,N/A,GENERICA,4
9527508,400095679,N/A,CYZONE,4
48849202,200102104,MAQUILLAJE,CYZONE,38
49187912,400097908,N/A,GENERICA,0.11
48849202,200106442,MAQUILLAJE,ESIKA,46
48849202,200090452,FRAGANCIAS,ESIKA,95
23475324,200097066,CUIDADO PERSONAL,ESIKA,72
43609947,210096238,MAQUILLAJE,ESIKA,38
50014851,200107616,MAQUILLAJE,LBEL,56
50573265,210101255,COMPLEMENTOS,CYZONE,139
48849202,200092457,MUESTRAS COSMETICOS,CYZONE,1.1
49187912,210097482,MAQUILLAJE,CYZONE,48
50573265,400097908,N/A,GENERICA,0.11
43609947,200101573,MAQUILLAJE,ESIKA,38
50014851,400095709,N/A,LBEL,0.8
43787128,400097955,N/A,GENERICA,0.1
50014851,210099626,COMPLEMENTOS,CYZONE,122
43609947,400095727,N/A,GENERICA,0.8
50014851,200086432,FRAGANCIAS,ESIKA,99
43609947,400097910,N/A,GENERICA,0
48775918,400097955,N/A,GENERICA,0.1
50014851,210100298,PROMOCION USUARIOS,ESIKA,3
50419819,200098674,MUESTRAS COSMETICOS,ESIKA,1.2
46504577,200090346,CUIDADO PERSONAL,ESIKA,50
46504577,200112060,MAQUILLAJE,LBEL,98
46504577,200090349,CUIDADO PERSONAL,ESIKA,50
49734026,210102135,RELOJES,ESIKA,270
46504577,210104375,BIJOUTERIE,ESIKA,110
46504577,200109671,MAQUILLAJE,CYZONE,41
49734026,200105219,TRATAMIENTO FACIAL,ESIKA,58
50419819,200106444,MAQUILLAJE,ESIKA,0
49026714,200109610,MAQUILLAJE,CYZONE,38
49026714,200106534,MAQUILLAJE,ESIKA,48
46504577,200106360,FRAGANCIAS,CYZONE,97
50419819,210099639,COMPLEMENTOS,CYZONE,108
49026714,400095711,N/A,LBEL,0.08
49026714,400098071,N/A,GENERICA,0.23
46504577,200103020,CUIDADO PERSONAL,ESIKA,36
46504577,210105870,VARIOS,ESIKA,0.27
50419819,400095729,N/A,GENERICA,0.08
46504577,400098071,N/A,GENERICA,0.23
34591709,400098098,N/A,CYZONE,0.08
49019718,200106488,TRATAMIENTO FACIAL,CYZONE,40
49026714,400098098,N/A,CYZONE,0.08
50419819,200106853,MUESTRAS COSMETICOS,LBEL,1.9
46504577,400097983,N/A,GENERICA,0.08
49019718,400098023,N/A,GENERICA,0.23
46504577,200099812,MAQUILLAJE,LBEL,64
50419819,400096764,N/A,GENERICA,0.04
50419819,200105130,MAQUILLAJE,LBEL,66
46504577,210098480,MAQUILLAJE,ESIKA,74
46504577,200098674,MUESTRAS COSMETICOS,ESIKA,1.2
46504577,200114766,MAQUILLAJE,ESIKA,58
50419819,200108408,FRAGANCIAS,ESIKA,1.3
49026714,400095693,N/A,ESIKA,0.08
49734026,210105870,VARIOS,ESIKA,0.27
50419819,200106386,FRAGANCIAS,CYZONE,84
50419819,400097983,N/A,GENERICA,0.08
50419819,200039855,FRAGANCIAS,CYZONE,86
46504577,200086566,CUIDADO PERSONAL,ESIKA,59
50419819,210102591,COMPLEMENTOS,CYZONE,82
42779806,400098023,N/A,GENERICA,0.23
50419819,200111164,MUESTRAS COSMETICOS,CYZONE,1.3
46504577,400098098,N/A,CYZONE,0.08
49734026,200106284,FRAGANCIAS,ESIKA,109
49734026,200105215,TRATAMIENTO FACIAL,ESIKA,70
46504577,200090031,MUESTRAS COSMETICOS,CYZONE,1.1
46504577,200111164,MUESTRAS COSMETICOS,CYZONE,1.3
50419819,200094162,MUESTRAS COSMETICOS,CYZONE,1.9
46504577,200101369,FRAGANCIAS,LBEL,176
46504577,400095693,N/A,ESIKA,0.08
49019718,400095711,N/A,LBEL,0.08
49026714,210104055,COMPLEMENTOS,CYZONE,108
44545187,210102544,BIJOUTERIE,CYZONE,103
42779806,400096763,N/A,GENERICA,0.04
49026714,200098674,MUESTRAS COSMETICOS,ESIKA,1.2
49026714,200090031,MUESTRAS COSMETICOS,CYZONE,1.1
50419819,400098071,N/A,GENERICA,0.23
49734026,400095675,N/A,CYZONE,0.08
49019718,400098098,N/A,CYZONE,0.08
50799867,200095162,CUIDADO PERSONAL,ESIKA,18
34591709,200111164,MUESTRAS COSMETICOS,CYZONE,1.3
49019718,200098674,MUESTRAS COSMETICOS,ESIKA,1.2
49734026,400095711,N/A,LBEL,0.08
50419819,210105870,VARIOS,ESIKA,0.27
50419819,400095675,N/A,CYZONE,0.08
42779806,200113745,VARIOS,GENERICA,64.9
49026714,400095729,N/A,GENERICA,0.08
49019718,200110330,MAQUILLAJE,ESIKA,52
49026714,400097983,N/A,GENERICA,0.08
46504577,200105130,MAQUILLAJE,LBEL,66
49026714,200106284,FRAGANCIAS,ESIKA,109
49019718,400095693,N/A,ESIKA,0.08
49026714,210102547,BIJOUTERIE,CYZONE,103
42779806,200111164,MUESTRAS COSMETICOS,CYZONE,1.3
42779806,200105041,FRAGANCIAS,ESIKA,80
44545187,200102045,FRAGANCIAS,ESIKA,2.6
34591709,200086399,FRAGANCIAS,LBEL,168
42779806,200108408,FRAGANCIAS,ESIKA,1.6
50799867,200106442,MAQUILLAJE,ESIKA,46
49734026,400098098,N/A,CYZONE,0.08
42779806,200102059,MUESTRAS COSMETICOS,ESIKA,1.9
49734026,400095729,N/A,GENERICA,0.08
50799867,200113738,VARIOS,GENERICA,96.8
49734026,200108408,FRAGANCIAS,ESIKA,1.6
46504577,200099047,FRAGANCIAS,ESIKA,130
46504577,210098531,MAQUILLAJE,CYZONE,42
49019718,210099968,RELOJES,ESIKA,200
42779806,200103025,CUIDADO PERSONAL,ESIKA,68
49734026,200098674,MUESTRAS COSMETICOS,ESIKA,1.2
49026714,200101406,FRAGANCIAS,ESIKA,1.8
34591709,400096763,N/A,GENERICA,0.04
50622401,400098071,N/A,GENERICA,0.23
50799867,200100217,MAQUILLAJE,CYZONE,20
46504577,400095729,N/A,GENERICA,0.08
42779806,200090031,MUESTRAS COSMETICOS,CYZONE,1.1
49026714,200111164,MUESTRAS COSMETICOS,CYZONE,1.3
49019718,210102565,COMPLEMENTOS,CYZONE,119
42487821,400095729,N/A,GENERICA,0.08
50798917,400095711,N/A,LBEL,0.08
7515758,200106444,MAQUILLAJE,ESIKA,0
30547748,210099670,COMPLEMENTOS,CYZONE,77
50419819,200100617,FRAGANCIAS,ESIKA,64
49019718,200103025,CUIDADO PERSONAL,ESIKA,68
49483333,400098286,N/A,GENERICA,0.54
50757765,220045177,N/A,GENERICA,7
42487821,200105017,FRAGANCIAS,CYZONE,60
31617065,200109258,TRATAMIENTO CORPORAL,ESIKA,40
43609947,200105188,CUIDADO PERSONAL,ESIKA,18
43256556,200108048,FRAGANCIAS,CYZONE,52
36461209,400068882,N/A,GENERICA,0.08
50167666,200104393,TRATAMIENTO CORPORAL,LBEL,78
47856221,200109264,TRATAMIENTO FACIAL,CYZONE,54
48992420,200095162,CUIDADO PERSONAL,ESIKA,18
49996853,200039855,FRAGANCIAS,CYZONE,86
49864086,200102292,MAQUILLAJE,ESIKA,97
49925905,210102575,COMPLEMENTOS,CYZONE,128
49360827,200104916,CUIDADO PERSONAL,ESIKA,33
50140784,200106175,FRAGANCIAS,LBEL,62
49661266,210105042,BIJOUTERIE,ESIKA,110
48849202,400097785,N/A,GENERICA,0.16
49661266,400095673,N/A,CYZONE,0.8
43853007,200108908,CUIDADO PERSONAL,CYZONE,34
45969711,400097963,N/A,LBEL,0.1
23475324,200089508,TRATAMIENTO CORPORAL,ESIKA,50
45983404,200098757,TRATAMIENTO CORPORAL,ESIKA,0
50740617,400095692,N/A,ESIKA,0.4
43787128,200082674,FRAGANCIAS,ESIKA,56
50402916,400095674,N/A,CYZONE,0.4
50402916,210104083,BIJOUTERIE,ESIKA,100
50064719,200084778,CUIDADO PERSONAL,CYZONE,32
50740617,200095895,FRAGANCIAS,CYZONE,84
50315282,400095692,N/A,ESIKA,0.4
44545187,200094217,FRAGANCIAS,ESIKA,170
49026714,200106446,MAQUILLAJE,ESIKA,46
50622401,200094901,MAQUILLAJE,LBEL,72
44545187,400095674,N/A,CYZONE,0.4
50740617,200103441,CUIDADO PERSONAL,ESIKA,26
50740617,400095691,N/A,ESIKA,0.8
50315282,200105017,FRAGANCIAS,CYZONE,60
50419819,400096763,N/A,GENERICA,0.04
43256556,200090452,FRAGANCIAS,ESIKA,95
51767586,200103452,CUIDADO PERSONAL,LBEL,22
30993470,200109163,MAQUILLAJE,CYZONE,38
46309758,200089508,TRATAMIENTO CORPORAL,ESIKA,56
46309758,400098387,N/A,CYZONE,24
30993470,200114926,MUESTRAS COSMETICOS,ESIKA,0.1
51096290,400098442,N/A,GENERICA,4
4482387,200103452,CUIDADO PERSONAL,LBEL,22
51096290,210104905,COMPLEMENTOS,CYZONE,40
46309758,400100182,N/A,GENERICA,0.23
51096290,200106653,MAQUILLAJE,ESIKA,40
46309758,200113614,MUESTRAS COSMETICOS,CYZONE,1.8
50064719,400098388,N/A,CYZONE,4
51096290,200108807,CUIDADO PERSONAL,ESIKA,22
50064719,200085860,CUIDADO PERSONAL,ESIKA,38
4482387,200106290,FRAGANCIAS,ESIKA,174
30993470,200105215,TRATAMIENTO FACIAL,ESIKA,74
51767586,200103441,CUIDADO PERSONAL,ESIKA,22
51589467,200116052,MUESTRAS COSMETICOS,CYZONE,1.8
48505961,210103637,BIJOUTERIE,ESIKA,75
42457361,200078931,CUIDADO PERSONAL,ESIKA,36
51536541,400099951,N/A,GENERICA,0.23
51682122,200112307,FRAGANCIAS,ESIKA,104
50814572,200113831,MAQUILLAJE,LBEL,66
50814572,200097895,TRATAMIENTO FACIAL,CYZONE,18
51682122,200105041,FRAGANCIAS,ESIKA,82
50814572,400098405,N/A,ESIKA,4
51671287,210094410,ACCESORIOS COSMETICOS,ESIKA,20
51033736,400098441,N/A,GENERICA,4
51682122,200106651,MAQUILLAJE,ESIKA,40
51589467,200103452,CUIDADO PERSONAL,LBEL,30
51536541,200105017,FRAGANCIAS,CYZONE,60
48505961,210100495,MAQUILLAJE,CYZONE,18
51682122,200100855,TRATAMIENTO FACIAL,CYZONE,59
42457361,400098405,N/A,ESIKA,4
51664477,200105207,FRAGANCIAS,LBEL,166
51033736,200112355,CUIDADO PERSONAL,ESIKA,74
48505961,200082687,CUIDADO PERSONAL,ESIKA,47
51536541,200086399,FRAGANCIAS,LBEL,168
51682122,400098441,N/A,GENERICA,4
42457361,200102370,FRAGANCIAS,ESIKA,72
51536541,200115952,VARIOS,GENERICA,71.8
51033736,400098405,N/A,ESIKA,4
42457361,200103452,CUIDADO PERSONAL,LBEL,30
51682122,400098387,N/A,CYZONE,4
51589467,200095465,CUIDADO PERSONAL,ESIKA,22
51033736,200115546,MUESTRAS COSMETICOS,LBEL,1.8
51671287,400098405,N/A,ESIKA,4
42457361,200095159,CUIDADO PERSONAL,ESIKA,22
42457361,400098423,N/A,LBEL,4
51115953,200112287,MAQUILLAJE,CYZONE,24
50966763,200112357,CUIDADO PERSONAL,ESIKA,74
49360827,200113795,MAQUILLAJE,CYZONE,38
49360827,200113795,MAQUILLAJE,CYZONE,38
51688813,210105453,BIJOUTERIE,ESIKA,100
45590461,200092457,MUESTRAS COSMETICOS,CYZONE,0.28
51688813,200105218,TRATAMIENTO FACIAL,ESIKA,74
50966763,210099631,COMPLEMENTOS,CYZONE,110
44147165,200102433,FRAGANCIAS,ESIKA,72
30704614,200103452,CUIDADO PERSONAL,LBEL,30
50966763,400098441,N/A,GENERICA,4
50966763,200112528,MAQUILLAJE,ESIKA,54
11772773,200105188,CUIDADO PERSONAL,ESIKA,22
51115953,200116052,MUESTRAS COSMETICOS,CYZONE,1.8
45590461,400098405,N/A,ESIKA,4
51115953,210096209,MAQUILLAJE,ESIKA,40
38237454,210105128,BIJOUTERIE,ESIKA,110
51646487,210089311,MAQUILLAJE,ESIKA,46
38237454,200106852,FRAGANCIAS,LBEL,166
11113141,200106312,FRAGANCIAS,ESIKA,62
45590461,210102607,COMPLEMENTOS,CYZONE,77
51115953,200111393,CUIDADO PERSONAL,CYZONE,34
51646487,400098423,N/A,LBEL,4
46309758,200105188,CUIDADO PERSONAL,ESIKA,22
36784105,400083364,N/A,GENERICA,0.04
51688813,200109890,MAQUILLAJE,CYZONE,38
45590461,200113782,MUESTRAS COSMETICOS,CYZONE,0.28
30704614,200078931,CUIDADO PERSONAL,ESIKA,36
51688813,210105121,BIJOUTERIE,ESIKA,100
51688813,400098405,N/A,ESIKA,4
11772773,400098441,N/A,GENERICA,4
46309758,200093883,FRAGANCIAS,ESIKA,66
11772773,400098405,N/A,ESIKA,4
49623615,400098387,N/A,CYZONE,4
51646487,400100081,N/A,GENERICA,0.23
36784105,210096207,MAQUILLAJE,ESIKA,40
44147165,200116052,MUESTRAS COSMETICOS,CYZONE,1.8
51688813,210102567,COMPLEMENTOS,CYZONE,77
49360827,200099686,FRAGANCIAS,CYZONE,52
50966763,200086432,FRAGANCIAS,ESIKA,104
49360827,400100081,N/A,GENERICA,0.23
49360827,400098441,N/A,GENERICA,4
44147165,200102430,FRAGANCIAS,ESIKA,174
45590461,400098405,N/A,ESIKA,3
51688813,400098441,N/A,GENERICA,4
45590461,400100066,N/A,GENERICA,2
36784105,200101569,MAQUILLAJE,ESIKA,38
51646487,200114926,MUESTRAS COSMETICOS,ESIKA,1.8
51688813,200114926,MUESTRAS COSMETICOS,ESIKA,1.8
38237454,400098441,N/A,GENERICA,4
46309758,210098884,MAQUILLAJE,CYZONE,56
46309758,400098423,N/A,LBEL,4
46309758,200114053,MAQUILLAJE,CYZONE,44
51115953,200114926,MUESTRAS COSMETICOS,ESIKA,1.8
51688813,210104992,BIJOUTERIE,CYZONE,46
46309758,210100298,PROMOCION USUARIOS,ESIKA,3
50966763,200115585,FRAGANCIAS,CYZONE,86
44147165,400098387,N/A,CYZONE,4
36784105,210096207,MAQUILLAJE,ESIKA,40
20556323,400095705,N/A,LBEL,0.8
49661266,200072406,CUIDADO PERSONAL,LBEL,42
39154064,400097557,N/A,GENERICA,0.23
49940661,210096238,MAQUILLAJE,ESIKA,38
50382702,400097836,N/A,GENERICA,0.11
50302342,200102045,FRAGANCIAS,ESIKA,160
50381781,210098497,MAQUILLAJE,ESIKA,66
50529169,200113742,VARIOS,GENERICA,99.9
20556323,200106460,MAQUILLAJE,ESIKA,46
50392856,400097600,N/A,ESIKA,0.8
50064719,400097955,N/A,GENERICA,0.1
39154064,200102351,MAQUILLAJE,ESIKA,48
44147165,200099047,FRAGANCIAS,ESIKA,130
44322722,200091899,MAQUILLAJE,CYZONE,26
49950519,200112287,MAQUILLAJE,CYZONE,21
44147165,200090349,CUIDADO PERSONAL,ESIKA,49
34638101,400097658,N/A,GENERICA,0.11
44147165,210100298,PROMOCION USUARIOS,ESIKA,3
50064719,200101370,MUESTRAS COSMETICOS,LBEL,1.9
50318273,200101370,MUESTRAS COSMETICOS,LBEL,1.9
47660009,400097342,N/A,GENERICA,0.13
49962444,200095464,CUIDADO PERSONAL,ESIKA,18
50167666,200090346,CUIDADO PERSONAL,ESIKA,49
49950144,210105262,VARIOS,ESIKA,0.23
50382702,200095374,CUIDADO PERSONAL,ESIKA,36.9
44147165,210103622,BIJOUTERIE,ESIKA,115
46296109,200091357,FRAGANCIAS,ESIKA,64
50291952,200098698,TRATAMIENTO FACIAL,ESIKA,56
50167666,210096236,MAQUILLAJE,ESIKA,38
50291952,200106570,MAQUILLAJE,CYZONE,32
49021348,400097772,N/A,GENERICA,0.23
50402916,200105034,TRATAMIENTO FACIAL,CYZONE,43
44147165,210102491,PROMOCION USUARIOS,LBEL,145
41010398,200105005,FRAGANCIAS,CYZONE,85
50529169,210098529,MAQUILLAJE,CYZONE,32
43256556,200097067,CUIDADO PERSONAL,ESIKA,71
50529169,200102370,FRAGANCIAS,ESIKA,60
48998607,400095721,N/A,GENERICA,0.8
9527508,200106852,FRAGANCIAS,LBEL,158
50738086,200109672,MAQUILLAJE,CYZONE,41
50167666,200090452,FRAGANCIAS,ESIKA,95
48065252,200105017,FRAGANCIAS,CYZONE,60
50392856,400096763,N/A,GENERICA,0.04
33278349,200107850,TRATAMIENTO FACIAL,LBEL,144
50318273,400096764,N/A,GENERICA,0.04
50419819,200105188,CUIDADO PERSONAL,ESIKA,18
49924402,200106440,MAQUILLAJE,ESIKA,46
20556323,200105017,FRAGANCIAS,CYZONE,60
45080900,200095162,CUIDADO PERSONAL,ESIKA,18
50141187,200087691,TRATAMIENTO CORPORAL,ESIKA,84
50061957,220046096,N/A,GENERICA,40
48548873,400095687,N/A,ESIKA,0.8
49719973,400097777,N/A,GENERICA,0.22
45080900,400095687,N/A,ESIKA,0.8
49959052,200109790,MUESTRAS COSMETICOS,CYZONE,1.1
50291952,200106661,MAQUILLAJE,ESIKA,39
50085473,200091875,MAQUILLAJE,ESIKA,84
49950144,200113179,FRAGANCIAS,ESIKA,97
44147165,200106312,FRAGANCIAS,ESIKA,58
49719973,200095430,CUIDADO PERSONAL,CYZONE,18
46309758,200095162,CUIDADO PERSONAL,ESIKA,18
50381781,220044972,N/A,GENERICA,80
47841925,210098530,MAQUILLAJE,CYZONE,38
20616164,200111354,MUESTRAS COSMETICOS,ESIKA,1.1
9527508,200102108,MAQUILLAJE,CYZONE,38
49360827,200103354,MAQUILLAJE,ESIKA,0
11558585,210105262,VARIOS,ESIKA,0.23
33278349,400095669,N/A,CYZONE,0.8
43256556,400095690,N/A,ESIKA,0.8
20556323,210097089,CUIDADO PERSONAL,LBEL,21
41010398,210104277,BIJOUTERIE,ESIKA,80
1156543,200106606,MAQUILLAJE,CYZONE,34
42958190,400097557,N/A,GENERICA,0.23
50291952,400095689,N/A,ESIKA,0.8
48549632,200064310,FRAGANCIAS,ESIKA,44
1156543,400097717,N/A,GENERICA,0.11
48065252,400095705,N/A,LBEL,0.8
50382702,200105017,FRAGANCIAS,CYZONE,60
34638101,400095725,N/A,GENERICA,0.8
50396169,400095671,N/A,CYZONE,0.8
45934772,400095689,N/A,ESIKA,0.8
49661266,210098479,MAQUILLAJE,ESIKA,74
44545187,200089510,CUIDADO PERSONAL,CYZONE,46
50061957,200095374,CUIDADO PERSONAL,ESIKA,18
50419819,200099686,FRAGANCIAS,CYZONE,54
45170373,200084882,FRAGANCIAS,LBEL,196
50140784,400097908,N/A,GENERICA,0.11
50419819,200108408,FRAGANCIAS,ESIKA,97
42958190,400095704,N/A,LBEL,0.8
50291952,200103354,MAQUILLAJE,ESIKA,56
50291952,210103139,LENTES,ESIKA,120
44147165,200106852,FRAGANCIAS,LBEL,158
50757765,200105981,MAQUILLAJE,LBEL,42
49328311,210102382,BIJOUTERIE,ESIKA,90
49695853,400095686,N/A,ESIKA,0.8
50382702,200110328,MAQUILLAJE,ESIKA,0
44069326,200106941,MAQUILLAJE,CYZONE,56
49021348,400083364,N/A,GENERICA,1.39
30993470,200095170,CUIDADO PERSONAL,ESIKA,18
30993470,200082678,FRAGANCIAS,ESIKA,46
43153501,210104277,BIJOUTERIE,ESIKA,80
50302342,200102045,FRAGANCIAS,ESIKA,160
44545187,400095667,N/A,CYZONE,0.8
47856221,400097908,N/A,GENERICA,0.11
44069326,400097715,N/A,GENERICA,0.23
47567165,210100495,MAQUILLAJE,CYZONE,19
49672470,200091727,FRAGANCIAS,ESIKA,109
50167666,210100496,MAQUILLAJE,CYZONE,19
49719973,210101851,PROMOCION USUARIOS,CYZONE,2.5
50738086,400095726,N/A,GENERICA,0.8
50382702,200102674,MAQUILLAJE,ESIKA,46
47856221,200095426,CUIDADO PERSONAL,CYZONE,18
43256556,200107358,MAQUILLAJE,CYZONE,28
49328311,200108671,FRAGANCIAS,ESIKA,0
47660009,200099047,FRAGANCIAS,ESIKA,130
48506224,200106446,MAQUILLAJE,ESIKA,46
50291952,400096764,N/A,GENERICA,0.04
42958190,210101851,PROMOCION USUARIOS,CYZONE,2.5
42958190,210099206,RELOJES,ESIKA,190
41010398,400097909,N/A,GENERICA,0.31
30993470,400097961,N/A,GENERICA,0.31
50402916,400097908,N/A,GENERICA,0.11
50014851,210095995,MAQUILLAJE,ESIKA,36
49950519,200095426,CUIDADO PERSONAL,CYZONE,18
47660009,400097955,N/A,GENERICA,0.1
45934772,210098462,MAQUILLAJE,CYZONE,32
43256556,210099817,ACCESORIOS COSMETICOS,ESIKA,30
50396169,400097717,N/A,GENERICA,0.11
8601089,400097842,N/A,GENERICA,0.23
49950144,400097715,N/A,GENERICA,0.23
46232917,200109796,MUESTRAS COSMETICOS,LBEL,1.1
42348971,200095911,FRAGANCIAS,CYZONE,52
50061957,200102102,MAQUILLAJE,CYZONE,38
49950519,200088259,FRAGANCIAS,ESIKA,99
10800935,210093136,BIJOUTERIE,ESIKA,60
50166147,210103773,PROMOCION USUARIOS,LBEL,145
44147165,200106359,MUESTRAS COSMETICOS,CYZONE,1.1
48065252,200090364,TRATAMIENTO CORPORAL,ESIKA,70
50291952,200102104,MAQUILLAJE,CYZONE,38
47856221,200103449,CUIDADO PERSONAL,CYZONE,18
50061957,200106594,MAQUILLAJE,CYZONE,36
44069326,400097717,N/A,GENERICA,0.11
30596188,400095723,N/A,GENERICA,0.8
49360827,200105017,FRAGANCIAS,CYZONE,60
31963354,200108160,FRAGANCIAS,LBEL,190
49360827,200113721,MAQUILLAJE,CYZONE,38
45080900,400096759,N/A,GENERICA,0.04
50167666,210103887,PROMOCION USUARIOS,LBEL,3
48065252,200082687,CUIDADO PERSONAL,ESIKA,38
48065252,210099817,ACCESORIOS COSMETICOS,ESIKA,30
43256556,210100298,PROMOCION USUARIOS,ESIKA,3
42958190,200105125,CUIDADO PERSONAL,ESIKA,18
50302342,200109796,MUESTRAS COSMETICOS,LBEL,0.1
47564417,400097717,N/A,GENERICA,0.11
47076404,200109537,CUIDADO PERSONAL,ESIKA,18
49661266,400095725,N/A,GENERICA,0.8
42958190,200102351,MAQUILLAJE,ESIKA,48
42958190,200108807,CUIDADO PERSONAL,ESIKA,18
49483333,200102351,MAQUILLAJE,ESIKA,48
42958190,400095669,N/A,CYZONE,0.8
50494330,400096759,N/A,GENERICA,0.04
50494330,400095671,N/A,CYZONE,0.8
33278349,210099062,BIJOUTERIE,ESIKA,80
49962371,400097308,N/A,GENERICA,0.01
42958190,210099849,MAQUILLAJE,CYZONE,96
43787128,200108655,MAQUILLAJE,ESIKA,48
43787128,200097066,CUIDADO PERSONAL,ESIKA,72
45080900,400095704,N/A,LBEL,0.8
50573265,400097717,N/A,GENERICA,0.11
41010398,400095691,N/A,ESIKA,0.8
51021231,400098408,N/A,ESIKA,4
45934772,400098426,N/A,LBEL,4
47458765,200110089,CUIDADO PERSONAL,LBEL,46
51504771,200103441,CUIDADO PERSONAL,ESIKA,28
51021231,200115482,TRATAMIENTO FACIAL,CYZONE,56
47458765,200095430,CUIDADO PERSONAL,CYZONE,22
51628551,200105017,FRAGANCIAS,CYZONE,60
51504771,200095382,CUIDADO PERSONAL,ESIKA,22
45934772,200106312,FRAGANCIAS,ESIKA,62
47458765,200115946,VARIOS,GENERICA,96.8
45934772,400098444,N/A,GENERICA,4
51504771,200105188,CUIDADO PERSONAL,ESIKA,22
51932757,400100095,N/A,GENERICA,0.02
47458765,200110090,CUIDADO PERSONAL,LBEL,46
45934772,400098408,N/A,ESIKA,4
45934772,400100163,N/A,GENERICA,0.08
44967839,400098443,N/A,GENERICA,4
44967839,400098390,N/A,CYZONE,4
51932757,200114183,MAQUILLAJE,CYZONE,38
44967839,400100163,N/A,GENERICA,0.08
51932757,200106608,MAQUILLAJE,CYZONE,38
47458765,200116809,MUESTRAS COSMETICOS,CYZONE,1.8
51628551,200098640,TRATAMIENTO FACIAL,ESIKA,93
47458765,200111182,TRATAMIENTO CORPORAL,ESIKA,75
51504771,200103452,CUIDADO PERSONAL,LBEL,30
51932757,200095170,CUIDADO PERSONAL,ESIKA,22
42958190,400100273,N/A,GENERICA,0.23
51664477,200112551,MUESTRAS COSMETICOS,CYZONE,0.1
34943303,400100163,N/A,GENERICA,0.08
42958190,200111155,FRAGANCIAS,CYZONE,84
51664477,200117193,MUESTRAS COSMETICOS,LBEL,1.8
51664477,210103938,COMPLEMENTOS,CYZONE,77
34943303,400100282,N/A,GENERICA,0.08
42958190,200115278,TRATAMIENTO FACIAL,ESIKA,62
36408601,200114185,MAQUILLAJE,CYZONE,38
34943303,200082678,FRAGANCIAS,ESIKA,52
51096290,400100338,N/A,GENERICA,0.23
51096290,210103977,COMPLEMENTOS,CYZONE,93
51096290,210105503,LENTES,ESIKA,120
51096290,210098532,MAQUILLAJE,CYZONE,42
35055541,400095722,N/A,GENERICA,0.8
49021348,200113953,FRAGANCIAS,ESIKA,67
50061957,200094936,FRAGANCIAS,CYZONE,52
50140784,200091709,FRAGANCIAS,CYZONE,74
50064719,400097909,N/A,GENERICA,0.31
50291952,400095709,N/A,LBEL,0.8
50318273,200106836,MUESTRAS COSMETICOS,ESIKA,350
49949243,400095722,N/A,GENERICA,0.8
33278349,210086462,CUIDADO PERSONAL,ESIKA,39
50061957,400095727,N/A,GENERICA,0.8
50166147,200064341,CUIDADO PERSONAL,ESIKA,44
50427919,400097842,N/A,GENERICA,0.23
33278349,400097600,N/A,ESIKA,0.8
45969711,400095709,N/A,LBEL,0.8
39154064,400095705,N/A,LBEL,0.8
42958190,400097556,N/A,GENERICA,0.08
50412725,200113245,MUESTRAS COSMETICOS,LBEL,1.9
50126323,400095707,N/A,LBEL,0.8
43853007,200106396,FRAGANCIAS,ESIKA,58
48755488,200102045,FRAGANCIAS,ESIKA,160
42958190,200103452,CUIDADO PERSONAL,LBEL,26
46504577,210098988,PROMOCION USUARIOS,CYZONE,109
49940661,200102175,MAQUILLAJE,CYZONE,36
45080900,200095170,CUIDADO PERSONAL,ESIKA,18
42852902,200097067,CUIDADO PERSONAL,ESIKA,71
49719973,400097951,N/A,GENERICA,0.16
48755488,200103917,MAQUILLAJE,CYZONE,38
50440486,400095725,N/A,GENERICA,0.8
