CODEBELISTA,CODPRODUCTOSAP,DESCATEGORIA,DESMARCA,PRECIONORMALMN
49596219,200108752,CUIDADO PERSONAL,ESIKA,36
20616164,200089619,MUESTRAS COSMETICOS,LBEL,1.12
45590461,200103354,MAQUILLAJE,ESIKA,56
49734026,200102045,FRAGANCIAS,ESIKA,160
30596188,200094066,FRAGANCIAS,CYZONE,49
43256556,200082688,CUIDADO PERSONAL,ESIKA,44
50067866,400095701,N/A,LBEL,0.08
48551815,200108797,MAQUILLAJE,ESIKA,55
48548873,400095720,N/A,GENERICA,0.08
46772733,210098523,MAQUILLAJE,CYZONE,30
46165322,200107352,MAQUILLAJE,CYZONE,28
43256556,210095971,MAQUILLAJE,CYZONE,38
49019718,210098520,MAQUILLAJE,CYZONE,30
44545187,400095665,N/A,CYZONE,0.08
36461209,200095374,CUIDADO PERSONAL,ESIKA,18
48584926,400095683,N/A,ESIKA,0.08
49696124,400097304,N/A,GENERICA,1.1
42852902,200105219,TRATAMIENTO FACIAL,ESIKA,54
46165322,200107037,MAQUILLAJE,LBEL,102
49962371,400097270,N/A,GENERICA,0.23
49021348,400068882,N/A,GENERICA,0.8
49925905,200109631,TRATAMIENTO CORPORAL,ESIKA,60
44545187,210100101,BIJOUTERIE,ESIKA,74
49645880,400095666,N/A,CYZONE,0.08
38824007,200085860,CUIDADO PERSONAL,ESIKA,34
49719973,220044579,N/A,GENERICA,80
24648907,200094149,FRAGANCIAS,CYZONE,70
49532296,210099604,BIJOUTERIE,CYZONE,103
49949855,400095684,N/A,ESIKA,0.08
41010398,200095465,CUIDADO PERSONAL,ESIKA,18
49986777,400097304,N/A,GENERICA,1.1
49328311,200105655,CUIDADO PERSONAL,ESIKA,50
49719973,200111961,MUESTRAS COSMETICOS,ESIKA,1.2
41288620,400095684,N/A,ESIKA,0.08
45969711,200085148,MAQUILLAJE,CYZONE,26
50141187,400096759,N/A,GENERICA,0.04
45969711,400095692,N/A,ESIKA,0.4
49471203,400095709,N/A,LBEL,0.4
49950144,400095674,N/A,CYZONE,0.4
50283925,200108408,FRAGANCIAS,ESIKA,97
50283925,200106295,FRAGANCIAS,ESIKA,150
50166147,200110328,MAQUILLAJE,ESIKA,52
50229459,400095710,N/A,LBEL,0.4
49187912,400095674,N/A,CYZONE,0.4
50166147,200095374,CUIDADO PERSONAL,ESIKA,18
50229459,200103920,MAQUILLAJE,CYZONE,38
50166147,200103022,CUIDADO PERSONAL,ESIKA,36
50229459,400097961,N/A,GENERICA,0.31
49950144,400097961,N/A,GENERICA,0.31
49471203,400095728,N/A,GENERICA,0.8
50283925,400095674,N/A,CYZONE,0.4
49943857,400097341,N/A,GENERICA,0.8
