CODEBELISTA,CODPRODUCTOSAP,DESCATEGORIA,DESMARCA,PRECIOOFERTA,FECHAPROCESO
042759880,210102043,COMPLEMENTOS,CYZONE,34.90000,2023-01-31
049728603,210099605,BIJOUTERIE,CYZONE,66.90000,2023-02-02
047430550,210092742,MAQUILLAJE,ESIKA,29.90000,2023-02-09
047948835,200090452,FRAGANCIAS,ESIKA,29.96000,2023-02-01
049968221,210094915,COMPLEMENTOS,CYZONE,19.90000,2023-02-10
049086741,210102013,COMPLEMENTOS,CYZONE,66.90000,2023-02-08
049864310,210101561,BIJOUTERIE,ESIKA,39.90000,2023-02-13
050147800,200085524,TRATAMIENTO FACIAL,LBEL,62.00000,2023-02-08
004623541,200102650,MAQUILLAJE,ESIKA,19.90000,2023-02-06
043767909,200106854,FRAGANCIAS,LBEL,69.00000,2023-01-31
044661489,200072406,CUIDADO PERSONAL,LBEL,17.50000,2023-02-08
033090625,200103918,MAQUILLAJE,CYZONE,15.90000,2023-02-13
048823106,200083916,FRAGANCIAS,LBEL,31.24000,2023-02-07
046627121,200108794,MAQUILLAJE,ESIKA,23.90000,2023-02-07
048341519,200086432,FRAGANCIAS,ESIKA,29.45000,2023-02-06
049931492,200105188,CUIDADO PERSONAL,ESIKA,5.29000,2023-01-31
044242133,200109874,FRAGANCIAS,CYZONE,24.90000,2023-02-09
049705387,200108044,TRATAMIENTO CORPORAL,ESIKA,4.00000,2023-02-07
034191115,200103922,MAQUILLAJE,CYZONE,15.90000,2023-02-13
049621434,200090452,FRAGANCIAS,ESIKA,30.54000,2023-02-09
050034054,200106488,TRATAMIENTO FACIAL,CYZONE,12.45000,2023-02-03
046669258,200103022,CUIDADO PERSONAL,ESIKA,11.70000,2023-02-10
033777957,200091357,FRAGANCIAS,ESIKA,38.90000,2023-02-02
044047470,200095826,FRAGANCIAS,LBEL,74.00000,2023-01-31
049961014,210102383,BIJOUTERIE,ESIKA,39.90000,2023-02-03
049975686,200103025,CUIDADO PERSONAL,ESIKA,43.90000,2023-02-02
011976964,200099310,FRAGANCIAS,ESIKA,23.90000,2023-01-30
042759880,200098264,FRAGANCIAS,ESIKA,15.00000,2023-01-31
049968221,210097030,CUIDADO PERSONAL,LBEL,12.90000,2023-02-10
044661489,210095249,CUIDADO PERSONAL,CYZONE,19.95000,2023-02-08
048346014,210101981,COMPLEMENTOS,CYZONE,66.90000,2023-02-14
047948835,200090452,FRAGANCIAS,ESIKA,29.97000,2023-02-01
046669258,200099047,FRAGANCIAS,ESIKA,19.95000,2023-02-10
004623541,200102351,MAQUILLAJE,ESIKA,22.90000,2023-02-06
044045680,210086462,CUIDADO PERSONAL,ESIKA,21.90000,2023-02-02
034191115,200113791,MAQUILLAJE,CYZONE,15.90000,2023-02-13
049506570,200106559,MAQUILLAJE,CYZONE,13.90000,2023-02-18
046114531,210101134,COMPLEMENTOS,CYZONE,26.90000,2023-01-31
033905173,210102381,BIJOUTERIE,ESIKA,44.90000,2023-01-31
050052273,200082688,CUIDADO PERSONAL,ESIKA,15.00000,2023-02-09
047948835,210098462,MAQUILLAJE,CYZONE,11.50000,2023-02-01
044479885,200102045,FRAGANCIAS,ESIKA,45.90000,2023-02-16
049657315,210097405,BIJOUTERIE,ESIKA,44.90000,2023-02-01
049642350,210097036,MAQUILLAJE,CYZONE,16.90000,2023-02-13
048341519,200099047,FRAGANCIAS,ESIKA,20.00000,2023-02-06
042759880,200101245,TRATAMIENTO FACIAL,LBEL,69.00000,2023-01-31
049434669,200086566,CUIDADO PERSONAL,ESIKA,25.90000,2023-01-23
031826446,200109874,FRAGANCIAS,CYZONE,24.90000,2023-02-07
046114531,200112910,FRAGANCIAS,ESIKA,53.90000,2023-01-31
049434669,210100074,BIJOUTERIE,ESIKA,39.90000,2023-01-23
049566263,200100866,FRAGANCIAS,ESIKA,31.24000,2023-02-01
046219902,210102381,BIJOUTERIE,ESIKA,44.90000,2023-02-13
049397003,210102012,COMPLEMENTOS,CYZONE,66.90000,2023-02-08
047948835,200102648,MAQUILLAJE,ESIKA,19.90000,2023-02-01
049968221,200108047,FRAGANCIAS,CYZONE,22.90000,2023-02-10
046611063,200109350,MAQUILLAJE,CYZONE,6.90000,2023-01-31
042759880,200086399,FRAGANCIAS,LBEL,15.00000,2023-01-31
044109905,200109538,FRAGANCIAS,LBEL,29.90000,2023-02-09
048341519,200107360,MAQUILLAJE,CYZONE,13.90000,2023-02-06
049397003,200105188,CUIDADO PERSONAL,ESIKA,11.90000,2023-02-08
030185862,200109874,FRAGANCIAS,CYZONE,24.90000,2023-01-31
044242133,200105218,TRATAMIENTO FACIAL,ESIKA,29.90000,2023-02-09
049470762,200108752,CUIDADO PERSONAL,ESIKA,15.90000,2023-01-30
049728603,200109874,FRAGANCIAS,CYZONE,24.90000,2023-02-02
044045680,210098774,HOGAR,CYZONE,22.90000,2023-02-02
046587790,200109786,TRATAMIENTO CORPORAL,LBEL,16.89000,2023-02-03
049975686,200103733,MAQUILLAJE,ESIKA,32.90000,2023-02-13
004623541,200110005,MAQUILLAJE,ESIKA,29.90000,2023-02-06
049864469,200101065,TRATAMIENTO FACIAL,ESIKA,52.90000,2023-02-02
048765629,200083997,FRAGANCIAS,ESIKA,27.47000,2023-01-30
050224287,200103354,MAQUILLAJE,ESIKA,14.80000,2023-02-07
031826446,200092456,TRATAMIENTO CORPORAL,ESIKA,13.09000,2023-02-07
050034054,210097940,VARIOS,CYZONE,13.90000,2023-02-03
044413795,200095170,CUIDADO PERSONAL,ESIKA,5.76000,2023-02-02
049434669,210098263,BIJOUTERIE,ESIKA,29.90000,2023-01-23
033529260,200089619,MUESTRAS COSMETICOS,LBEL,1.40000,2023-02-07
047499070,200112293,MAQUILLAJE,CYZONE,9.50000,2023-01-20
050014223,210092116,MAQUILLAJE,CYZONE,10.50000,2023-01-17
048433154,200100838,FRAGANCIAS,ESIKA,76.57000,2023-01-23
050147800,200105070,MAQUILLAJE,LBEL,38.35000,2023-01-18
048212689,200086399,FRAGANCIAS,LBEL,16.64000,2023-01-10
049330626,200093884,FRAGANCIAS,ESIKA,18.52000,2023-01-23
048212689,200078924,CUIDADO PERSONAL,ESIKA,11.74000,2023-01-10
049434669,200109160,MAQUILLAJE,LBEL,42.00000,2023-01-28
033905173,210098275,BIJOUTERIE,ESIKA,69.90000,2023-01-10
042498750,200089508,TRATAMIENTO CORPORAL,ESIKA,21.90000,2023-01-23
048297765,210102079,COMPLEMENTOS,ESIKA,79.90000,2023-01-13
048433154,210097089,CUIDADO PERSONAL,LBEL,11.90000,2023-01-23
047097371,200103716,MAQUILLAJE,ESIKA,25.90000,2023-01-18
