CODPRODUCTOSAP,DESSUBTIPO
200119153,MAQUILLAJE/PARA OJOS/MASCARA/A PRUEBA DE AGUA
220047010,N/A
210108261,COMPLEMENTOS/BILLETERA/BILLETERA/MINI
210108286,HOGAR/BELLEZA/BELLEZA/P1
200013161,TRATAMIENTO FACIAL/PARA ROSTRO/HUMECTANTES/P-MUJER CUTIS GRASO ACNE MIXTA
200013162,MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/HUMECTANTES/TRIAL SIZE
200013163,MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/HUMECTANTES/TRIAL SIZE
200013173,TRATAMIENTO CORPORAL/MANOS/HUMECTANTES-NUTRITIVAS/LOCIONES CREMAS
200013175,MUESTRAS COSMETICOS/TRATAMIENTO CORPORAL/MANOS/VARIOS
200013183,DAMAS/ARETES/CLASICO/A
200013184,DAMAS/COLLARES/CLASICO/A
200013186,CABALLEROS/LINEA BASIC BLUE/SUETER/CAFARENA S&M/MODA
200013187,CABALLEROS/LINEA BASIC BLUE/SUETER/CAFARENA S&M/MODA
200013188,CABALLEROS/LINEA BASIC BLUE/SUETER/CAFARENA S&M/MODA
200013189,CABALLEROS/LINEA BASIC BLUE/SUETER/CAFARENA S&M/MODA
200013190,CABALLEROS/LINEA BASIC BLUE/SUETER/CAFARENA S&M/MODA
200013191,CABALLEROS/LINEA BASIC BLUE/SUETER/CAFARENA S&M/MODA
200013192,CABALLEROS/DE VESTIR/PANTALON S&M/MODA
200013193,CABALLEROS/DE VESTIR/PANTALON S&M/MODA
200013194,CABALLEROS/DE VESTIR/PANTALON S&M/MODA
200013195,CABALLEROS/DE VESTIR/PANTALON S&M/MODA
200013196,CABALLEROS/DE VESTIR/PANTALON S&M/MODA
200013198,DAMAS/SORTIJAS/CLASICO/A
200013199,DAMAS/SORTIJAS/CLASICO/A
200013201,DAMAS/SORTIJAS/CLASICO/A
200013203,DAMAS/SORTIJAS/CLASICO/A
200013205,DAMAS/ARETES/CLASICO/A
200013206,DAMAS/ARETES/CLASICO/A
200013208,DAMAS/COLLARES/CLASICO/A
200013210,DAMAS/ARETES/CLASICO/A
200013222,DAMAS/PULSERAS/CLASICO/C
200013227,FRAGANCIAS/DAMAS/COLONIA Y O EAU DE TOILETE/CON SPRAY
200013228,MUESTRAS COSMETICOS/FRAGANCIAS/COLONIA Y O EAU DE TOILETE/VARIOS
200013229,MUESTRAS COSMETICOS/FRAGANCIAS/COLONIA Y O EAU DE TOILETE/VARIOS
200013230,VARIOS/VARIOS/VARIOS/VARIOS
200013231,UNISEX/DEPORTIVO/MALETIN/PLASTIFICADOS
200013232,UNISEX BEBES/UTILITARIOS/MALETIN/PLASTIFICADOS
200013236,VARIOS/VARIOS/VARIOS/VARIOS
200013238,VARIOS/VARIOS/VARIOS/VARIOS
200013241,UNISEX/DEPORTIVO/MALETIN/TELA
200013242,UNISEX BEBES/UTILITARIOS/MALETIN/TELA
200013243,VARIOS/VARIOS/VARIOS/VARIOS
200013247,UNISEX BEBES/UTILITARIOS/MALETIN/PLASTIFICADOS
200013249,UNISEX/DEPORTIVO/MALETIN/TELA
200013250,VARIOS/VARIOS/VARIOS/VARIOS
200013252,VARIOS/VARIOS/VARIOS/VARIOS
200013259,CABALLEROS/DE VESTIR/PANTALON S&M/ESENCIAL
200013260,CABALLEROS/DE VESTIR/PANTALON S&M/ESENCIAL
200013261,CABALLEROS/DE VESTIR/PANTALON S&M/ESENCIAL
200013262,CABALLEROS/DE VESTIR/PANTALON S&M/ESENCIAL
